execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.1299969628453255e-05,7.839989848434925e-05,1.0600080713629723e-05,9.299954399466515e-06,7.860013283789158e-05,1.0699965059757233e-05,7.46001023799181e-05,1.700012944638729e-06,1.0199961252510548e-05,1.4399993233382702e-05,6.900052540004253e-06,4.800036549568176e-06,0.000268799951300025,0.00017529993783682585,7.00005330145359e-06,0.0007626001024618745
2,8.380005601793528e-05,0.0127092000329867,0.008373000076971948,1.109996810555458e-05,0.05563409999012947,8.119991980493069e-05,1.0100076906383038e-05,2.00001522898674e-06,1.0299962013959885e-05,1.5099882148206234e-05,6.5999338403344154e-06,5.199923180043697e-06,0.0021689999848604202,0.0018443999579176307,7.70005863159895e-06,0.0809627998387441
3,1.0499963536858559e-05,8.220004383474588e-05,1.0299845598638058e-05,9.300070814788342e-06,7.499987259507179e-05,1.0299962013959885e-05,7.499998901039362e-05,1.700012944638729e-06,0.00032810005359351635,1.4600111171603203e-05,6.500049494206905e-06,4.899920895695686e-06,0.00019510008860379457,0.00012580002658069134,7.00005330145359e-06,0.0009563000639900565
4,1.0699965059757233e-05,8.199992589652538e-05,1.0199961252510548e-05,9.09995287656784e-06,7.509998977184296e-05,1.0199961252510548e-05,7.740000728517771e-05,1.600012183189392e-06,9.7999582067132e-06,1.3699987903237343e-05,6.199930794537067e-06,4.700035788118839e-06,0.000202300027012825,0.00012499990407377481,6.800051778554916e-06,0.0006447996711358428
5,1.0699848644435406e-05,7.870001718401909e-05,1.0599964298307896e-05,9.400071576237679e-06,7.79998954385519e-05,1.0400079190731049e-05,7.429998368024826e-05,1.800013706088066e-06,1.009996049106121e-05,1.4399993233382702e-05,7.200054824352264e-06,4.900037311017513e-06,0.0002261999761685729,0.00013159995432943106,1.0499963536858559e-05,0.0006787998136132956
6,1.079996582120657e-05,0.003192200092598796,1.0999967344105244e-05,9.600073099136353e-06,0.012411099974997342,1.1499971151351929e-05,0.01589320006314665,1.800013706088066e-06,0.00031749997287988663,1.5500118024647236e-05,6.6999346017837524e-06,4.800036549568176e-06,0.0009714999468997121,0.0007015999872237444,0.0003195999888703227,0.03387840010691434
7,1.070008147507906e-05,0.0017349000554531813,1.1099851690232754e-05,9.600073099136353e-06,0.008041399996727705,1.1599971912801266e-05,0.010556200053542852,2.09989957511425e-06,0.0002440999960526824,2.0000035874545574e-05,6.500049494206905e-06,4.899920895695686e-06,0.000798200024291873,0.0005815000040456653,0.00019239995162934065,0.022225199965760112
8,1.0299962013959885e-05,7.720000576227903e-05,1.0299962013959885e-05,9.399955160915852e-06,7.289997301995754e-05,1.0300078429281712e-05,7.329985965043306e-05,1.6998965293169022e-06,0.0002568999771028757,1.4899997040629387e-05,6.4999330788850784e-06,4.700035788118839e-06,0.0002978000557050109,0.00021650001872330904,7.100054062902927e-06,0.0010697997640818357
9,1.0500079952180386e-05,8.00001434981823e-05,9.999959729611874e-06,9.09995287656784e-06,7.289997301995754e-05,1.00000761449337e-05,7.239985279738903e-05,1.500011421740055e-06,9.800074622035027e-06,1.3899989426136017e-05,6.300047971308231e-06,4.700035788118839e-06,0.00019940000493079424,0.00012660003267228603,6.6999346017837524e-06,0.0006338001694530249
10,1.309998333454132e-05,8.809997234493494e-05,1.019984483718872e-05,9.100069291889668e-06,7.409998215734959e-05,1.0399846360087395e-05,7.220008410513401e-05,1.600012183189392e-06,9.399955160915852e-06,1.400010660290718e-05,6.4999330788850784e-06,4.900037311017513e-06,0.0002514999359846115,0.00015480001457035542,6.8999361246824265e-06,0.00072679971344769
11,1.0499963536858559e-05,8.110003545880318e-05,9.900075383484364e-06,9.200070053339005e-06,7.33998604118824e-05,1.0300078429281712e-05,7.27999722585082e-05,1.4998950064182281e-06,0.00025669997557997704,1.479999627918005e-05,6.200047209858894e-06,4.900037311017513e-06,0.00029090000316500664,0.00021650001872330904,6.7999353632330894e-06,0.001065499964170158
12,1.0199961252510548e-05,7.479998748749495e-05,1.0199961252510548e-05,8.899951353669167e-06,7.350009400397539e-05,9.899958968162537e-06,7.269997149705887e-05,1.800013706088066e-06,9.400071576237679e-06,1.3599870726466179e-05,6.299931555986404e-06,4.600035026669502e-06,0.00019609997980296612,0.00012119999155402184,6.8999361246824265e-06,0.0006200997158885002
13,1.019984483718872e-05,7.71000050008297e-05,1.0399962775409222e-05,9.299954399466515e-06,7.379997987300158e-05,1.1499854736030102e-05,7.51999905332923e-05,3.8000289350748062e-06,1.0900082997977734e-05,1.4099990949034691e-05,6.3999323174357414e-06,4.800036549568176e-06,0.00021089997608214617,0.00013159995432943106,6.900052540004253e-06,0.0006568996468558908
14,1.0599847882986069e-05,0.0009358000243082643,1.1100084520876408e-05,9.500072337687016e-06,0.003963799914345145,1.0900082997977734e-05,0.0051275999285280704,1.800013706088066e-06,1.0199961252510548e-05,0.0010615000501275063,6.4999330788850784e-06,4.800036549568176e-06,0.0004116999916732311,0.0002813999308273196,6.600050255656242e-06,0.011853799922391772
