execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,7.730023935437202e-05,1.1399853974580765e-05,1.0400079190731049e-05,6.90016895532608e-06,0.00027540000155568123,7.3998235166072845e-06,5.100388079881668e-06,9.399838745594025e-06,1.8998980522155762e-06,1.0899733752012253e-05,8.220039308071136e-05,7.910002022981644e-05,0.00018800003454089165,1.4899764209985733e-05,1.0599847882986069e-05,0.0007909000851213932
2,1.090019941329956e-05,9.570037946105003e-05,1.109996810555458e-05,6.800051778554916e-06,0.0023452998138964176,7.799826562404633e-06,5.3998082876205444e-06,1.1200085282325745e-05,2.299901098012924e-06,8.720019832253456e-05,0.014323299750685692,0.0621825996786356,0.001981399953365326,1.6499776393175125e-05,0.009082000236958265,0.09016949962824583
3,7.71000050008297e-05,1.070043072104454e-05,0.0003337003290653229,6.500165909528732e-06,0.00020170025527477264,7.300172001123428e-06,5.000270903110504e-06,9.599607437849045e-06,1.8998980522155762e-06,1.070043072104454e-05,8.089980110526085e-05,7.769977673888206e-05,0.0001360001042485237,1.550000160932541e-05,1.039961352944374e-05,0.0009847008623182774
4,7.830001413822174e-05,1.0699499398469925e-05,9.700190275907516e-06,6.500165909528732e-06,0.0002047000452876091,6.90016895532608e-06,5.100388079881668e-06,9.300187230110168e-06,1.7997808754444122e-06,1.039961352944374e-05,7.770024240016937e-05,7.509952411055565e-05,0.00013170018792152405,1.4099758118391037e-05,1.019984483718872e-05,0.0006521996110677719
5,7.750000804662704e-05,1.0699499398469925e-05,9.899958968162537e-06,9.400304406881332e-06,0.00020730029791593552,7.100403308868408e-06,4.999805241823196e-06,9.09995287656784e-06,1.8998980522155762e-06,1.0100193321704865e-05,7.970025762915611e-05,7.890025153756142e-05,0.0001337002031505108,1.4599878340959549e-05,1.0200310498476028e-05,0.0006651012226939201
6,0.01632869988679886,1.0999850928783417e-05,0.00032299989834427834,6.6999346017837524e-06,0.0009993999265134335,0.00031170016154646873,4.90015372633934e-06,9.60053876042366e-06,2.100132405757904e-06,1.1200550943613052e-05,0.003329299855977297,0.012774100061506033,0.0007159002125263214,1.490022987127304e-05,1.1000316590070724e-05,0.034853501711040735
7,0.01275820005685091,1.0599847882986069e-05,0.00026430003345012665,6.600283086299896e-06,0.000822900328785181,0.00020190002396702766,4.90015372633934e-06,9.300187230110168e-06,2.0996667444705963e-06,1.1499971151351929e-05,0.0018041003495454788,0.008524199947714806,0.0005959998816251755,1.7400365322828293e-05,1.1100433766841888e-05,0.025045101530849934
8,7.520010694861412e-05,1.019984483718872e-05,0.0002574995160102844,6.4997002482414246e-06,0.00030220020562410355,6.90016895532608e-06,4.800036549568176e-06,9.29972156882286e-06,1.7997808754444122e-06,1.0099727660417557e-05,8.019991219043732e-05,7.430044934153557e-05,0.00022150017321109772,1.5099532902240753e-05,9.699724614620209e-06,0.0010852986015379429
9,7.220031693577766e-05,1.0500196367502213e-05,9.899958968162537e-06,6.400048732757568e-06,0.0002017999067902565,6.90016895532608e-06,4.800036549568176e-06,8.800067007541656e-06,1.8998980522155762e-06,1.00000761449337e-05,7.999967783689499e-05,7.25998543202877e-05,0.00012650014832615852,1.3499986380338669e-05,1.019984483718872e-05,0.0006360001862049103
10,7.609976455569267e-05,1.0899733752012253e-05,1.0299962013959885e-05,7.799826562404633e-06,0.0002652001567184925,8.00006091594696e-06,5.300156772136688e-06,9.799841791391373e-06,1.9995495676994324e-06,1.0599847882986069e-05,8.039968088269234e-05,8.120015263557434e-05,0.00013749999925494194,1.5000347048044205e-05,1.070043072104454e-05,0.0007307995110750198
11,8.139992132782936e-05,1.0800082236528397e-05,0.0002847001887857914,6.899703294038773e-06,0.00032400013878941536,7.200054824352264e-06,4.800036549568176e-06,9.599607437849045e-06,2.100132405757904e-06,1.0799616575241089e-05,8.380040526390076e-05,7.930025458335876e-05,0.00023450003936886787,1.54995359480381e-05,1.0800082236528397e-05,0.0011661997996270657
12,8.200015872716904e-05,1.090019941329956e-05,1.0200310498476028e-05,6.600283086299896e-06,0.00022070016711950302,7.300172001123428e-06,4.7995708882808685e-06,9.200070053339005e-06,2.00001522898674e-06,1.0800082236528397e-05,8.180039003491402e-05,7.990002632141113e-05,0.00013699987903237343,1.4400109648704529e-05,1.1000316590070724e-05,0.0006886017508804798
13,7.850024849176407e-05,1.1200085282325745e-05,1.0899733752012253e-05,6.6999346017837524e-06,0.0002313000150024891,7.300172001123428e-06,4.699919372797012e-06,9.80030745267868e-06,2.000480890274048e-06,1.109996810555458e-05,8.269958198070526e-05,8.289981633424759e-05,0.00013529974967241287,1.550000160932541e-05,1.0899733752012253e-05,0.000700799748301506
14,0.005636200308799744,1.1300202459096909e-05,1.109996810555458e-05,6.899703294038773e-06,0.00045950012281537056,7.300172001123428e-06,5.09992241859436e-06,9.80030745267868e-06,2.300366759300232e-06,1.1699739843606949e-05,0.0011093998327851295,0.004434399772435427,0.0003120996989309788,0.0011765002273023129,1.1600088328123093e-05,0.013205200433731079
