class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Acesso,subkind,subkind,False,True,False,4,0
Anel_Rodoviário,subkind,subkind,False,True,False,5,0
Aparelho_de_Fiscalização,kind,kind,False,False,True,3,3
Ativo_Amortizado,phase,phase,False,True,False,2,0
Ativo_Depreciado,phase,phase,False,True,False,3,0
Ativo_Depreciável,rolemixin,rolemixin,False,False,True,2,9
Ativo_Explorado,mixin,mixin,False,False,True,2,19
Ativo_Imobilizado,rolemixin,rolemixin,False,False,True,1,13
Ativo_Intangível,mixin,mixin,False,False,True,1,23
Ativo_Investimento,mixin,mixin,False,False,True,1,4
Ativo_Permanente,mixin,mixin,True,False,False,0,44
Ativo_Sem_Amortização,phase,phase,False,True,False,2,0
Ativo_Vendido,mixin,mixin,False,True,False,1,0
Ativo_com_Valor_Inicial,phase,phase,False,True,False,3,0
Ação,kind,kind,True,False,False,0,2
Ação_Ordinária,subkind,subkind,False,True,False,1,0
Ação_como_Ativo,role,role,False,True,False,5,0
Balança,kind,kind,False,False,True,2,6
Balança_Fixa,subkind,subkind,False,False,True,3,2
Balança_Fixa_Dinâmica,subkind,subkind,False,True,False,4,0
Balança_Fixa_Estática,subkind,subkind,False,True,False,4,0
Balança_Ideal,phase,phase,False,True,False,3,0
Balança_Móvel,subkind,subkind,False,True,False,3,0
Balança_com_Defeito,phase,phase,False,True,False,3,0
Base_Operacional,subkind,subkind,False,True,False,7,0
Bem_Alugado,category,category,True,False,False,0,3
Bem_Arrendado,category,category,True,False,False,0,9
Bem_Cedido,category,category,True,False,False,0,3
Bem_Comprado,mixin,mixin,True,False,False,0,14
Bem_Construído,category,category,True,False,False,0,4
Bem_Especulativo,kind,kind,False,True,False,5,0
Bem_Imaterial,kind,kind,False,True,False,3,0
Bem_Imóvel,category,category,False,True,False,5,0
Bem_Material,category,category,False,False,True,1,11
Bem_Operacional,kind,kind,False,False,True,2,8
Bem_Operacional_Alugado,subkind,subkind,False,True,False,8,0
Bem_Operacional_Arrendado,subkind,subkind,False,False,True,4,2
Bem_Operacional_Arrendado_Explorado,role,role,False,True,False,9,0
Bem_Operacional_Arrendado_Imobilizado,role,role,False,True,False,9,0
Bem_Operacional_Cedido,subkind,subkind,False,True,False,8,0
Bem_Operacional_Comprado,subkind,subkind,False,False,True,4,2
Bem_Operacional_Comprado_Explorado,role,role,False,True,False,9,0
Bem_Operacional_Comprado_Imobilizado,role,role,False,True,False,9,0
Bem_Operacional_Explorado,role,role,False,False,True,3,4
Bem_Operacional_Imobilizado,role,role,False,False,True,3,2
Bem_Segurado,rolemixin,rolemixin,False,True,False,4,0
Bem_da_Concessão,rolemixin,rolemixin,False,False,True,3,1
Bueiro,kind,kind,False,True,False,5,0
Call_Box,kind,kind,False,True,False,3,0
Centro_de_Atendimento_ao_Usuário,subkind,subkind,False,True,False,7,0
Centro_de_Controle_Operacional,subkind,subkind,False,True,False,7,0
Componente_Rodoviário,category,category,True,False,False,0,122
Componente_Rodoviário_Modificado_em_Concessão,rolemixin,rolemixin,False,True,False,2,0
Componente_de_Iluminação,kind,kind,False,False,True,3,2
Componente_de_Iluminação_Ideal,phase,phase,False,True,False,4,0
Componente_de_Iluminação_com_Defeito,phase,phase,False,True,False,4,0
Contador_de_Veículo,subkind,subkind,False,True,False,4,0
Contorno_Rodoviário,subkind,subkind,False,True,False,5,0
Cruzamento,subkind,subkind,False,False,True,4,3
Cruzamento_Esconso,subkind,subkind,False,True,False,5,0
Cruzamento_Ortogonal,subkind,subkind,False,True,False,5,0
Cruzamento_com_Ilhas,subkind,subkind,False,True,False,5,0
Curva,kind,kind,False,True,False,3,0
Câmera_CFTV,subkind,subkind,False,True,False,4,0
Descida_D'água,kind,kind,False,True,False,5,0
Detector_de_Altura,kind,kind,False,True,False,2,0
Dissipador_de_Energia,kind,kind,False,True,False,5,0
Distrito,kind,kind,False,True,False,3,0
Drenagem_Subterrânea,subkind,subkind,False,True,False,6,0
Drenagem_Superficial,subkind,subkind,False,True,False,6,0
Drenagem_de_Transposição_de_Talvegues,subkind,subkind,False,True,False,6,0
Drenagem_de_Travessia_Urbana,subkind,subkind,False,True,False,6,0
Drenagem_do_Pavimento,subkind,subkind,False,True,False,6,0
Dreno,kind,kind,False,True,False,5,0
Edificação_Rodoviária_de_Apoio,subkind,subkind,False,True,False,7,0
Edificação_de_Rodovia,subkind,subkind,False,False,True,6,19
Elemento_Espacial,category,category,False,False,True,1,69
Elemento_Georreferenciado,category,category,True,False,False,0,238
Elemento_Linear,category,category,False,False,True,1,129
Elemento_Pontual,category,category,False,False,True,1,57
Elemento_Rodoviário_Modificado_em_Concessão,rolemixin,rolemixin,True,False,False,0,2
Elemento_de_Utilidade_Pública,category,category,True,False,False,0,2
Entroncamento,subkind,subkind,False,False,True,4,2
Entroncamento_em_T,subkind,subkind,False,True,False,5,0
Entroncamento_em_Y,subkind,subkind,False,True,False,5,0
Escada,kind,kind,False,True,False,5,0
Estabelecimento,role,role,False,False,True,4,2
Estado,kind,kind,False,True,False,3,0
Estação_Meteoreológica,kind,kind,False,True,False,3,0
Faixa_de_Domínio,kind,kind,False,False,True,2,3
Faixa_de_Domínio_Ideal,phase,phase,False,True,False,3,0
Faixa_de_Domínio_Utilizada,role,role,False,True,False,3,0
Faixa_de_Domínio_com_Defeito,phase,phase,False,True,False,3,0
Filial,role,role,False,True,False,5,0
Imóvel,category,category,False,False,True,2,48
Imóvel_Desapropriado,rolemixin,rolemixin,False,False,True,5,1
Imóvel_Desapropriado_com_Laudo_de_Avaliação,rolemixin,rolemixin,False,True,False,6,0
Imóvel_Edificado,kind,kind,False,False,True,3,34
Imóvel_Edificado_Alugado,subkind,subkind,False,True,False,9,0
Imóvel_Edificado_Arrendado,subkind,subkind,False,False,True,5,2
Imóvel_Edificado_Arrendado_Explorado,role,role,False,True,False,10,0
Imóvel_Edificado_Arrendado_Imobilizado,role,role,False,True,False,10,0
Imóvel_Edificado_Cedido,subkind,subkind,False,True,False,9,0
Imóvel_Edificado_Comprado,subkind,subkind,False,False,True,5,2
Imóvel_Edificado_Comprado_Explorado,role,role,False,True,False,10,0
Imóvel_Edificado_Comprado_Imobilizado,role,role,False,True,False,10,0
Imóvel_Edificado_Construído,subkind,subkind,False,False,True,5,2
Imóvel_Edificado_Construído_Explorado,role,role,False,True,False,10,0
Imóvel_Edificado_Construído_Imobilizado,role,role,False,True,False,10,0
Imóvel_Edificado_Explorado,role,role,False,False,True,3,5
Imóvel_Edificado_Imobilizado,role,role,False,False,True,3,3
Imóvel_em_Área_de_Interesse_Público,rolemixin,rolemixin,False,False,True,3,2
Inscrição_no_Pavimento,subkind,subkind,False,False,True,5,3
Intersecção_Explorada,role,role,False,True,False,4,0
