execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,18,2,1,85.71428571428571,9.523809523809524,4.761904761904762,294,280,14,294,262,32,95.23809523809523,4.761904761904762,89.1156462585034,10.884353741496598,-2,2,0,-9.523809523809518,9.523809523809524,0.0,-18,18,-6.122448979591823,6.122448979591836,2
2,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,19,1,1,90.47619047619048,4.761904761904762,4.761904761904762,294,280,14,294,271,23,95.23809523809523,4.761904761904762,92.17687074829932,7.8231292517006805,-1,1,0,-4.761904761904745,4.761904761904762,0.0,-9,9,-3.0612244897959044,3.0612244897959187,1
3,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,19,1,1,90.47619047619048,4.761904761904762,4.761904761904762,294,280,14,294,271,23,95.23809523809523,4.761904761904762,92.17687074829932,7.8231292517006805,-1,1,0,-4.761904761904745,4.761904761904762,0.0,-9,9,-3.0612244897959044,3.0612244897959187,1
4,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,18,2,1,85.71428571428571,9.523809523809524,4.761904761904762,294,280,14,294,262,32,95.23809523809523,4.761904761904762,89.1156462585034,10.884353741496598,-2,2,0,-9.523809523809518,9.523809523809524,0.0,-18,18,-6.122448979591823,6.122448979591836,2
5,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,18,2,1,85.71428571428571,9.523809523809524,4.761904761904762,294,280,14,294,262,32,95.23809523809523,4.761904761904762,89.1156462585034,10.884353741496598,-2,2,0,-9.523809523809518,9.523809523809524,0.0,-18,18,-6.122448979591823,6.122448979591836,2
6,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,19,1,1,90.47619047619048,4.761904761904762,4.761904761904762,294,280,14,294,271,23,95.23809523809523,4.761904761904762,92.17687074829932,7.8231292517006805,-1,1,0,-4.761904761904745,4.761904761904762,0.0,-9,9,-3.0612244897959044,3.0612244897959187,1
7,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,19,1,1,90.47619047619048,4.761904761904762,4.761904761904762,294,280,14,294,271,23,95.23809523809523,4.761904761904762,92.17687074829932,7.8231292517006805,-1,1,0,-4.761904761904745,4.761904761904762,0.0,-9,9,-3.0612244897959044,3.0612244897959187,1
8,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,19,1,1,90.47619047619048,4.761904761904762,4.761904761904762,294,280,14,294,271,23,95.23809523809523,4.761904761904762,92.17687074829932,7.8231292517006805,-1,1,0,-4.761904761904745,4.761904761904762,0.0,-9,9,-3.0612244897959044,3.0612244897959187,1
9,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,17,3,1,80.95238095238095,14.285714285714285,4.761904761904762,294,280,14,294,253,41,95.23809523809523,4.761904761904762,86.05442176870748,13.945578231292515,-3,3,0,-14.285714285714278,14.285714285714285,0.0,-27,27,-9.183673469387742,9.183673469387752,3
10,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,14,6,1,66.66666666666666,28.57142857142857,4.761904761904762,294,280,14,294,242,52,95.23809523809523,4.761904761904762,82.31292517006803,17.687074829931973,-6,6,0,-28.57142857142857,28.57142857142857,0.0,-38,38,-12.9251700680272,12.92517006802721,1
11,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,17,3,1,80.95238095238095,14.285714285714285,4.761904761904762,294,280,14,294,257,37,95.23809523809523,4.761904761904762,87.41496598639455,12.585034013605442,-3,3,0,-14.285714285714278,14.285714285714285,0.0,-23,23,-7.823129251700678,7.8231292517006805,1
12,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,12,8,1,57.14285714285714,38.095238095238095,4.761904761904762,294,280,14,294,224,70,95.23809523809523,4.761904761904762,76.19047619047619,23.809523809523807,-8,8,0,-38.09523809523809,38.095238095238095,0.0,-56,56,-19.047619047619037,19.047619047619044,0
13,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,18,2,1,85.71428571428571,9.523809523809524,4.761904761904762,294,280,14,294,262,32,95.23809523809523,4.761904761904762,89.1156462585034,10.884353741496598,-2,2,0,-9.523809523809518,9.523809523809524,0.0,-18,18,-6.122448979591823,6.122448979591836,2
14,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,19,1,1,90.47619047619048,4.761904761904762,4.761904761904762,294,280,14,294,271,23,95.23809523809523,4.761904761904762,92.17687074829932,7.8231292517006805,-1,1,0,-4.761904761904745,4.761904761904762,0.0,-9,9,-3.0612244897959044,3.0612244897959187,1
15,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,19,1,1,90.47619047619048,4.761904761904762,4.761904761904762,294,280,14,294,271,23,95.23809523809523,4.761904761904762,92.17687074829932,7.8231292517006805,-1,1,0,-4.761904761904745,4.761904761904762,0.0,-9,9,-3.0612244897959044,3.0612244897959187,1
16,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,6,14,1,28.57142857142857,66.66666666666666,4.761904761904762,294,280,14,294,194,100,95.23809523809523,4.761904761904762,65.98639455782312,34.01360544217687,-14,14,0,-66.66666666666666,66.66666666666666,0.0,-86,86,-29.25170068027211,29.251700680272105,0
17,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,19,1,1,90.47619047619048,4.761904761904762,4.761904761904762,294,280,14,294,271,23,95.23809523809523,4.761904761904762,92.17687074829932,7.8231292517006805,-1,1,0,-4.761904761904745,4.761904761904762,0.0,-9,9,-3.0612244897959044,3.0612244897959187,1
18,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,19,1,1,90.47619047619048,4.761904761904762,4.761904761904762,294,280,14,294,271,23,95.23809523809523,4.761904761904762,92.17687074829932,7.8231292517006805,-1,1,0,-4.761904761904745,4.761904761904762,0.0,-9,9,-3.0612244897959044,3.0612244897959187,1
19,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,19,1,1,90.47619047619048,4.761904761904762,4.761904761904762,294,280,14,294,271,23,95.23809523809523,4.761904761904762,92.17687074829932,7.8231292517006805,-1,1,0,-4.761904761904745,4.761904761904762,0.0,-9,9,-3.0612244897959044,3.0612244897959187,1
20,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,18,2,1,85.71428571428571,9.523809523809524,4.761904761904762,294,280,14,294,262,32,95.23809523809523,4.761904761904762,89.1156462585034,10.884353741496598,-2,2,0,-9.523809523809518,9.523809523809524,0.0,-18,18,-6.122448979591823,6.122448979591836,2
21,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,19,1,1,90.47619047619048,4.761904761904762,4.761904761904762,294,280,14,294,271,23,95.23809523809523,4.761904761904762,92.17687074829932,7.8231292517006805,-1,1,0,-4.761904761904745,4.761904761904762,0.0,-9,9,-3.0612244897959044,3.0612244897959187,1
