execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.380033791065216e-05,8.510006591677666e-05,1.3599637895822525e-05,8.699949830770493e-06,0.00021769991144537926,7.899943739175797e-06,5.499925464391708e-06,1.1699739843606949e-05,1.4099758118391037e-05,8.359970524907112e-05,0.0010802997276186943,0.004499300383031368,0.00018170010298490524,1.750001683831215e-05,0.0019785999320447445,0.008219099137932062
2,9.96999442577362e-05,1.4400109648704529e-05,1.0799616575241089e-05,1.0099727660417557e-05,0.0003420999273657799,9.000301361083984e-06,6.0996972024440765e-06,1.00000761449337e-05,1.090019941329956e-05,1.4800112694501877e-05,0.00010289996862411499,0.00010149972513318062,0.0002302001230418682,2.6300083845853806e-05,1.2000557035207748e-05,0.0010008001700043678
3,1.0599847882986069e-05,8.689938113093376e-05,1.0599847882986069e-05,8.599832653999329e-06,0.0002114996314048767,7.899943739175797e-06,5.700159817934036e-06,1.1799857020378113e-05,1.12997367978096e-05,9.820004925131798e-05,0.0010425997897982597,0.004509899765253067,0.00018239999189972878,1.6800127923488617e-05,0.0019021998159587383,0.00811699777841568
4,7.659988477826118e-05,1.1599622666835785e-05,1.0099727660417557e-05,8.699949830770493e-06,0.00026510003954172134,7.699709385633469e-06,5.3998082876205444e-06,9.899493306875229e-06,1.0599847882986069e-05,1.0899733752012253e-05,8.230004459619522e-05,7.769977673888206e-05,0.0001852000132203102,1.8999911844730377e-05,1.4699995517730713e-05,0.0007954975590109825
5,1.0800082236528397e-05,8.430005982518196e-05,1.3499986380338669e-05,8.699949830770493e-06,0.0002164999023079872,8.00006091594696e-06,5.499925464391708e-06,1.1399853974580765e-05,1.0999850928783417e-05,8.220039308071136e-05,0.001112199854105711,0.004413199611008167,0.00018070032820105553,1.8600374460220337e-05,0.0018874001689255238,0.008064000401645899
6,7.649976760149002e-05,1.1300202459096909e-05,1.0100193321704865e-05,8.400063961744308e-06,0.000265700276941061,8.00006091594696e-06,5.2996911108493805e-06,1.309998333454132e-05,1.0899733752012253e-05,1.0999850928783417e-05,8.229957893490791e-05,7.71000050008297e-05,0.00018170010298490524,1.6300007700920105e-05,1.1200085282325745e-05,0.0007888996042311192
7,1.0600313544273376e-05,8.750008419156075e-05,1.0299962013959885e-05,8.599832653999329e-06,0.00021780002862215042,7.80029222369194e-06,5.3998082876205444e-06,1.1200550943613052e-05,1.0999385267496109e-05,8.690031245350838e-05,0.0010087001137435436,0.004759600386023521,0.00017609959468245506,1.6700010746717453e-05,0.0018917000852525234,0.008309900760650635
8,7.640011608600616e-05,1.1099502444267273e-05,1.4099758118391037e-05,8.90018418431282e-06,0.00029450003057718277,7.6000578701496124e-06,5.2996911108493805e-06,1.019984483718872e-05,1.0599847882986069e-05,1.090019941329956e-05,8.00001434981823e-05,7.699942216277122e-05,0.00017900019884109497,1.58003531396389e-05,1.0999385267496109e-05,0.0008123987354338169
9,1.0799616575241089e-05,8.619995787739754e-05,1.0699965059757233e-05,9.09995287656784e-06,0.00022350018844008446,8.099712431430817e-06,5.3998082876205444e-06,1.1700205504894257e-05,1.1200085282325745e-05,8.63000750541687e-05,0.0010745003819465637,0.004424999933689833,0.00018610013648867607,1.7399899661540985e-05,0.0019261003471910954,0.008092100266367197
10,7.699988782405853e-05,1.1799857020378113e-05,1.0400079190731049e-05,8.899718523025513e-06,0.00026449980214238167,7.599592208862305e-06,5.499925464391708e-06,9.899958968162537e-06,1.3599637895822525e-05,1.1200550943613052e-05,8.120015263557434e-05,7.690023630857468e-05,0.0001822998747229576,1.5799887478351593e-05,1.1499971151351929e-05,0.0007880991324782372
