execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.3599987141788006e-05,8.170001092366874e-05,1.3399985618889332e-05,1.170000177808106e-05,7.449999975506216e-05,0.010639000000082888,1.2999997125007212e-05,1.2200005585327744e-05,1.2200005585327744e-05,4.3499996536411345e-05,9.2999980552122e-06,6.000002031214535e-06,0.00042749999556690454,0.00032079999800771475,1.1800002539530396e-05,0.011690199986333027
2,1.4200006262399256e-05,8.539999544154853e-05,1.3700002455152571e-05,1.54000153997913e-05,0.00010000000474974513,0.011750699995900504,1.6700010746717453e-05,3.780001134146005e-05,1.3500015484169126e-05,4.8299989430233836e-05,9.900002623908222e-06,6.100002792663872e-06,0.0004285000031813979,0.0003193000011378899,1.2800010154023767e-05,0.012872300067101605
3,1.309998333454132e-05,8.009998418856412e-05,1.3200013199821115e-05,1.1600001016631722e-05,7.37999944249168e-05,0.010830800005351193,1.5400000847876072e-05,1.2100004823878407e-05,1.1500000255182385e-05,4.149999585933983e-05,9.399998816661537e-06,6.000002031214535e-06,0.00040269999590236694,0.00030729999707546085,1.2099990271963179e-05,0.011840599967399612
4,1.3100012438371778e-05,7.739999273326248e-05,1.2999982573091984e-05,1.1500000255182385e-05,7.249999907799065e-05,0.010565899996436201,1.2699994840659201e-05,1.2200005585327744e-05,1.1600001016631722e-05,4.159999662078917e-05,9.199997293762863e-06,6.000002031214535e-06,0.00040160000207833946,0.000302100001135841,1.2200005585327744e-05,0.011562599989701994
5,1.2799995602108538e-05,7.910000567790121e-05,1.3199984095990658e-05,1.1500000255182385e-05,7.390000973828137e-05,0.006415799987735227,1.2599994079209864e-05,1.239999255631119e-05,1.1800002539530396e-05,4.3799998820759356e-05,9.2999980552122e-06,6.199989002197981e-06,0.0002972999936901033,0.0002108000044245273,1.1899988749064505e-05,0.007222399945021607
6,1.3100012438371778e-05,8.169999637175351e-05,1.3899989426136017e-05,1.1800002539530396e-05,7.580000965390354e-05,0.006766200007405132,1.340000017080456e-05,1.2100004823878407e-05,1.200000406242907e-05,4.3400010326877236e-05,9.900002623908222e-06,6.399990525096655e-06,0.0003152999997837469,0.00022170000011101365,1.2699994840659201e-05,0.007609400025103241
7,1.3300013961270452e-05,8.13000078778714e-05,1.3299984857439995e-05,3.090000245720148e-05,7.490000280085951e-05,0.006632799995713867,1.340000017080456e-05,1.2599994079209864e-05,1.170000177808106e-05,4.1399995097890496e-05,9.60000033956021e-06,6.200003554113209e-06,0.0003020000003743917,0.00021640000340994447,1.2499993317760527e-05,0.007472299999790266
8,1.3400014722719789e-05,0.0017650999943725765,1.4599994756281376e-05,1.2800010154023767e-05,0.008183300000382587,0.00661539999418892,1.3200013199821115e-05,1.2400007108226418e-05,1.2200005585327744e-05,6.19000056758523e-05,9.499999578110874e-06,7.800001185387373e-06,0.0010114000033354387,0.0007135999912861735,1.2300006346777081e-05,0.018458900041878223
9,1.580000389367342e-05,7.730000652372837e-05,1.2999997125007212e-05,1.1800002539530396e-05,7.809998351149261e-05,0.010734100011177361,1.2699994840659201e-05,1.200000406242907e-05,1.1500000255182385e-05,4.189999890513718e-05,9.499999578110874e-06,6.099988240748644e-06,0.0004074000025866553,0.0003090000100200996,1.1900003300979733e-05,0.011752100006560795
10,1.4499993994832039e-05,8.380001236218959e-05,1.3700002455152571e-05,1.2599994079209864e-05,8.250000246334821e-05,0.009053000001586042,1.4000004739500582e-05,1.2899996363557875e-05,1.2300006346777081e-05,4.780001472681761e-05,1.2899996363557875e-05,6.600006599910557e-06,0.0004555000050459057,0.00030840000545140356,1.2999997125007212e-05,0.010143500039703213
11,1.3199998647905886e-05,8.270000398624688e-05,1.2800010154023767e-05,1.1199997970834374e-05,7.380000897683203e-05,0.010918200001469813,1.2400007108226418e-05,1.209997572004795e-05,1.3100012438371778e-05,4.189999890513718e-05,9.400013368576765e-06,5.900001269765198e-06,0.0004022000066470355,0.0003093999985139817,1.200000406242907e-05,0.011930300039239228
12,1.4500008546747267e-05,8.329999400302768e-05,1.3899989426136017e-05,1.2299991794861853e-05,8.209999941755086e-05,0.009199000007356517,1.3400014722719789e-05,1.2600008631125093e-05,1.2500007869675756e-05,4.429998807609081e-05,1.1600001016631722e-05,6.50000583846122e-06,0.00037400001019705087,0.00027540000155568123,1.2699994840659201e-05,0.010168100023292936
13,1.3200013199821115e-05,7.780001033097506e-05,3.2099997042678297e-05,1.1600001016631722e-05,7.239999831654131e-05,0.006871100005810149,1.3299999409355223e-05,1.2499993317760527e-05,1.1600001016631722e-05,4.259998968336731e-05,9.2999980552122e-06,6.299989763647318e-06,0.00030169999809004366,0.00021410000044852495,1.2300006346777081e-05,0.0077019000018481165
14,1.379998866468668e-05,7.950000872369856e-05,1.4399993233382702e-05,1.2499993317760527e-05,8.359999628737569e-05,1.5099998563528061e-05,7.739999273326248e-05,1.2399978004395962e-05,1.549998705741018e-05,6.239999493118376e-05,1.0099989594891667e-05,6.300004315562546e-06,0.0005359000060707331,0.00035880001087207347,1.309999788645655e-05,0.001310799940256402
15,1.3600001693703234e-05,7.739999273326248e-05,1.3800003216601908e-05,1.170000177808106e-05,7.439999899361283e-05,1.400001929141581e-05,7.399999594781548e-05,1.200000406242907e-05,1.4199991710484028e-05,4.020000051241368e-05,9.499999578110874e-06,6.200003554113209e-06,0.00045909998880233616,0.0003495999990263954,1.2299991794861853e-05,0.001181999992695637
16,1.410000550094992e-05,0.0010277000110363588,1.5300000086426735e-05,2.890000178012997e-05,0.004000400003860705,0.011392899992642924,1.3899989426136017e-05,1.2999997125007212e-05,1.2299991794861853e-05,4.560001252684742e-05,1.0000003385357559e-05,6.599992047995329e-06,0.0009646000107750297,0.000676800002111122,1.309999788645655e-05,0.018235200011986308
17,1.3199998647905886e-05,0.0009014999959617853,1.4000004739500582e-05,1.1699987226165831e-05,0.003971799989813007,0.010441800011903979,1.3100012438371778e-05,1.2500007869675756e-05,1.170000177808106e-05,4.2100000428035855e-05,9.700001101009548e-06,6.499991286545992e-06,0.0008340999920619652,0.0006912000098964199,1.239999255631119e-05,0.01698729999770876
18,1.4099990949034691e-05,8.090000483207405e-05,1.3699987903237343e-05,1.2200005585327744e-05,7.619999814778566e-05,0.007160200009820983,1.3600001693703234e-05,1.2799995602108538e-05,1.2099990271963179e-05,4.360001184977591e-05,9.900002623908222e-06,6.200003554113209e-06,0.00045229999523144215,0.0002238000015495345,1.2499993317760527e-05,0.008144099992932752
19,1.2799995602108538e-05,7.840000034775585e-05,1.2999997125007212e-05,1.1600001016631722e-05,7.369999366346747e-05,0.0063993999938247725,1.2899996363557875e-05,1.2100004823878407e-05,1.170000177808106e-05,4.430000262800604e-05,9.2999980552122e-06,6.300004315562546e-06,0.0002978999982587993,0.00021899999410379678,1.170000177808106e-05,0.007214099983684719
20,1.5199999324977398e-05,8.800000068731606e-05,1.4600009308196604e-05,1.3100012438371778e-05,8.459998934995383e-05,0.0072773000138113275,1.4300007023848593e-05,1.3299999409355223e-05,1.2699980288743973e-05,4.549999721348286e-05,1.0200004908256233e-05,6.599992047995329e-06,0.000335000004270114,0.00022819999139755964,1.3199998647905886e-05,0.008171800000127405
21,1.410000550094992e-05,7.88999896030873e-05,1.3600016245618463e-05,1.170000177808106e-05,7.46000005165115e-05,0.006573299993760884,1.2599979527294636e-05,1.4899997040629387e-05,1.170000177808106e-05,4.05999890062958e-05,9.2999980552122e-06,6.199989002197981e-06,0.0003184000088367611,0.0002142000012099743,1.2199991033412516e-05,0.007406299962894991
22,1.4399993233382702e-05,7.999999797903001e-05,1.3899989426136017e-05,1.2200005585327744e-05,7.599999662488699e-05,1.4500008546747267e-05,7.490000280085951e-05,1.270000939257443e-05,1.4600009308196604e-05,4.299999272916466e-05,1.0099989594891667e-05,6.199989002197981e-06,0.00044639999396167696,0.0003102000046055764,2.609999501146376e-05,0.0011551999778021127
23,1.309999788645655e-05,7.999999797903001e-05,1.2800010154023767e-05,1.1299998732283711e-05,7.71000050008297e-05,1.410000550094992e-05,7.259999983943999e-05,1.2199976481497288e-05,1.1500000255182385e-05,3.989999822806567e-05,9.700001101009548e-06,5.999987479299307e-06,0.00040520000038668513,0.0003426000039326027,1.1999989510513842e-05,0.0011200999724678695
24,1.3999990187585354e-05,7.860001642256975e-05,1.3800003216601908e-05,1.1599986464716494e-05,7.599999662488699e-05,1.4199991710484028e-05,7.390000973828137e-05,1.200000406242907e-05,1.1399999493733048e-05,4.050000279676169e-05,1.0099989594891667e-05,6.000002031214535e-06,0.00042630000098142773,0.0003133999998681247,1.2099990271963179e-05,0.0011138999834656715
25,1.3300013961270452e-05,7.840000034775585e-05,1.2799995602108538e-05,1.1500000255182385e-05,7.490000280085951e-05,1.7099999240599573e-05,7.570000889245421e-05,1.2300006346777081e-05,1.170000177808106e-05,3.940000897273421e-05,9.2999980552122e-06,6.000002031214535e-06,0.00041110000165645033,0.00031519999902229756,1.2099990271963179e-05,0.0011008000292349607
26,2.0099992980249226e-05,0.00011150000500492752,2.039998071268201e-05,1.819999306462705e-05,0.00010710000060498714,2.1800020476803184e-05,0.00010529998689889908,1.829999382607639e-05,1.9700004486367106e-05,5.629999213851988e-05,9.800001862458885e-06,6.099988240748644e-06,0.0004352999967522919,0.0003519000019878149,1.2600008631125093e-05,0.001314399967668578
27,1.3399985618889332e-05,1.1500000255182385e-05,1.2500007869675756e-05,7.429999823216349e-05,1.170000177808106e-05,8.069998875726014e-05,1.170000177808106e-05,1.2100004823878407e-05,1.1199997970834374e-05,4.269999044481665e-05,9.200011845678091e-06,0.0038712000095983967,7.100010407157242e-06,6.000002031214535e-06,1.1299998732283711e-05,0.004186600010143593
28,1.3900003978051245e-05,7.99000117694959e-05,1.3500000932253897e-05,1.200000406242907e-05,8.009999874047935e-05,1.4700010069645941e-05,7.930000720079988e-05,1.270000939257443e-05,1.209997572004795e-05,4.289999196771532e-05,1.0599993402138352e-05,6.200003554113209e-06,0.00027049999334849417,0.00023920000239741057,1.2999997125007212e-05,0.0009006000036606565
29,1.3100012438371778e-05,7.569999434053898e-05,1.3299984857439995e-05,1.1800002539530396e-05,7.46000005165115e-05,0.008690900009241886,1.3100012438371778e-05,1.2600008631125093e-05,1.1800002539530396e-05,4.159999662078917e-05,9.499999578110874e-06,6.100002792663872e-06,0.0003513999981805682,0.00025830000231508166,1.2199991033412516e-05,0.009596000018063933
30,1.4299992471933365e-05,8.270000398624688e-05,1.3700002455152571e-05,1.720000000204891e-05,7.819999882485718e-05,0.007214500001282431,1.7499987734481692e-05,1.7600003047846258e-05,1.6699996194802225e-05,4.5500011765398085e-05,9.900002623908222e-06,1.1099997209385037e-05,0.0003510999958962202,0.00022400000307243317,1.300001167692244e-05,0.008127000008244067
31,1.6599995433352888e-05,9.020000288728625e-05,2.720000338740647e-05,1.2599994079209864e-05,7.639999967068434e-05,1.7499987734481692e-05,7.750000804662704e-05,1.200000406242907e-05,1.1900003300979733e-05,4.280002031009644e-05,9.60000033956021e-06,6.100002792663872e-06,0.000374099996406585,0.00021840000408701599,1.2699994840659201e-05,0.001005600017379038
32,1.3600001693703234e-05,7.899999036453664e-05,1.2899996363557875e-05,1.170000177808106e-05,7.310000364668667e-05,1.3499986380338669e-05,7.150000601541251e-05,1.170000177808106e-05,1.1500000255182385e-05,4.230000195093453e-05,9.700001101009548e-06,5.900001269765198e-06,0.0002525000018067658,0.00016939999477472156,3.809999907389283e-05,0.0008163999882526696
33,1.3300013961270452e-05,7.9699995694682e-05,1.2500007869675756e-05,1.130001328419894e-05,7.340000593103468e-05,0.0063150999922072515,1.3399985618889332e-05,1.2200005585327744e-05,1.1199997970834374e-05,4.150001041125506e-05,9.60000033956021e-06,6.000002031214535e-06,0.0002965000021504238,0.0002356000040890649,1.2599994079209864e-05,0.007143900031223893
34,0.004198299997369759,8.839998918119818e-05,0.00012179999612271786,8.690000686328858e-05,0.00011550000635907054,0.003005699996720068,1.3700002455152571e-05,0.00016120000509545207,1.5900004655122757e-05,4.679999256040901e-05,1.0100004146806896e-05,0.00404030000208877,7.700000423938036e-06,6.600006599910557e-06,1.2199991033412516e-05,0.011931100001675077
35,1.3299999409355223e-05,7.780001033097506e-05,1.2900010915473104e-05,1.170000177808106e-05,7.43999844416976e-05,0.006374499993398786,1.3199998647905886e-05,1.2400007108226418e-05,1.440000778529793e-05,4.1399995097890496e-05,9.499999578110874e-06,6.100002792663872e-06,0.0003581999917514622,0.00021529999503400177,1.2199991033412516e-05,0.00724729998910334
36,1.4299992471933365e-05,0.00010949998977594078,3.2500000088475645e-05,2.5600005756132305e-05,7.330000516958535e-05,2.0000006770715117e-05,9.520001185592264e-05,1.2599994079209864e-05,1.41999771585688e-05,4.08000050811097e-05,9.499999578110874e-06,6.000002031214535e-06,0.0002673999988473952,0.00016619999951217324,1.170000177808106e-05,0.0008987999899545684
