execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.2700038496404886e-05,8.899997919797897e-05,1.2199976481497288e-05,1.090002479031682e-05,7.98000255599618e-05,0.00709089997690171,1.290004001930356e-05,1.9000144675374031e-06,1.1299969628453255e-05,2.7499976567924023e-05,8.300004992634058e-06,5.599984433501959e-06,0.00032359996112063527,0.0003215000033378601,1.5099998563528061e-05,0.008023199974559247
2,1.279998105019331e-05,8.220004383474588e-05,1.1999974958598614e-05,1.079996582120657e-05,7.760000880807638e-05,0.006915299978572875,1.499993959441781e-05,1.800013706088066e-06,1.1399970389902592e-05,2.589996438473463e-05,8.200004231184721e-06,5.699985194951296e-06,0.0003203999949619174,0.00023289996897801757,9.999959729611874e-06,0.007741999754216522
3,1.200009137392044e-05,8.00999696366489e-05,1.1500029359012842e-05,1.0500021744519472e-05,7.910002022981644e-05,0.004641299950890243,1.2200034689158201e-05,1.7999554984271526e-06,1.1300027836114168e-05,2.5999965146183968e-05,8.000002708286047e-06,5.699985194951296e-06,0.0002704999642446637,0.0001770000089891255,9.7999582067132e-06,0.005356799985747784
4,1.209997572004795e-05,8.169992361217737e-05,1.1700030881911516e-05,1.0499963536858559e-05,7.799995364621282e-05,0.004548800003249198,1.1499971151351929e-05,1.6998965293169022e-06,1.100008375942707e-05,2.4600012693554163e-05,7.800001185387373e-06,5.299982149153948e-06,0.00025459995958954096,0.00018200004706159234,9.500014130026102e-06,0.005250799818895757
5,1.209997572004795e-05,8.480006363242865e-05,1.1499971151351929e-05,1.009996049106121e-05,7.449998520314693e-05,0.0077671000035479665,1.170008908957243e-05,1.800013706088066e-06,1.1100026313215494e-05,2.5800021830946207e-05,7.800001185387373e-06,5.700043402612209e-06,0.000305800000205636,0.000222400005441159,9.200011845678091e-06,0.008561400172766298
6,1.2300035450607538e-05,7.90000194683671e-05,1.1400086805224419e-05,1.0600080713629723e-05,7.630005711689591e-05,0.007013599970377982,1.179997343569994e-05,1.9000144675374031e-06,1.109996810555458e-05,2.589996438473463e-05,7.90000194683671e-06,5.600042641162872e-06,0.0003147000097669661,0.00022819999139755964,9.500014130026102e-06,0.007819800230208784
7,1.2199976481497288e-05,0.0028803999884985387,1.3100041542202234e-05,1.1299969628453255e-05,0.013030899921432137,0.004868999996688217,1.2600095942616463e-05,1.800013706088066e-06,1.1700030881911516e-05,2.6100024115294218e-05,8.000002708286047e-06,5.700043402612209e-06,0.0012880000285804272,0.0008259000023826957,1.0000017937272787e-05,0.02300670015392825
8,1.5199999324977398e-05,8.269998943433166e-05,1.179997343569994e-05,1.0599964298307896e-05,0.00010009994730353355,0.00731030001770705,1.4999997802078724e-05,1.9000144675374031e-06,1.1499971151351929e-05,2.559996210038662e-05,7.800001185387373e-06,5.499983672052622e-06,0.00039300002390518785,0.00024999998277053237,9.800016414374113e-06,0.00825079984497279
9,1.3000040780752897e-05,0.0020082000410184264,2.529995981603861e-05,1.8900027498602867e-05,0.010930799995549023,0.0023926999419927597,1.2899981811642647e-05,2.1999585442245007e-06,1.2299977242946625e-05,3.739999374374747e-05,8.100003469735384e-06,5.700043402612209e-06,0.0006908000214025378,0.00046669994480907917,1.009996049106121e-05,0.01663509989157319
10,1.3399985618889332e-05,0.006603699934203178,1.4199991710484028e-05,1.209997572004795e-05,0.030096899950876832,0.0025662999833002687,1.309998333454132e-05,1.800013706088066e-06,1.2199976481497288e-05,2.6699970476329327e-05,9.200011845678091e-06,6.099988240748644e-06,0.002980099990963936,0.001988000003620982,1.479999627918005e-05,0.04435859975637868
11,1.2500036973506212e-05,0.00673519994597882,1.3399985618889332e-05,1.1299969628453255e-05,0.02510300005087629,0.0024378999951295555,1.27000967040658e-05,2.200016751885414e-06,1.2400036212056875e-05,3.0399998649954796e-05,8.90000956133008e-06,5.89998671784997e-06,0.001631000021006912,0.0011709000100381672,1.0400020983070135e-05,0.037198100180830806
12,1.2699980288743973e-05,8.480000542476773e-05,1.2100033927708864e-05,1.0800024028867483e-05,8.010002784430981e-05,0.0024619000032544136,1.260003773495555e-05,1.9000144675374031e-06,1.1800031643360853e-05,2.589996438473463e-05,8.200004231184721e-06,5.799985956400633e-06,0.00021269998978823423,0.00013800000306218863,9.90001717582345e-06,0.0030892001232132316
13,1.179997343569994e-05,8.230004459619522e-05,1.1500029359012842e-05,1.0600022505968809e-05,7.890001870691776e-05,0.0023514999775215983,1.1399970389902592e-05,1.6999547369778156e-06,1.0800024028867483e-05,2.41999514400959e-05,7.90000194683671e-06,5.499983672052622e-06,0.00020319997565820813,0.00012799998512491584,9.300012607127428e-06,0.0029485999257303774
14,1.2199976481497288e-05,8.070003241300583e-05,1.190003240481019e-05,1.0700023267418146e-05,7.679994450882077e-05,0.0023709999513812363,1.179997343569994e-05,1.700012944638729e-06,1.109996810555458e-05,2.4600012693554163e-05,7.90000194683671e-06,5.699985194951296e-06,0.0001984999980777502,0.00013370002852752805,9.399955160915852e-06,0.002967699896544218
15,1.1800089851021767e-05,8.020002860575914e-05,1.1499971151351929e-05,1.0000017937272787e-05,7.430004188790917e-05,0.002715200011152774,1.2399978004395962e-05,1.7999554984271526e-06,1.0800024028867483e-05,2.7300033252686262e-05,7.700000423938036e-06,5.199981387704611e-06,0.00019880000036209822,0.00012880004942417145,9.000010322779417e-06,0.0033048001932911575
16,1.479999627918005e-05,9.960000170394778e-05,1.1299969628453255e-05,1.0200019460171461e-05,7.559999357908964e-05,0.0022902999771758914,1.1000025551766157e-05,1.700012944638729e-06,1.109996810555458e-05,2.429995220154524e-05,7.800001185387373e-06,5.299982149153948e-06,0.00019399996381253004,0.00013050000416114926,9.000010322779417e-06,0.0028964998782612383
17,1.1500029359012842e-05,7.870001718401909e-05,1.1299969628453255e-05,1.0299962013959885e-05,7.71000050008297e-05,0.0023082999978214502,1.1700030881911516e-05,1.7999554984271526e-06,1.1299969628453255e-05,2.3799948394298553e-05,7.700000423938036e-06,5.399982910603285e-06,0.00020080001559108496,0.00012609997065737844,9.400013368576765e-06,0.002895199868362397
18,1.190003240481019e-05,8.140003774315119e-05,1.179997343569994e-05,1.0499963536858559e-05,8.139997953549027e-05,0.002353499992750585,1.179997343569994e-05,1.9000144675374031e-06,1.1100026313215494e-05,2.570002106949687e-05,8.100003469735384e-06,5.399982910603285e-06,0.00020640000002458692,0.0001273000380024314,1.2800039257854223e-05,0.002961000078357756
19,1.2399978004395962e-05,7.789995288476348e-05,1.1899974197149277e-05,1.0699965059757233e-05,7.569999434053898e-05,0.0023350000265054405,1.160003012046218e-05,1.9000144675374031e-06,1.1100026313215494e-05,2.47000134550035e-05,8.200004231184721e-06,5.500041879713535e-06,0.00020710000535473228,0.00012689997674897313,1.0100018698722124e-05,0.0029307000222615898
20,1.2299977242946625e-05,8.399999933317304e-05,1.2100033927708864e-05,1.0500021744519472e-05,7.609999738633633e-05,0.002975400013383478,1.3800046872347593e-05,1.7999554984271526e-06,1.1200027074664831e-05,2.6200024876743555e-05,7.599999662488699e-06,5.399982910603285e-06,0.00021410000044852495,0.00012889999197795987,9.599956683814526e-06,0.0035890000290237367
