execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,4.480034112930298e-05,4.1800085455179214e-05,3.660004585981369e-05,0.00012099975720047951,0.0005014999769628048,5.6399963796138763e-05,1.9799917936325073e-05,3.929995000362396e-05,2.1997839212417603e-06,0.009997499641031027,0.00012530013918876648,0.00011979974806308746,0.0003172997385263443,0.0007657003588974476,4.2500440031290054e-05,0.012231499888002872
2,3.5800039768218994e-05,3.820005804300308e-05,3.440026193857193e-05,7.870001718401909e-05,0.0005282997153699398,5.0900038331747055e-05,1.859990879893303e-05,3.6100391298532486e-05,1.900363713502884e-06,0.011628299951553345,0.0001163003034889698,0.00010960036888718605,0.00036639999598264694,0.0007269000634551048,4.460010677576065e-05,0.013815001584589481
3,3.7200283259153366e-05,0.013027099892497063,3.62996943295002e-05,8.090026676654816e-05,0.0010201004333794117,4.91999089717865e-05,0.2028867001645267,0.0011275000870227814,2.299901098012924e-06,0.009008099790662527,0.002922500018030405,0.012983200140297413,0.0008431999012827873,0.0007539000362157822,0.010735699906945229,0.2555139004252851
4,0.00011030025780200958,3.769993782043457e-05,0.0003614998422563076,8.199969306588173e-05,0.00031980033963918686,4.940014332532883e-05,1.800013706088066e-05,3.840029239654541e-05,1.8998980522155762e-06,4.610000178217888e-05,0.00012019975110888481,0.00011139968410134315,0.00020150002092123032,0.0007205000147223473,4.0899962186813354e-05,0.0022595999762415886
5,0.00010399986058473587,3.7200283259153366e-05,0.0003347001038491726,8.04997980594635e-05,0.0003785998560488224,4.91999089717865e-05,1.7900019884109497e-05,3.4500379115343094e-05,2.00001522898674e-06,4.479987546801567e-05,0.00011390028521418571,0.00011019967496395111,0.00024820026010274887,0.0007068002596497536,3.9400067180395126e-05,0.0023019006475806236
6,0.04895969992503524,3.7999823689460754e-05,7.039960473775864e-05,7.490022107958794e-05,1.910002902150154e-05,4.779966548085213e-05,0.2109153000637889,0.008710900787264109,1.9995495676994324e-06,4.529999569058418e-05,3.9400067180395126e-05,3.620004281401634e-05,1.7700251191854477e-05,0.0006862999871373177,3.949971869587898e-05,0.26970249973237514
7,3.929995000362396e-05,4.1200313717126846e-05,3.7599820643663406e-05,8.350005373358727e-05,2.329982817173004e-05,5.260016769170761e-05,0.23707429971545935,0.009643299970775843,2.00001522898674e-06,0.006263399962335825,3.910018131136894e-05,4.020007327198982e-05,1.9200146198272705e-05,0.0007690000347793102,4.3400097638368607e-05,0.25417140033096075
8,0.08967670006677508,4.6500470489263535e-05,4.0699727833271027e-05,8.769985288381577e-05,2.1400395780801773e-05,5.189981311559677e-05,0.15122370002791286,0.004830499645322561,2.400018274784088e-06,5.630031228065491e-05,4.0499959141016006e-05,4.1800085455179214e-05,1.930026337504387e-05,0.000772200059145689,4.5200344175100327e-05,0.24695680104196072
9,3.700004890561104e-05,4.880037158727646e-05,3.4300144761800766e-05,7.790001109242439e-05,1.929979771375656e-05,4.910025745630264e-05,0.1499661998823285,0.004529699683189392,2.299901098012924e-06,0.003050500061362982,3.590015694499016e-05,4.0500424802303314e-05,2.0800158381462097e-05,0.0007393001578748226,3.950018435716629e-05,0.1586911012418568
10,3.6700163036584854e-05,3.969995304942131e-05,3.6700163036584854e-05,8.33999365568161e-05,2.0499806851148605e-05,5.100015550851822e-05,0.1504053003154695,0.0045555997639894485,4.90015372633934e-06,0.003071499988436699,3.769993782043457e-05,3.7999823689460754e-05,1.83996744453907e-05,0.000748700462281704,4.1600316762924194e-05,0.15918970061466098
11,3.439979627728462e-05,3.789970651268959e-05,3.3999793231487274e-05,7.889978587627411e-05,1.9399914890527725e-05,4.879990592598915e-05,0.07466940023005009,0.00010829977691173553,1.8998980522155762e-06,0.00011749984696507454,3.5999808460474014e-05,3.570038825273514e-05,1.8300022929906845e-05,0.0007275999523699284,4.17991541326046e-05,0.07600989798083901
12,0.00010380009189248085,4.1599851101636887e-05,0.00036529963836073875,7.720012217760086e-05,0.00031480006873607635,4.990026354789734e-05,1.8300022929906845e-05,3.900006413459778e-05,1.8998980522155762e-06,4.649953916668892e-05,0.0001113000325858593,0.00010780012235045433,0.00020109955221414566,0.0007031997665762901,4.1299499571323395e-05,0.002222998533397913
13,3.609992563724518e-05,3.979960456490517e-05,3.529991954565048e-05,8.270004764199257e-05,2.059992402791977e-05,5.029980093240738e-05,0.15301730018109083,0.004592900164425373,2.00001522898674e-06,0.0030856002122163773,3.6899931728839874e-05,3.749970346689224e-05,1.8300022929906845e-05,0.0007422002963721752,4.1800085455179214e-05,0.16183929983526468
14,0.000107599887996912,3.8100406527519226e-05,0.00034639984369277954,7.880013436079025e-05,0.00039849989116191864,5.020014941692352e-05,1.840014010667801e-05,3.5600271075963974e-05,2.0996667444705963e-06,4.620011895895004e-05,0.00011360039934515953,0.00010569998994469643,0.00025719963014125824,0.0007263002917170525,4.1600316762924194e-05,0.0023663011379539967
15,3.62996943295002e-05,0.00011180015280842781,3.639981150627136e-05,7.379986345767975e-05,0.0005846000276505947,5.250005051493645e-05,1.780036836862564e-05,3.620004281401634e-05,1.900363713502884e-06,0.00011440040543675423,0.0019656000658869743,0.008304100017994642,0.0004622996784746647,0.0007102992385625839,0.005565800238400698,0.018073800019919872
16,4.009995609521866e-05,3.929995000362396e-05,3.589969128370285e-05,7.92001374065876e-05,0.0002494002692401409,5.410006269812584e-05,1.8800143152475357e-05,3.890041261911392e-05,2.00001522898674e-06,0.002558299805969,0.00012009963393211365,0.0001117996871471405,0.0001491997390985489,0.0007527004927396774,4.119984805583954e-05,0.004290999844670296
17,0.00011280039325356483,4.0699727833271027e-05,3.620050847530365e-05,8.080014958977699e-05,0.0005787997506558895,5.170004442334175e-05,2.279970794916153e-05,5.370005965232849e-05,1.8998980522155762e-06,4.860013723373413e-05,0.0001217997632920742,0.00011940021067857742,0.0003744000568985939,0.0007721995934844017,5.50001859664917e-05,0.0024708001874387264
18,3.7599820643663406e-05,0.008827799931168556,3.9800070226192474e-05,8.510006591677666e-05,0.0018060002475976944,5.3399708122015e-05,0.13861790020018816,0.0010324995964765549,1.9995495676994324e-06,0.006033299956470728,0.006361899897456169,0.027486199513077736,0.001485500019043684,0.0007453002035617828,0.011193899903446436,0.20380819868296385
19,4.060054197907448e-05,3.9999838918447495e-05,3.660004585981369e-05,8.150003850460052e-05,0.0012297001667320728,5.519995465874672e-05,1.9600149244070053e-05,3.7999823689460754e-05,2.00001522898674e-06,0.007207099813967943,0.002056700177490711,0.008638400118798018,0.0008229999803006649,0.000750100240111351,4.490045830607414e-05,0.021063401363790035
20,3.679981455206871e-05,3.950018435716629e-05,3.589969128370285e-05,8.41999426484108e-05,0.0004572998732328415,5.479995161294937e-05,1.9399914890527725e-05,3.719981759786606e-05,1.8998980522155762e-06,0.009704399853944778,0.00012009963393211365,0.00011370005086064339,0.000314599834382534,0.0007464000955224037,4.2899977415800095e-05,0.011809098534286022
21,3.71001660823822e-05,3.979960456490517e-05,3.5999808460474014e-05,8.080014958977699e-05,0.0004710000939667225,5.239993333816528e-05,1.910002902150154e-05,3.730040043592453e-05,2.200249582529068e-06,0.010125800035893917,0.00012509990483522415,0.00011239992454648018,0.00031899986788630486,0.0007501998916268349,4.25996258854866e-05,0.012250799685716629
22,0.00011690007522702217,4.009995609521866e-05,0.0004115002229809761,8.369982242584229e-05,0.00039960024878382683,5.3999945521354675e-05,1.930026337504387e-05,3.7999823689460754e-05,1.8998980522155762e-06,4.930002614855766e-05,0.00012769969180226326,0.00012019975110888481,0.0002675997093319893,0.0007718000560998917,4.349974915385246e-05,0.0025450992397964
23,3.770040348172188e-05,4.0899962186813354e-05,3.609945997595787e-05,8.399970829486847e-05,0.00038999971002340317,5.660019814968109e-05,1.9399914890527725e-05,3.7600286304950714e-05,2.00001522898674e-06,0.007326700259000063,0.00012429989874362946,0.00011499971151351929,0.00025720009580254555,0.0007456997409462929,4.300009459257126e-05,0.009316199459135532
24,0.00011199945583939552,3.949971869587898e-05,0.00039659999310970306,8.070003241300583e-05,0.00038769980892539024,5.269981920719147e-05,1.9199680536985397e-05,4.060007631778717e-05,2.00001522898674e-06,4.759989678859711e-05,0.00012159999459981918,0.00011379970237612724,0.0002613002434372902,0.000741099938750267,4.260009154677391e-05,0.002458998467773199
25,3.649946302175522e-05,4.3099746108055115e-05,3.5400036722421646e-05,8.219992741942406e-05,0.0007011997513473034,5.250005051493645e-05,1.910002902150154e-05,4.020007327198982e-05,1.8998980522155762e-06,0.017350700218230486,0.00011529959738254547,0.00010950025171041489,0.0005270000547170639,0.000744400080293417,4.20999713242054e-05,0.019901099149137735
26,8.58004204928875e-05,0.00015190010890364647,5.6900084018707275e-05,0.00010810000821948051,4.900014027953148e-05,6.900029256939888e-05,0.09636670025065541,0.00030060019344091415,2.600252628326416e-06,0.00027319975197315216,0.00010770000517368317,8.830009028315544e-05,2.2700056433677673e-05,0.0009373999200761318,0.00010610045865178108,0.09872600203379989
27,5.13000413775444e-05,4.620011895895004e-05,3.8499943912029266e-05,8.750008419156075e-05,2.4300068616867065e-05,5.479995161294937e-05,0.08286229986697435,0.00012249965220689774,2.200249582529068e-06,0.00013109995052218437,4.039984196424484e-05,3.929995000362396e-05,1.930026337504387e-05,0.0008048000745475292,4.4199638068675995e-05,0.08436869969591498
