execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.2999866157770157e-05,1.769978553056717e-05,1.2899748980998993e-05,1.2800097465515137e-05,7.000286132097244e-06,8.699949830770493e-06,0.0016771000809967518,0.0001012999564409256,1.3799872249364853e-05,0.00013769976794719696,1.5099998563528061e-05,1.2400560081005096e-05,6.299931555986404e-06,2.240017056465149e-05,1.3999640941619873e-05,0.0020721997134387493
2,1.4499761164188385e-05,1.6499776393175125e-05,1.2999866157770157e-05,9.300187230110168e-06,0.0011427002027630806,1.12997367978096e-05,6.5998174250125885e-06,1.3000331819057465e-05,1.3799406588077545e-05,0.005595299880951643,0.002945300191640854,0.013315800111740828,0.0008384999819099903,2.690032124519348e-05,1.550000160932541e-05,0.023977999575436115
3,0.02466210024431348,2.3399945348501205e-05,1.3799872249364853e-05,1.0599847882986069e-05,0.002051000017672777,1.180032268166542e-05,7.0999376475811005e-06,1.3600103557109833e-05,1.750001683831215e-05,1.710047945380211e-05,0.008828099817037582,0.019853300414979458,0.0016359002329409122,0.008439600002020597,1.6899779438972473e-05,0.0656018010340631
4,0.008186500519514084,0.00011610053479671478,2.6800669729709625e-05,1.879967749118805e-05,0.016070500016212463,2.479972317814827e-05,1.380033791065216e-05,2.7000438421964645e-05,2.9199756681919098e-05,0.00011410005390644073,0.012304499745368958,0.04230410000309348,0.0030338000506162643,0.0016378997825086117,0.009905699640512466,0.09381360094994307
5,1.2800563126802444e-05,0.00010229973122477531,1.2299977242946625e-05,8.699949830770493e-06,0.0008984999731183052,1.00000761449337e-05,6.400048732757568e-06,1.3200566172599792e-05,1.3099517673254013e-05,0.0001012999564409256,0.004604899790138006,0.017225699964910746,0.0007805000059306622,4.550023004412651e-05,0.0021509001962840557,0.025986100547015667
6,0.006895500235259533,1.6899779438972473e-05,1.2599863111972809e-05,9.399838745594025e-06,0.0013350998051464558,9.29972156882286e-06,6.300397217273712e-06,1.530023291707039e-05,1.4399643987417221e-05,1.87004916369915e-05,0.0014724000357091427,0.005425299983471632,0.0010957000777125359,0.0015310002490878105,1.819990575313568e-05,0.01787610026076436
7,0.06914850044995546,0.00020450027659535408,3.83998267352581e-05,3.2300129532814026e-05,0.03707640012726188,3.8499943912029266e-05,2.8700102120637894e-05,4.24007885158062e-05,4.959944635629654e-05,0.00019640009850263596,0.03674089955165982,0.06336530018597841,0.004709600005298853,0.015636599622666836,0.006807899568229914,0.234116000123322
8,0.00016289995983242989,2.330029383301735e-05,2.0999927073717117e-05,1.9600149244070053e-05,0.0006932998076081276,1.9200146198272705e-05,1.380033791065216e-05,1.2599863111972809e-05,2.1500512957572937e-05,2.2499822080135345e-05,0.00018170010298490524,0.0001320997253060341,0.00043059978634119034,3.5800039768218994e-05,2.2800173610448837e-05,0.0018127006478607655
9,3.329990431666374e-05,2.479972317814827e-05,3.169989213347435e-05,2.1700281649827957e-05,0.0019922000356018543,2.3999717086553574e-05,1.5700235962867737e-05,2.2500287741422653e-05,3.260001540184021e-05,0.014505299739539623,0.00218299962580204,0.0070039997808635235,0.0013945000246167183,5.1999930292367935e-05,2.4700071662664413e-05,0.02736199926584959
10,0.007624200079590082,1.5200115740299225e-05,1.4099758118391037e-05,1.00000761449337e-05,0.0012928997166454792,1.309998333454132e-05,7.100403308868408e-06,1.3699755072593689e-05,1.71000137925148e-05,1.7799437046051025e-05,0.0014470000751316547,0.006062899716198444,0.0011185999028384686,0.0017090002074837685,1.640012487769127e-05,0.019379099365323782
11,9.909970685839653e-05,1.4400109648704529e-05,1.2699980288743973e-05,9.500421583652496e-06,0.0009345002472400665,1.0100193321704865e-05,6.800051778554916e-06,1.29002146422863e-05,1.3699755072593689e-05,1.3999640941619873e-05,0.00010269973427057266,0.00011589983478188515,0.0007458999752998352,1.9199680536985397e-05,1.3799872249364853e-05,0.002125199418514967
12,1.569977030158043e-05,1.4300458133220673e-05,1.3299752026796341e-05,9.199604392051697e-06,0.0004553999751806259,9.600073099136353e-06,6.800051778554916e-06,1.2299977242946625e-05,1.4200340956449509e-05,0.011506299953907728,0.00010110018774867058,9.740004315972328e-05,0.0003488999791443348,2.5599729269742966e-05,1.380033791065216e-05,0.012643900234252214
13,1.4099758118391037e-05,0.00011829985305666924,1.400010660290718e-05,9.699724614620209e-06,0.0023344997316598892,2.259993925690651e-05,7.299706339836121e-06,1.5200115740299225e-05,1.4699995517730713e-05,0.00010980013757944107,0.01784450002014637,0.056823099963366985,0.0037463000044226646,2.3199710994958878e-05,0.008245099801570177,0.08934239856898785
14,0.00022460008040070534,0.00020230049267411232,3.340095281600952e-05,2.5900080800056458e-05,0.02116149989888072,5.190027877688408e-05,1.4799647033214569e-05,3.50000336766243e-05,2.9600225389003754e-05,0.00012430036440491676,0.015952900052070618,0.05564540019258857,0.0037290998734533787,4.590023308992386e-05,0.007247000001370907,0.10452360240742564
15,1.550000160932541e-05,0.005913800094276667,1.4699995517730713e-05,9.200070053339005e-06,8.00006091594696e-06,9.09995287656784e-06,0.0016455999575555325,0.00010470021516084671,0.00024119997397065163,0.006085599306970835,0.00011269981041550636,0.00011980021372437477,7.000286132097244e-06,2.2600404918193817e-05,0.00014579994603991508,0.01445530029013753
