execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.1499971151351929e-05,1.0299962013959885e-05,1.109996810555458e-05,8.479994721710682e-05,1.0500079952180386e-05,8.929986506700516e-05,1.009996049106121e-05,1.0799849405884743e-05,1.0200077667832375e-05,1.6900012269616127e-05,8.900067768990993e-06,0.00127880007494241,6.00004568696022e-06,5.500041879713535e-06,7.3999399319291115e-06,0.001572099863551557
2,1.1399970389902592e-05,0.002387699903920293,1.2399978004395962e-05,1.0899966582655907e-05,0.009192500030621886,0.004809100064449012,1.1500087566673756e-05,1.100008375942707e-05,1.0499847121536732e-05,1.759990118443966e-05,7.4999406933784485e-06,5.300040356814861e-06,0.0009420000715181231,0.0006966000655665994,8.200062438845634e-06,0.018134200014173985
3,1.200009137392044e-05,0.0044862000504508615,1.3600103557109833e-05,1.109996810555458e-05,0.015288099995814264,1.4399993233382702e-05,0.018831599969416857,1.3399985618889332e-05,1.1200085282325745e-05,0.0036593000404536724,8.199946023523808e-06,5.499925464391708e-06,0.0016885000513866544,0.001340600079856813,7.800059393048286e-06,0.04539150034543127
4,0.00010060018394142389,0.010378699866123497,0.00821250001899898,2.2699940018355846e-05,0.034402100020088255,9.870005305856466e-05,0.0067425998859107494,2.5099841877818108e-05,2.2000051103532314e-05,0.0014158999547362328,1.6400008462369442e-05,1.1200085282325745e-05,0.013172199949622154,0.002346299937926233,1.6000005416572094e-05,0.07698299980256706
5,8.720008190721273e-05,0.006957200006581843,0.0020910000894218683,1.1100084520876408e-05,0.015083200065419078,8.690007962286472e-05,1.0600080713629723e-05,1.1299853213131428e-05,1.0800082236528397e-05,1.7200130969285965e-05,7.200054824352264e-06,5.200039595365524e-06,0.0007822000188753009,0.0006833000807091594,8.100061677396297e-06,0.025852500810287893
6,1.1999858543276787e-05,0.0010981998639181256,1.2800097465515137e-05,1.100008375942707e-05,0.004454099922440946,1.2599979527294636e-05,0.005790299968793988,1.2500095181167126e-05,1.109996810555458e-05,0.0012135999277234077,7.699942216277122e-06,5.400041118264198e-06,0.0011020000092685223,0.0009166999952867627,7.4999406933784485e-06,0.014667499694041908
7,0.00011199992150068283,0.022104699863120914,0.005448600044474006,2.2500054910779e-05,0.041199499974027276,0.00010249996557831764,0.03743539995048195,2.6199850253760815e-05,2.2699940018355846e-05,0.00601369992364198,1.650000922381878e-05,1.0999967344105244e-05,0.01387969998177141,0.0030623000347986817,1.589988823980093e-05,0.12947319936938584
8,1.1399970389902592e-05,8.340005297213793e-05,1.1400086805224419e-05,1.019984483718872e-05,7.999991066753864e-05,1.1400086805224419e-05,9.270000737160444e-05,1.0899966582655907e-05,1.0400079190731049e-05,1.6200006939470768e-05,7.699942216277122e-06,5.09992241859436e-06,0.0003128000535070896,0.0001914000604301691,7.79994297772646e-06,0.0008627999341115355
9,1.119985245168209e-05,0.0012076999992132187,1.2399978004395962e-05,1.0499963536858559e-05,0.0045353000750765204,0.007264700019732118,1.1999974958598614e-05,1.1499854736030102e-05,1.27000967040658e-05,2.0000035874545574e-05,7.400056347250938e-06,8.899951353669167e-06,0.0007390999235212803,0.0005746999522671103,8.299946784973145e-06,0.014436399680562317
10,1.2599979527294636e-05,0.0010781999444589019,1.370010431855917e-05,1.1200085282325745e-05,0.005027299863286316,1.289986539632082e-05,0.006179199903272092,1.2399861589074135e-05,1.1299969628453255e-05,0.001348300138488412,8.200062438845634e-06,5.400041118264198e-06,0.001083599985577166,0.0009954000124707818,1.6400008462369442e-05,0.015816099825315177
11,1.1299853213131428e-05,8.599995635449886e-05,1.1299969628453255e-05,1.00000761449337e-05,8.09000339359045e-05,1.1500087566673756e-05,8.350017014890909e-05,1.109996810555458e-05,1.0799849405884743e-05,1.6300124116241932e-05,7.5999414548277855e-06,5.200039595365524e-06,0.0007428000681102276,0.0005973000079393387,7.899943739175797e-06,0.0016935000894591212
12,1.1999974958598614e-05,8.300004992634058e-05,1.1299969628453255e-05,9.999959729611874e-06,8.079991675913334e-05,0.009524900000542402,1.1799857020378113e-05,1.1299853213131428e-05,1.0100076906383038e-05,2.180004958063364e-05,7.3999399319291115e-06,5.00003807246685e-06,0.00038240000139921904,0.0002847999567165971,8.00006091594696e-06,0.010464599705301225
13,8.869997691363096e-05,0.0119387999875471,0.005511099938303232,1.1399853974580765e-05,0.037338800029829144,8.740008343011141e-05,1.0699965059757233e-05,1.5099998563528061e-05,1.4499993994832039e-05,2.150004729628563e-05,7.4999406933784485e-06,5.299923941493034e-06,0.0017537999665364623,0.0015674999449402094,8.800067007541656e-06,0.05838089971803129
14,9.909993968904018e-05,0.012016299879178405,0.00557669997215271,2.1900050342082977e-05,0.032919000019319355,0.0001004999503493309,0.00016379996668547392,2.6400084607303143e-05,2.200016751885414e-05,3.309990279376507e-05,1.5400000847876072e-05,1.079996582120657e-05,0.012342100031673908,0.0017703999765217304,1.610000617802143e-05,0.06513359991367906
15,0.004571400000713766,9.029998909682035e-05,0.00010950001887977123,8.430005982518196e-05,8.100003469735384e-05,0.003105900017544627,1.1499971151351929e-05,0.0002169000217691064,1.4299992471933365e-05,1.7600017599761486e-05,7.800059393048286e-06,0.0012226999970152974,6.400048732757568e-06,5.700043402612209e-06,7.100054062902927e-06,0.009552400326356292
