execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,14,0,1,93.33333333333333,0.0,6.666666666666667,210,196,14,210,196,14,93.33333333333333,6.666666666666667,93.33333333333333,6.666666666666667,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
2,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,10,4,1,66.66666666666666,26.666666666666668,6.666666666666667,210,196,14,210,172,38,93.33333333333333,6.666666666666667,81.9047619047619,18.095238095238095,-4,4,0,-26.66666666666667,26.666666666666668,0.0,-24,24,-11.42857142857143,11.428571428571427,3
3,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,11,0,4,73.33333333333333,0.0,26.666666666666668,210,196,14,210,154,56,93.33333333333333,6.666666666666667,73.33333333333333,26.666666666666668,-3,0,3,-20.0,0.0,20.0,-42,42,-20.0,20.0,4
4,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,13,0,2,86.66666666666667,0.0,13.333333333333334,210,196,14,210,182,28,93.33333333333333,6.666666666666667,86.66666666666667,13.333333333333334,-1,0,1,-6.666666666666657,0.0,6.666666666666667,-14,14,-6.666666666666657,6.666666666666667,2
5,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,10,4,1,66.66666666666666,26.666666666666668,6.666666666666667,210,196,14,210,174,36,93.33333333333333,6.666666666666667,82.85714285714286,17.142857142857142,-4,4,0,-26.66666666666667,26.666666666666668,0.0,-22,22,-10.476190476190467,10.476190476190474,0
6,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,13,0,2,86.66666666666667,0.0,13.333333333333334,210,196,14,210,182,28,93.33333333333333,6.666666666666667,86.66666666666667,13.333333333333334,-1,0,1,-6.666666666666657,0.0,6.666666666666667,-14,14,-6.666666666666657,6.666666666666667,2
7,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,10,0,5,66.66666666666666,0.0,33.33333333333333,210,196,14,210,140,70,93.33333333333333,6.666666666666667,66.66666666666666,33.33333333333333,-4,0,4,-26.66666666666667,0.0,26.66666666666666,-56,56,-26.66666666666667,26.66666666666666,5
8,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,14,0,1,93.33333333333333,0.0,6.666666666666667,210,196,14,210,196,14,93.33333333333333,6.666666666666667,93.33333333333333,6.666666666666667,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
9,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,10,4,1,66.66666666666666,26.666666666666668,6.666666666666667,210,196,14,210,174,36,93.33333333333333,6.666666666666667,82.85714285714286,17.142857142857142,-4,4,0,-26.66666666666667,26.666666666666668,0.0,-22,22,-10.476190476190467,10.476190476190474,2
10,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,13,0,2,86.66666666666667,0.0,13.333333333333334,210,196,14,210,182,28,93.33333333333333,6.666666666666667,86.66666666666667,13.333333333333334,-1,0,1,-6.666666666666657,0.0,6.666666666666667,-14,14,-6.666666666666657,6.666666666666667,2
11,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,14,0,1,93.33333333333333,0.0,6.666666666666667,210,196,14,210,196,14,93.33333333333333,6.666666666666667,93.33333333333333,6.666666666666667,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
12,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,10,4,1,66.66666666666666,26.666666666666668,6.666666666666667,210,196,14,210,176,34,93.33333333333333,6.666666666666667,83.80952380952381,16.19047619047619,-4,4,0,-26.66666666666667,26.666666666666668,0.0,-20,20,-9.523809523809518,9.523809523809522,1
13,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,7,7,1,46.666666666666664,46.666666666666664,6.666666666666667,210,196,14,210,153,57,93.33333333333333,6.666666666666667,72.85714285714285,27.142857142857142,-7,7,0,-46.666666666666664,46.666666666666664,0.0,-43,43,-20.47619047619048,20.476190476190474,0
14,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,14,0,1,93.33333333333333,0.0,6.666666666666667,210,196,14,210,196,14,93.33333333333333,6.666666666666667,93.33333333333333,6.666666666666667,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
15,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,13,1,1,86.66666666666667,6.666666666666667,6.666666666666667,210,196,14,210,187,23,93.33333333333333,6.666666666666667,89.04761904761904,10.952380952380953,-1,1,0,-6.666666666666657,6.666666666666667,0.0,-9,9,-4.285714285714292,4.285714285714286,1
