class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Air_Temperature,kind,kind,False,True,False,2,0,8
Atmospheric_Pressure,subkind,subkind,False,True,False,1,0,8
Cloudiness,subkind,subkind,False,True,False,1,0,8
Geographic_Coverage,kind,kind,False,True,False,1,0,5
Geographic_Object,kind,kind,False,False,True,1,3,5
Line,subkind,subkind,False,True,False,2,0,5
Local_Data_Manager,role,role,False,True,False,1,0,1
Material_Property,role,role,False,True,False,1,0,1
Meteorological_Parameters,kind,kind,True,False,False,0,8,8
Numerical_Weather_Prediction_Models,kind,kind,True,False,False,0,2,2
Person,kind,kind,True,False,False,0,2,2
Point,subkind,subkind,False,True,False,2,0,5
Polygon,subkind,subkind,False,True,False,2,0,5
Precipitation,subkind,subkind,False,True,False,1,0,8
Property,kind,kind,True,False,False,0,1,1
Regional_Numerical_Models,subkind,subkind,False,True,False,1,0,2
Relative_Humidity,subkind,subkind,False,True,False,1,0,8
Sea_Surface,kind,kind,False,True,False,2,0,8
Software_Agent,kind,kind,True,False,False,0,1,1
Spatial_Thing,category,category,True,False,False,0,5,5
Surface_Wind,subkind,subkind,False,True,False,1,0,8
Temperature,subkind,subkind,False,False,True,1,2,8
VIctim,role,role,False,True,False,1,0,2
Weather_Forecaster,role,role,False,True,False,1,0,2
World_Numerical_Models,subkind,subkind,False,True,False,1,0,2
