execution_number,input_class_name,input_class_stereotype
1,AplleEndocarp,subkind
2,Apple,kind
3,AppleAspect,category
4,AppleColor,kind
5,AppleDisposition,category
6,AppleEndurant,category
7,AppleExocarp,subkind
8,AppleFeature,category
9,AppleLowNutritionalFactor,kind
10,AppleNutritionalFactor,kind
11,ApplePart,category
12,ApplePathology,kind
13,ApplePathologyEnablingFactor,mixin
14,ApplePostHarvestPathologyEnablingFactor,category
15,ApplePreHarvestPathologyEnablingFactor,category
16,AppleQuality,category
17,AppleStain,kind
18,AppleSubstance,category
19,AppleTaste,kind
20,Event,category
21,HoleInApple,kind
22,InfectedAppleSubstance,role
23,InsectStingInApple,kind
24,PathogenSign,kind
25,PathologicalAppleSubstance,phase
26,PressureMarkInApple,kind
