execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.1899974197149277e-05,1.2800097465515137e-05,1.100008375942707e-05,8.79995059221983e-06,0.00031839997973293066,9.900075383484364e-06,5.599926225841045e-06,1.1199968867003918e-05,1.1599971912801266e-05,0.007171799894422293,8.420005906373262e-05,8.000002708286047e-05,0.00023989996407181025,2.7900096029043198e-05,1.2499978765845299e-05,0.008017500047571957
2,1.2899981811642647e-05,0.00842859991826117,1.2199976481497288e-05,8.999952115118504e-06,6.800051778554916e-06,9.09995287656784e-06,0.004942599916830659,0.0009458999847993255,0.00029339990578591824,0.005768600036390126,8.429994340986013e-05,8.179992437362671e-05,6.00004568696022e-06,2.6999972760677338e-05,9.920005686581135e-05,0.020727399620227516
3,1.2100092135369778e-05,1.27000967040658e-05,1.1899974197149277e-05,9.200070053339005e-06,8.100061677396297e-06,9.999959729611874e-06,0.0050981000531464815,0.00446130009368062,0.00015820004045963287,0.0030155000276863575,1.109996810555458e-05,1.2600095942616463e-05,5.900044925510883e-06,2.6699970476329327e-05,1.2200092896819115e-05,0.012865600641816854
4,1.2100092135369778e-05,0.012341699912212789,1.2499978765845299e-05,1.0699965059757233e-05,6.7999353632330894e-06,9.299954399466515e-06,0.0071118000196293,0.0025043998612090945,0.0004165999125689268,0.008317100000567734,8.499994874000549e-05,7.870001718401909e-05,6.00004568696022e-06,2.5499961338937283e-05,0.0001007000682875514,0.03103889967314899
5,1.2299977242946625e-05,1.2199976481497288e-05,1.179997343569994e-05,9.299954399466515e-06,6.09993003308773e-06,8.79995059221983e-06,0.007118499954231083,0.008817299967631698,0.00029280001763254404,0.005787299945950508,1.079996582120657e-05,1.1800089851021767e-05,5.400041118264198e-06,2.6399968191981316e-05,1.170008908957243e-05,0.022142499801702797
6,1.3699871487915516e-05,1.3900105841457844e-05,1.0599847882986069e-05,8.800067007541656e-06,5.999929271638393e-06,8.999952115118504e-06,0.0023930000606924295,8.180015720427036e-05,1.100008375942707e-05,7.740012370049953e-05,1.070008147507906e-05,1.0299845598638058e-05,5.600042641162872e-06,2.350006252527237e-05,1.0999967344105244e-05,0.002686300198547542
7,1.279998105019331e-05,1.2100092135369778e-05,1.1299969628453255e-05,9.199953638017178e-06,0.0003309000749140978,1.0599964298307896e-05,5.699926987290382e-06,1.1100084520876408e-05,1.209997572004795e-05,0.006872099940665066,8.160015568137169e-05,9.799993131309748e-05,0.00023220002185553312,2.719997428357601e-05,1.1999858543276787e-05,0.007738899905234575
8,1.2100092135369778e-05,1.2100092135369778e-05,1.2400094419717789e-05,9.09995287656784e-06,6.200047209858894e-06,9.00006853044033e-06,0.007059600087814033,0.00872530008200556,0.00029170000925660133,0.005642399890348315,1.1200085282325745e-05,1.2199976481497288e-05,5.499925464391708e-06,2.619996666908264e-05,1.1699972674250603e-05,0.021846700343303382
9,1.2999866157770157e-05,0.024636000161990523,1.2200092896819115e-05,9.300070814788342e-06,6.800051778554916e-06,9.00006853044033e-06,0.014182400074787438,0.005858900025486946,0.006492199958302081,0.01847699994686991,8.679996244609356e-05,8.380005601793528e-05,5.999929271638393e-06,2.71000899374485e-05,9.850005153566599e-05,0.06999900040682405
10,1.1900090612471104e-05,0.012379699968732893,1.1499971151351929e-05,9.699957445263863e-06,0.0004051999421790242,1.4999997802078724e-05,0.0071186000714078546,0.0025696000084280968,0.00041429989505559206,0.008490300038829446,0.0009640000062063336,0.00412769999820739,0.00041149999015033245,2.6099965907633305e-05,0.0050663999281823635,0.042021499830298126
11,1.1699972674250603e-05,1.2199976481497288e-05,1.1900090612471104e-05,8.899951353669167e-06,6.200047209858894e-06,2.5699962861835957e-05,0.00704499997664243,0.008943599998019636,0.00028149993158876896,0.005739400046877563,1.0999967344105244e-05,1.1499971151351929e-05,7.5999414548277855e-06,2.5300076231360435e-05,1.1100084520876408e-05,0.022152599995024502
12,1.2300093658268452e-05,0.012274100095964968,1.1599855497479439e-05,8.79995059221983e-06,6.700051017105579e-06,8.999952115118504e-06,0.006998599972575903,0.002473599975928664,0.003161399974487722,0.009259600075893104,7.95999076217413e-05,8.350005373358727e-05,5.599926225841045e-06,2.459995448589325e-05,9.440002031624317e-05,0.03450339986011386
13,1.0900082997977734e-05,1.4999997802078724e-05,1.379998866468668e-05,8.800067007541656e-06,6.4999330788850784e-06,9.299954399466515e-06,0.002492500003427267,7.979990914463997e-05,1.1399970389902592e-05,0.00011229992378503084,1.1500087566673756e-05,1.0600080713629723e-05,5.500041879713535e-06,2.5600078515708447e-05,1.1999858543276787e-05,0.002825499977916479
14,1.219986006617546e-05,1.2699980288743973e-05,1.1999974958598614e-05,8.900067768990993e-06,6.300047971308231e-06,1.2399978004395962e-05,0.004848900018259883,0.00439160002861172,0.0001724999165162444,0.0029125999426469207,1.3199984095990658e-05,1.1800089851021767e-05,6.100046448409557e-06,2.580008003860712e-05,1.1999974958598614e-05,0.012458999990485609
15,1.1499971151351929e-05,1.1800089851021767e-05,1.1099851690232754e-05,8.79995059221983e-06,6.00004568696022e-06,9.199953638017178e-06,0.004709500004537404,0.004144599894061685,0.0001564000267535448,0.00277370004914701,1.0399962775409222e-05,1.200009137392044e-05,5.600042641162872e-06,2.489995677024126e-05,1.1100084520876408e-05,0.011906599975191057
16,1.1200085282325745e-05,1.2100092135369778e-05,1.109996810555458e-05,8.600065484642982e-06,6.300047971308231e-06,8.900067768990993e-06,0.007053000037558377,0.008747100015170872,0.0002704999642446637,0.005543000064790249,1.079996582120657e-05,1.1699972674250603e-05,5.699926987290382e-06,2.480007242411375e-05,1.1200085282325745e-05,0.02173600043170154
17,1.2199976481497288e-05,0.01251809997484088,1.170008908957243e-05,8.79995059221983e-06,7.5999414548277855e-06,9.500072337687016e-06,0.007271199952811003,0.00253220007289201,0.00042159995064139366,0.008731300011277199,8.100003469735384e-05,7.950002327561378e-05,5.899928510189056e-06,2.6399968191981316e-05,9.619991760700941e-05,0.03181319986470044
18,1.1699972674250603e-05,1.1999974958598614e-05,1.1600088328123093e-05,8.999952115118504e-06,6.200047209858894e-06,8.79995059221983e-06,0.004673599964007735,0.004405499901622534,0.00014860008377581835,0.0027871999191120267,1.0699848644435406e-05,1.1699972674250603e-05,5.200039595365524e-06,2.489995677024126e-05,1.1600088328123093e-05,0.0121382997604087
19,1.550000160932541e-05,0.013374899979680777,1.1699972674250603e-05,9.09995287656784e-06,6.700051017105579e-06,8.800067007541656e-06,0.006989200017414987,0.002654000069014728,0.00046060001477599144,0.008282299968414009,0.00010449998080730438,7.910002022981644e-05,5.699926987290382e-06,2.9999995604157448e-05,0.00010619999375194311,0.032138300011865795
20,1.300009898841381e-05,1.1699972674250603e-05,1.0400079190731049e-05,8.399947546422482e-06,6.200047209858894e-06,9.299954399466515e-06,0.0023467999417334795,7.859990000724792e-05,1.089985016733408e-05,7.629988249391317e-05,1.0699965059757233e-05,1.0400079190731049e-05,5.199923180043697e-06,2.3999949917197227e-05,1.1300086043775082e-05,0.0026331996778026223
