execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.3200100511312485e-05,8.300004992634058e-05,1.2699980288743973e-05,1.170008908957243e-05,7.869990076869726e-05,0.007221000036224723,3.2800016924738884e-05,4.699919372797012e-06,3.930006641894579e-05,3.96000687032938e-05,1.6900012269616127e-05,6.100046448409557e-06,0.0003505999920889735,0.0002294000005349517,1.070008147507906e-05,0.008150400361046195
2,0.008244400029070675,8.599995635449886e-05,0.00010009983088821173,0.0009074000408872962,8.119991980493069e-05,0.005602400051429868,1.2300093658268452e-05,1.700012944638729e-06,1.179997343569994e-05,2.629996743053198e-05,9.09995287656784e-06,0.0046660000225529075,6.7999353632330894e-06,6.00004568696022e-06,9.300070814788342e-06,0.019770799903199077
3,1.2699980288743973e-05,1.1400086805224419e-05,1.2600095942616463e-05,0.005132699967361987,1.3300101272761822e-05,0.0028572999872267246,1.2599979527294636e-05,1.9000144675374031e-06,1.1899974197149277e-05,2.8499984182417393e-05,9.399955160915852e-06,0.004653099924325943,6.300047971308231e-06,5.800044164061546e-06,9.399955160915852e-06,0.012778900098055601
4,0.013162200106307864,8.519995026290417e-05,9.899993892759085e-05,0.0025687000015750527,8.559995330870152e-05,0.008831899962387979,1.3999873772263527e-05,1.999898813664913e-06,1.2200092896819115e-05,2.9099988751113415e-05,9.299954399466515e-06,0.007033300003968179,6.5999338403344154e-06,6.100046448409557e-06,9.300070814788342e-06,0.03195449977647513
5,1.2900098226964474e-05,1.1399970389902592e-05,1.2599979527294636e-05,0.009162200149148703,1.3800105080008507e-05,0.005573299829848111,1.309998333454132e-05,1.800013706088066e-06,1.170008908957243e-05,2.8099981136620045e-05,9.599956683814526e-06,0.00760799995623529,6.6999346017837524e-06,5.900044925510883e-06,9.699957445263863e-06,0.022480800049379468
6,1.3499869965016842e-05,1.1399853974580765e-05,1.2300093658268452e-05,7.98999099060893e-05,1.109996810555458e-05,8.809997234493494e-05,1.1299969628453255e-05,1.700012944638729e-06,1.1499971151351929e-05,2.5699962861835957e-05,9.100069291889668e-06,0.002408499945886433,6.5999338403344154e-06,5.700043402612209e-06,9.599956683814526e-06,0.0027059995336458087
7,1.3099866919219494e-05,8.899997919797897e-05,1.2999866157770157e-05,1.1300086043775082e-05,7.859990000724792e-05,0.007887099985964596,1.6700010746717453e-05,2.00001522898674e-06,1.54001172631979e-05,3.750005271285772e-05,9.199953638017178e-06,5.800044164061546e-06,0.0003173999721184373,0.00023049989249557257,1.070008147507906e-05,0.008737299824133515
8,1.550000160932541e-05,1.1399970389902592e-05,1.2499978765845299e-05,0.009141199989244342,1.2200092896819115e-05,0.006010799901559949,1.2999866157770157e-05,1.800013706088066e-06,1.209997572004795e-05,2.8699985705316067e-05,9.200070053339005e-06,0.007071600062772632,7.00005330145359e-06,6.09993003308773e-06,9.7999582067132e-06,0.02236289985012263
9,0.025802699849009514,8.319993503391743e-05,0.00010730000212788582,0.00583449995610863,8.139992132782936e-05,0.016834700014442205,1.2900098226964474e-05,1.9000144675374031e-06,1.2399978004395962e-05,2.8099981136620045e-05,9.499955922365189e-06,0.014457899960689247,7.699942216277122e-06,6.00004568696022e-06,9.500072337687016e-06,0.06328969972673804
10,0.012860599905252457,0.0009307999862357974,0.005001499899663031,0.0025085998931899667,0.004077799967490137,0.008462299942038953,1.3199984095990658e-05,1.700012944638729e-06,1.1999974958598614e-05,2.8399983420968056e-05,9.399955160915852e-06,0.007446400006301701,0.00040140002965927124,0.00036529998760670424,1.0199961252510548e-05,0.04212959948927164
11,1.2699980288743973e-05,1.1499971151351929e-05,1.2200092896819115e-05,0.009521700092591345,1.570011954754591e-05,0.005455399979837239,1.209997572004795e-05,2.00001522898674e-06,1.1800089851021767e-05,2.6999972760677338e-05,8.79995059221983e-06,0.007438900065608323,6.300047971308231e-06,5.699926987290382e-06,9.100069291889668e-06,0.02255090035032481
12,0.01191220001783222,7.940002251416445e-05,9.380001574754715e-05,0.0025022000772878528,8.000002708286047e-05,0.008309399941936135,1.2299977242946625e-05,1.800013706088066e-06,1.1500087566673756e-05,2.71000899374485e-05,1.2499978765845299e-05,0.007230699993669987,1.009996049106121e-05,5.900044925510883e-06,9.09995287656784e-06,0.03029800020158291
13,1.2499978765845299e-05,1.0899966582655907e-05,1.2100092135369778e-05,7.939990609884262e-05,1.1100084520876408e-05,8.409994188696146e-05,1.0999967344105244e-05,1.800013706088066e-06,1.1300086043775082e-05,2.5999965146183968e-05,9.299954399466515e-06,0.0024986000498756766,6.800051778554916e-06,6.09993003308773e-06,9.499955922365189e-06,0.002790499944239855
14,1.2499978765845299e-05,1.1600088328123093e-05,1.2399861589074135e-05,0.004660200094804168,1.580000389367342e-05,0.0031751999631524086,1.2399978004395962e-05,1.800013706088066e-06,1.5199882909655571e-05,3.090000245720148e-05,9.699957445263863e-06,0.0048856999492272735,1.009996049106121e-05,6.5999338403344154e-06,9.499955922365189e-06,0.012869599624536932
15,1.2399978004395962e-05,1.1499854736030102e-05,1.2100092135369778e-05,0.004279199871234596,1.2500095181167126e-05,0.0028637999203056097,1.2299860827624798e-05,1.700012944638729e-06,1.1399970389902592e-05,2.559996210038662e-05,9.00006853044033e-06,0.005317299976013601,6.700051017105579e-06,5.700043402612209e-06,9.599956683814526e-06,0.012590799713507295
16,1.27000967040658e-05,1.1500087566673756e-05,1.2399861589074135e-05,0.008979200036264956,1.2100092135369778e-05,0.005498899845406413,1.2699980288743973e-05,1.9000144675374031e-06,1.1699972674250603e-05,2.659996971487999e-05,9.399955160915852e-06,0.006945700035430491,6.199930794537067e-06,5.700043402612209e-06,9.400071576237679e-06,0.02155609999317676
17,0.013706900062970817,9.169999975711107e-05,0.0001023000804707408,0.0025133000453934073,8.009991142898798e-05,0.008374500088393688,1.2900098226964474e-05,1.8998980522155762e-06,1.8300022929906845e-05,2.780009526759386e-05,9.600073099136353e-06,0.007012200076133013,6.700051017105579e-06,5.899928510189056e-06,9.299954399466515e-06,0.031973400386050344
18,1.2599979527294636e-05,1.0900082997977734e-05,1.200009137392044e-05,0.004245400079526007,1.4400109648704529e-05,0.0029523998964577913,1.3199984095990658e-05,1.9000144675374031e-06,1.4399993233382702e-05,2.7099973522126675e-05,8.999952115118504e-06,0.0047833999851718545,6.4999330788850784e-06,6.00004568696022e-06,9.500072337687016e-06,0.012118700193241239
19,0.012972999946214259,8.589995559304953e-05,0.00010449998080730438,0.00244159996509552,7.729989010840654e-05,0.008072500117123127,1.2200092896819115e-05,1.7998972907662392e-06,1.1399970389902592e-05,2.5999965146183968e-05,1.8799910321831703e-05,0.0069376000901684165,6.7999353632330894e-06,5.700043402612209e-06,8.999952115118504e-06,0.03078409971203655
20,1.4999997802078724e-05,1.0899966582655907e-05,1.170008908957243e-05,8.09000339359045e-05,1.089985016733408e-05,7.890013512223959e-05,1.0999967344105244e-05,1.800013706088066e-06,1.109996810555458e-05,2.519995905458927e-05,8.999952115118504e-06,0.002397799980826676,6.09993003308773e-06,5.600042641162872e-06,9.200070053339005e-06,0.0026850999565795064
21,0.013172700069844723,8.33999365568161e-05,0.00010370009113103151,0.0028834999538958073,9.460013825446367e-05,0.008499699993990362,1.2499978765845299e-05,2.00001522898674e-06,1.5400000847876072e-05,2.7799978852272034e-05,9.200070053339005e-06,0.006952800089493394,6.800051778554916e-06,5.999929271638393e-06,9.400071576237679e-06,0.03187950036954135
22,1.170008908957243e-05,7.960014045238495e-05,1.2099859304726124e-05,1.0600080713629723e-05,7.629988249391317e-05,1.2200092896819115e-05,9.099999442696571e-05,2.400018274784088e-06,1.0900082997977734e-05,2.3799948394298553e-05,8.999952115118504e-06,5.399924702942371e-06,0.0003301000688225031,0.00022059993352741003,9.300070814788342e-06,0.0009050001390278339
23,0.017164899851195514,8.319993503391743e-05,0.00010439998004585505,0.0026350999251008034,8.679996244609356e-05,0.011072300025261939,1.2999982573091984e-05,1.9000144675374031e-06,1.1899974197149277e-05,2.829998265951872e-05,1.2999982573091984e-05,0.009309999994002283,6.8999361246824265e-06,6.200047209858894e-06,9.600073099136353e-06,0.04054749966599047
24,0.008237199974246323,8.399994112551212e-05,0.00010950013529509306,0.0009675000328570604,8.14999220892787e-05,0.0055858000414446,1.2599863111972809e-05,2.00001522898674e-06,1.1699972674250603e-05,2.6799971237778664e-05,9.499955922365189e-06,0.00465809996239841,6.7999353632330894e-06,5.900044925510883e-06,9.300070814788342e-06,0.019808199838735163
25,1.2499978765845299e-05,0.0011065000435337424,1.3399985618889332e-05,1.1399970389902592e-05,0.004225200042128563,1.389987301081419e-05,0.005801400053314865,2.00001522898674e-06,0.0002967999316751957,2.789997961372137e-05,9.499955922365189e-06,5.700043402612209e-06,0.0005448000738397241,0.00038599991239607334,0.0001235000090673566,0.012580499867908657
26,0.017765099997632205,0.00010219996329396963,0.00013160007074475288,0.002690299996174872,7.899990305304527e-05,0.012146100052632391,1.3199867680668831e-05,2.100015990436077e-06,1.2300093658268452e-05,2.680008765310049e-05,1.3299984857439995e-05,0.010051899938844144,1.079996582120657e-05,1.0199961252510548e-05,1.009996049106121e-05,0.04306499985978007
