class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Agent,category,category,True,False,False,0,1,1
Artifact,category,category,True,False,False,0,1,1
CollaborationArtifact,category,category,False,True,False,1,0,1
CollaborativeAction,atomicevent,other,False,True,False,1,0,3
Language,kind,kind,True,False,False,0,2,2
NonVerbalLanguage,subkind,subkind,False,True,False,1,0,2
Participant,rolemixin,rolemixin,False,True,False,1,0,1
Participation,atomicevent,other,True,False,False,0,3,3
RealSite,subkind,subkind,False,True,False,1,0,2
Receive,atomicevent,other,False,True,False,1,0,3
Send,atomicevent,other,False,True,False,1,0,3
Site,kind,kind,True,False,False,0,2,2
VerbalLanguage,subkind,subkind,False,True,False,1,0,2
VirtualSite,subkind,subkind,False,True,False,1,0,2
