class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
ActiveStudent,role,role,False,False,True,4,1,10
Agent,kind,kind,True,False,False,0,10,10
AnsweredQuestion,role,role,False,True,False,1,0,4
CharacterizedQuestion,role,role,False,True,False,1,0,4
CharacterizingTopic,role,role,False,True,False,1,0,2
Discipline,kind,kind,True,False,False,0,2,2
EducationalInstitution,subkind,subkind,False,True,False,2,0,10
NonCharacterizedQuestion,role,role,False,True,False,1,0,4
NonCharacterizingTopic,role,role,False,True,False,1,0,2
NonTutoredDiscipline,role,role,False,True,False,1,0,2
OpenQuestion,role,role,False,True,False,1,0,4
Organization,subkind,subkind,False,False,True,1,1,10
Participant,role,role,False,False,True,2,6,10
ParticipantWithQuestion,role,role,False,True,False,3,0,10
ParticipantWithanswer,role,role,False,True,False,3,0,10
Person,subkind,subkind,False,False,True,1,7,10
Professor,role,role,False,True,False,3,0,10
Question,kind,kind,True,False,False,0,4,4
Student,role,role,False,False,True,3,2,10
Topic,kind,kind,True,False,False,0,2,2
Tutor,role,role,False,True,False,5,0,10
TutoredDiscipline,role,role,False,True,False,1,0,2
