execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,0.006608100142329931,1.1999974958598614e-05,1.4999997802078724e-05,7.400056347250938e-06,0.0009072000393643975,7.999944500625134e-06,5.600042641162872e-06,1.170008908957243e-05,1.2999982573091984e-05,1.3300101272761822e-05,0.0018110000528395176,0.005072799976915121,0.0006957999430596828,0.0013475999003276229,2.320006024092436e-05,0.01655170030426234
2,1.1799857020378113e-05,9.910005610436201e-05,1.1599971912801266e-05,7.100054062902927e-06,0.0027808999875560403,8.899951353669167e-06,5.899928510189056e-06,1.810002140700817e-05,1.619989052414894e-05,0.00010089983697980642,0.01915829989593476,0.058645700104534626,0.002460799994878471,1.6399892047047615e-05,0.0032803999492898583,0.08662209939211607
3,1.2800097465515137e-05,1.279998105019331e-05,1.100008375942707e-05,6.9999368861317635e-06,0.00030559999868273735,8.09994526207447e-06,5.500041879713535e-06,1.0499963536858559e-05,1.200009137392044e-05,0.005509599926881492,9.169999975711107e-05,8.830009028315544e-05,0.0002074999501928687,1.6800127923488617e-05,1.1699972674250603e-05,0.006310900207608938
4,2.4900073185563087e-05,0.00010579987429082394,2.2699940018355846e-05,1.4300108887255192e-05,0.01093119999859482,1.7799902707338333e-05,1.1599971912801266e-05,2.310005947947502e-05,2.3700064048171043e-05,0.003822599770501256,0.018695699982345104,0.05276140000205487,0.002721299882978201,3.330002073198557e-05,0.0022820000303909183,0.09149139968212694
5,0.03981349989771843,1.2900098226964474e-05,1.2300093658268452e-05,7.999944500625134e-06,0.002570200012996793,7.6000578701496124e-06,5.900044925510883e-06,1.1400086805224419e-05,1.4300108887255192e-05,1.4399876818060875e-05,0.007486199960112572,0.030878000077791512,0.001906299963593483,0.007356000016443431,1.3400102034211159e-05,0.09011040034238249
6,8.829997386783361e-05,1.1699972674250603e-05,1.2400094419717789e-05,7.200054824352264e-06,0.00038350000977516174,7.500057108700275e-06,5.600042641162872e-06,1.0499847121536732e-05,1.1199968867003918e-05,1.1399853974580765e-05,9.26000066101551e-05,8.849997539073229e-05,0.00027269998099654913,1.4699995517730713e-05,1.1899974197149277e-05,0.001029699807986617
7,9.089999366551638e-05,1.1800089851021767e-05,1.100008375942707e-05,7.400056347250938e-06,0.00037370005156844854,7.6000578701496124e-06,5.300040356814861e-06,1.0499963536858559e-05,1.1200085282325745e-05,1.1699856258928776e-05,9.159999899566174e-05,8.809997234493494e-05,0.00026190001517534256,1.580000389367342e-05,1.1599971912801266e-05,0.0010101002408191562
8,2.4600070901215076e-05,0.00011290016118437052,2.2699940018355846e-05,1.4400109648704529e-05,0.012176499934867024,1.750001683831215e-05,1.1399970389902592e-05,2.3899832740426064e-05,2.4699955247342587e-05,0.003750500036403537,0.032402400160208344,0.06841299997176975,0.004442800069227815,3.659992944449186e-05,0.0022419000742956996,0.12371580023318529
9,8.759996853768826e-05,1.2100092135369778e-05,1.070008147507906e-05,1.0199961252510548e-05,0.0003819999983534217,7.6000578701496124e-06,5.399924702942371e-06,1.0199961252510548e-05,1.1200085282325745e-05,1.470011193305254e-05,9.250000584870577e-05,8.760008495301008e-05,0.00026560004334896803,1.5300116501748562e-05,1.1199968867003918e-05,0.0010239004623144865
10,0.013886100146919489,1.3800105080008507e-05,1.1499971151351929e-05,7.900060154497623e-06,0.0013069999404251575,7.999944500625134e-06,6.00004568696022e-06,1.070008147507906e-05,1.2399978004395962e-05,1.3100099749863148e-05,0.0027338999789208174,0.010606500087305903,0.0011497000232338905,0.0026802000356838107,1.670012716203928e-05,0.03246350062545389
11,8.699996396899223e-05,1.1900090612471104e-05,1.0599964298307896e-05,7.200054824352264e-06,0.0005094000371173024,1.1899974197149277e-05,5.200039595365524e-06,1.0600080713629723e-05,1.119985245168209e-05,1.1499854736030102e-05,9.159999899566174e-05,8.819997310638428e-05,0.0004937000339850783,1.5199882909655571e-05,1.6400008462369442e-05,0.001381599809974432
