execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.1399970389902592e-05,0.0011857000645250082,1.1599971912801266e-05,1.0199961252510548e-05,0.004188599996268749,1.1699972674250603e-05,0.005784899927675724,2.300017513334751e-06,1.1299969628453255e-05,0.0011706000659614801,6.5999338403344154e-06,5.00003807246685e-06,0.001519199926406145,0.0006594000151380897,8.500064723193645e-06,0.014586999895982444
2,8.540006820112467e-05,0.014371999888680875,0.0019304000306874514,1.0399846360087395e-05,0.054209399968385696,8.319993503391743e-05,1.009996049106121e-05,2.00001522898674e-06,1.0599847882986069e-05,1.7600017599761486e-05,6.00004568696022e-06,5.100038833916187e-06,0.002319399965927005,0.002108899992890656,8.09994526207447e-06,0.07517859956715256
3,1.0800082236528397e-05,8.610018994659185e-05,1.070008147507906e-05,9.699957445263863e-06,7.98000255599618e-05,0.004812800092622638,1.109996810555458e-05,1.800013706088066e-06,1.0400079190731049e-05,1.479999627918005e-05,6.3999323174357414e-06,5.299923941493034e-06,0.00026540004182606936,0.0001841000048443675,6.600050255656242e-06,0.005515800439752638
4,1.1100084520876408e-05,0.0010283999145030975,1.1399970389902592e-05,9.600073099136353e-06,0.004319899948313832,0.0023472000611945987,1.1699972674250603e-05,2.400018274784088e-06,1.0599964298307896e-05,1.5100114978849888e-05,6.600050255656242e-06,5.199923180043697e-06,0.0004678000696003437,0.000300500076264143,7.400056347250938e-06,0.008554900297895074
5,1.0999850928783417e-05,0.006497399997897446,1.2399978004395962e-05,1.0299962013959885e-05,0.026411500060930848,1.589988823980093e-05,0.033935399958863854,2.00001522898674e-06,1.0999850928783417e-05,0.006502500036731362,7.300055585801601e-06,5.200039595365524e-06,0.002148799947462976,0.001611500047147274,6.500049494206905e-06,0.07718869973905385
6,1.0299962013959885e-05,8.380005601793528e-05,9.899958968162537e-06,9.200070053339005e-06,7.529999129474163e-05,1.0300078429281712e-05,7.509987335652113e-05,1.9000144675374031e-06,9.600073099136353e-06,1.3299984857439995e-05,6.600050255656242e-06,4.700035788118839e-06,0.00034099991898983717,0.0002297000028192997,6.800051778554916e-06,0.0008875001221895218
7,1.0199961252510548e-05,7.87999015301466e-05,1.0200077667832375e-05,9.299837984144688e-06,7.790012750774622e-05,9.999843314290047e-06,7.420009933412075e-05,1.600012183189392e-06,9.499839507043362e-06,1.7200014553964138e-05,6.3999323174357414e-06,4.700035788118839e-06,0.0003214998869225383,0.000224200077354908,6.6999346017837524e-06,0.0008623995818197727
8,1.0699965059757233e-05,0.009074999950826168,1.4999997802078724e-05,9.899958968162537e-06,0.03232710005249828,0.0023256000131368637,1.1399970389902592e-05,2.00001522898674e-06,1.0599964298307896e-05,1.4600111171603203e-05,6.800051778554916e-06,5.00003807246685e-06,0.002274799975566566,0.0016833000117912889,7.1999384090304375e-06,0.04777900001499802
9,1.0300078429281712e-05,7.830001413822174e-05,9.899958968162537e-06,9.100069291889668e-06,7.449998520314693e-05,1.0300078429281712e-05,7.369997911155224e-05,1.700012944638729e-06,9.500072337687016e-06,1.3299984857439995e-05,6.500049494206905e-06,4.700035788118839e-06,0.00032210000790655613,0.00021899992134422064,6.700051017105579e-06,0.0008496002992615104
10,1.109996810555458e-05,0.0022865000646561384,1.1599971912801266e-05,1.00000761449337e-05,0.009469799930229783,1.1599971912801266e-05,0.01238770002964884,2.100015990436077e-06,1.0599964298307896e-05,0.002639199956320226,6.400048732757568e-06,4.700035788118839e-06,0.0010853999992832541,0.0008039999520406127,7.79994297772646e-06,0.028748499928042293
11,1.009996049106121e-05,7.98000255599618e-05,9.89984255284071e-06,1.1800089851021767e-05,7.339997682720423e-05,9.899958968162537e-06,7.27000879123807e-05,1.700012944638729e-06,9.499839507043362e-06,1.3200100511312485e-05,6.09993003308773e-06,4.700035788118839e-06,0.0004301998997107148,0.00031999999191612005,6.300047971308231e-06,0.0010592998005449772
