execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.109996810555458e-05,8.390005677938461e-05,1.0599964298307896e-05,9.699957445263863e-06,7.710012141615152e-05,1.0699848644435406e-05,7.670011837035418e-05,1.800013706088066e-06,1.009996049106121e-05,1.4899997040629387e-05,6.900052540004253e-06,4.899920895695686e-06,0.00023739994503557682,0.00013370008673518896,7.400056347250938e-06,0.0006969000678509474
2,1.1399970389902592e-05,8.390005677938461e-05,1.0800082236528397e-05,9.599840268492699e-06,7.920002099126577e-05,1.0699965059757233e-05,7.899990305304527e-05,2.00001522898674e-06,1.0299962013959885e-05,1.4600111171603203e-05,8.599949069321156e-06,5.500041879713535e-06,0.00023529992904514074,0.0001382000045850873,7.4999406933784485e-06,0.0007065997924655676
3,1.179997343569994e-05,8.640007581561804e-05,1.1299969628453255e-05,9.899958968162537e-06,8.490006439387798e-05,0.002588899922557175,1.1599971912801266e-05,2.00001522898674e-06,1.100008375942707e-05,1.5999889001250267e-05,7.1999384090304375e-06,5.699926987290382e-06,0.00021780002862215042,0.00014240003656595945,7.4999406933784485e-06,0.0032143997959792614
4,1.1300086043775082e-05,8.9599983766675e-05,1.1200085282325745e-05,1.0200077667832375e-05,8.230004459619522e-05,0.002546900068409741,1.109996810555458e-05,2.00001522898674e-06,1.0499847121536732e-05,1.6299891285598278e-05,6.900052540004253e-06,5.400041118264198e-06,0.0002175000263378024,0.00014020001981407404,9.00006853044033e-06,0.003170400275848806
5,9.079999290406704e-05,0.011894099996425211,0.007611099979840219,1.079996582120657e-05,0.05445039994083345,8.230004459619522e-05,1.0399962775409222e-05,2.100015990436077e-06,1.109996810555458e-05,1.4900113455951214e-05,6.3999323174357414e-06,5.200039595365524e-06,0.0019520000787451863,0.0016286999452859163,7.3999399319291115e-06,0.07777769991662353
6,2.789997961372137e-05,0.0001998998923227191,4.1199964471161366e-05,2.4499953724443913e-05,0.00020219990983605385,2.719997428357601e-05,0.0001919000642374158,4.200031980872154e-06,0.0006999998586252332,3.779993858188391e-05,1.650000922381878e-05,1.2699980288743973e-05,0.0006397999823093414,0.00046639994252473116,1.780001912266016e-05,0.002609999501146376
7,1.009996049106121e-05,0.0019007999217137694,1.0600080713629723e-05,8.999835699796677e-06,0.008935100049711764,2.719997428357601e-05,0.011917800060473382,1.9000144675374031e-06,0.00031210004817694426,1.4299992471933365e-05,6.299931555986404e-06,4.700035788118839e-06,0.0006487999344244599,0.0004295000107958913,0.00029790005646646023,0.02452609990723431
8,1.0299962013959885e-05,7.750000804662704e-05,1.0199961252510548e-05,8.999952115118504e-06,7.800001185387373e-05,1.0500079952180386e-05,7.309997454285622e-05,1.5998957678675652e-06,0.00024999992456287146,1.7900136299431324e-05,6.500049494206905e-06,4.800036549568176e-06,0.00024969992227852345,0.00017200002912431955,6.700051017105579e-06,0.0009777999948710203
9,1.070008147507906e-05,0.0017721998738124967,1.0899966582655907e-05,9.599956683814526e-06,0.008037099963985384,1.1100084520876408e-05,0.010083899949677289,2.100015990436077e-06,0.00032490002922713757,1.489988062530756e-05,6.800051778554916e-06,4.899920895695686e-06,0.0006361000705510378,0.0005300999619066715,0.00019759999122470617,0.021652899798937142
10,1.019984483718872e-05,7.769989315420389e-05,9.800074622035027e-06,9.299954399466515e-06,7.469998672604561e-05,1.0200077667832375e-05,7.329997606575489e-05,1.800013706088066e-06,0.0003010999644175172,1.7200014553964138e-05,6.400048732757568e-06,4.800036549568176e-06,0.0002454000059515238,0.00016719999257475138,6.4999330788850784e-06,0.0010155998170375824
11,9.699957445263863e-06,7.54999928176403e-05,9.899958968162537e-06,8.70006624609232e-06,7.239996921271086e-05,9.7999582067132e-06,8.750008419156075e-05,1.700012944638729e-06,0.000256399973295629,1.3899989426136017e-05,6.200047209858894e-06,4.600035026669502e-06,0.00023580004926770926,0.00016980001237243414,6.5999338403344154e-06,0.0009685000404715538
12,1.0299962013959885e-05,8.100003469735384e-05,1.009996049106121e-05,9.00006853044033e-06,7.329997606575489e-05,1.009996049106121e-05,7.579999510198832e-05,1.600012183189392e-06,1.2200092896819115e-05,1.3500102795660496e-05,6.600050255656242e-06,4.499917849898338e-06,0.0002183000324293971,0.00012580002658069134,6.600050255656242e-06,0.000658700242638588
13,1.0300078429281712e-05,8.039991371333599e-05,1.0100076906383038e-05,8.800067007541656e-06,7.310009095817804e-05,1.0199961252510548e-05,7.589999586343765e-05,1.800013706088066e-06,9.800074622035027e-06,1.3399869203567505e-05,6.299931555986404e-06,4.800036549568176e-06,0.0002033999189734459,0.0001241000136360526,6.8999361246824265e-06,0.0006392999785020947
