class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
PrivateProperty,subkind,subkind,False,True,False,1,0,2
AuxiliaryPerson,role,role,False,True,False,4,0,15
CardinalVirtue,mode,kind,True,False,False,0,4,4
Form,kind,kind,True,False,False,0,1,1
Demiurge,kind,kind,False,True,False,1,0,15
Philosopher-king,role,role,False,True,False,5,0,15
God,category,category,True,False,False,0,2,15
Citizen,role,role,False,False,True,3,4,15
Name,subkind,subkind,False,False,True,1,2,15
Triangle,kind,kind,True,False,False,0,2,2
PresentName,phase,phase,False,True,False,2,0,15
LesserGod,subkind,subkind,False,True,False,3,0,15
Earth,subkind,subkind,False,True,False,1,0,4
Oligarchic,subkind,subkind,False,True,False,1,0,5
Fire,subkind,subkind,False,True,False,1,0,4
ProducerPerson,role,role,False,True,False,4,0,15
Water,subkind,subkind,False,True,False,1,0,4
Auxiliaries,collective,kind,False,True,False,1,0,3
Temperance,subkind,subkind,False,True,False,1,0,4
NameBearerObject,subkind,subkind,False,True,False,1,0,15
SpecificFormOfTheName,subkind,subkind,False,True,False,1,0,1
Guardians,collective,kind,False,True,False,1,0,3
Timocratic,subkind,subkind,False,True,False,1,0,5
StateProperty,subkind,subkind,False,True,False,1,0,2
Class,category,category,True,False,False,0,3,3
Particular,kind,kind,True,False,False,0,13,15
Aristocratic,subkind,subkind,False,True,False,1,0,5
Democratic,subkind,subkind,False,True,False,1,0,5
Scalene,subkind,subkind,False,True,False,1,0,2
OriginalName,phase,phase,False,True,False,2,0,15
Isosceles,subkind,subkind,False,True,False,1,0,2
Air,subkind,subkind,False,True,False,1,0,4
PsychologicalConstitution,mode,kind,True,False,False,0,5,5
HumanBeing,subkind,subkind,False,False,True,2,5,15
LivingThing,subkind,subkind,False,False,True,1,8,15
Wisdom,subkind,subkind,False,True,False,1,0,4
Courage,subkind,subkind,False,True,False,1,0,4
Universe,subkind,subkind,False,True,False,2,0,15
Property,kind,kind,True,False,False,0,2,2
Element,kind,kind,True,False,False,0,4,4
Tyrannical,subkind,subkind,False,True,False,1,0,5
Justice,subkind,subkind,False,True,False,1,0,4
Producers,collective,kind,False,True,False,1,0,3
GuardianPerson,role,role,False,False,True,4,1,15
