execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.1600088328123093e-05,0.00010960001964122057,1.5099882148206234e-05,1.0599964298307896e-05,0.00010980002116411924,1.5500118024647236e-05,0.00010699999984353781,1.479999627918005e-05,1.680001150816679e-05,1.7200014553964138e-05,7.1999384090304375e-06,5.299923941493034e-06,0.000417300034314394,0.000300500076264143,8.300063200294971e-06,0.0011666001519188285
2,1.570011954754591e-05,0.00408179999794811,1.3499869965016842e-05,1.0799849405884743e-05,0.018197700032033026,1.3299984857439995e-05,0.023656300036236644,1.2499978765845299e-05,1.1500087566673756e-05,0.004501400049775839,1.1200085282325745e-05,5.700043402612209e-06,0.0018319000955671072,0.00140180008020252,7.800059393048286e-06,0.05377290036994964
3,0.004501799936406314,8.969998452812433e-05,0.00010520010255277157,8.220004383474588e-05,8.199992589652538e-05,0.003159099956974387,1.170008908957243e-05,0.0001650999765843153,1.0999967344105244e-05,1.71000137925148e-05,7.4999406933784485e-06,0.0012568999081850052,6.400048732757568e-06,5.900044925510883e-06,7.4999406933784485e-06,0.009509099880233407
4,1.1100084520876408e-05,1.00000761449337e-05,1.070008147507906e-05,8.659996092319489e-05,1.0200077667832375e-05,8.829997386783361e-05,1.009996049106121e-05,1.0599964298307896e-05,1.0400079190731049e-05,1.680001150816679e-05,7.2999391704797745e-06,0.0012635999592021108,6.09993003308773e-06,5.100038833916187e-06,7.500057108700275e-06,0.0015544001944363117
5,1.3500102795660496e-05,0.0010724000167101622,1.2200092896819115e-05,1.1100084520876408e-05,0.004383199964649975,1.3600103557109833e-05,0.005887600011192262,1.2300093658268452e-05,1.1099851690232754e-05,0.0011891000904142857,7.699942216277122e-06,5.400041118264198e-06,0.0007957000052556396,0.0006287000142037868,7.900060154497623e-06,0.014051500475034118
6,1.200009137392044e-05,0.006266399985179305,1.2999982573091984e-05,1.1400086805224419e-05,0.023539500078186393,0.0047917000483721495,1.209997572004795e-05,1.2199976481497288e-05,1.0900082997977734e-05,1.8300022929906845e-05,7.2999391704797745e-06,5.500041879713535e-06,0.0020831000292673707,0.0015837999526411295,8.899951353669167e-06,0.03837610024493188
7,1.1100084520876408e-05,8.220016025006771e-05,1.0899966582655907e-05,1.0299962013959885e-05,8.089991752058268e-05,0.006953899981454015,1.1399970389902592e-05,1.0999967344105244e-05,1.0599964298307896e-05,1.7200014553964138e-05,7.00005330145359e-06,5.300040356814861e-06,0.0003176999744027853,0.0002337999176234007,7.500057108700275e-06,0.007770800031721592
8,0.0001414999132975936,0.03464700002223253,0.002980099990963936,2.1499814465641975e-05,0.075353900087066,0.0033299000933766365,2.3499946109950542e-05,2.2999942302703857e-05,2.489995677024126e-05,3.469979856163263e-05,1.4499993994832039e-05,1.109996810555458e-05,0.011717500048689544,0.004829100100323558,1.650000922381878e-05,0.13316869968548417
9,9.710004087537527e-05,0.020534400013275445,0.0029635002138093114,2.210005186498165e-05,0.06625399994663894,0.003415500046685338,2.329994458705187e-05,2.220005262643099e-05,2.1000043489038944e-05,3.429991193115711e-05,1.4199991710484028e-05,1.0799849405884743e-05,0.010053699952550232,0.0032468000426888466,1.7499900422990322e-05,0.10673040000256151
10,9.459990542382002e-05,0.017899499856866896,0.002996899886056781,2.1399930119514465e-05,0.06414689996745437,0.003348400117829442,2.220005262643099e-05,2.279970794916153e-05,2.1300162188708782e-05,3.3100019209086895e-05,1.4599878340959549e-05,1.0799849405884743e-05,0.009421000024303794,0.0027614000719040632,1.5400000847876072e-05,0.10083029943052679
11,1.1599971912801266e-05,8.469994645565748e-05,1.1699972674250603e-05,1.0300078429281712e-05,8.5200066678226e-05,1.1399970389902592e-05,8.039991371333599e-05,1.0899966582655907e-05,0.0002805000403895974,1.740013249218464e-05,7.4999406933784485e-06,5.299923941493034e-06,0.00026490003801882267,0.00018890004139393568,8.09994526207447e-06,0.001078799949027598
12,9.590003173798323e-05,0.01883239997550845,0.0031120000639930367,1.200009137392044e-05,0.07293340004980564,9.470002260059118e-05,1.1200085282325745e-05,1.1799857020378113e-05,1.1900090612471104e-05,1.880002673715353e-05,7.400056347250938e-06,5.600042641162872e-06,0.0031245999271050096,0.0027052999939769506,9.199953638017178e-06,0.10098620026838034
13,1.0999967344105244e-05,8.429994340986013e-05,1.109996810555458e-05,1.3299868442118168e-05,7.970002479851246e-05,1.1200085282325745e-05,8.019991219043732e-05,1.0699965059757233e-05,1.0200077667832375e-05,1.7099897377192974e-05,7.699942216277122e-06,5.200039595365524e-06,0.0004686000756919384,0.0003418000414967537,1.1199968867003918e-05,0.0011632997775450349
14,1.1199968867003918e-05,8.389994036406279e-05,1.1399970389902592e-05,1.0100076906383038e-05,8.020002860575914e-05,1.309998333454132e-05,7.990002632141113e-05,1.079996582120657e-05,0.00036689999978989363,2.5099958293139935e-05,8.79995059221983e-06,5.500041879713535e-06,0.0003021999727934599,0.00019289995543658733,8.399947546422482e-06,0.0012103997869417071
15,1.1400086805224419e-05,8.669996168464422e-05,1.1399970389902592e-05,1.0100076906383038e-05,8.179992437362671e-05,1.1299969628453255e-05,8.060003165155649e-05,1.0999967344105244e-05,1.0500079952180386e-05,1.7000013031065464e-05,6.8999361246824265e-06,5.200039595365524e-06,0.0003925000783056021,0.0002932000206783414,8.00006091594696e-06,0.0010376002173870802
16,1.200009137392044e-05,8.620007429271936e-05,1.1500087566673756e-05,1.0500079952180386e-05,8.269993122667074e-05,0.0049764999421313405,1.170008908957243e-05,1.1300086043775082e-05,1.070008147507906e-05,1.8300022929906845e-05,7.300055585801601e-06,5.400041118264198e-06,0.00028069992549717426,0.00019689998589456081,8.299946784973145e-06,0.005730000440962613
