execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,9.220000356435776e-05,1.2699980288743973e-05,1.1199968867003918e-05,8.300063200294971e-06,0.0004811999388039112,9.499955922365189e-06,6.09993003308773e-06,1.100008375942707e-05,1.1599971912801266e-05,1.2400094419717789e-05,9.290000889450312e-05,8.950009942054749e-05,0.00032929994631558657,1.7400016076862812e-05,1.200009137392044e-05,0.0011973001528531313
2,0.02604659995995462,1.3600103557109833e-05,1.2699863873422146e-05,8.400063961744308e-06,0.0020332999993115664,9.800074622035027e-06,6.09993003308773e-06,1.2099859304726124e-05,1.4699995517730713e-05,1.5900004655122757e-05,0.004558099899441004,0.01999109995085746,0.0015750000020489097,0.005121499998494983,1.4199875295162201e-05,0.05943309958092868
3,1.5300000086426735e-05,0.00500350003130734,1.27000967040658e-05,8.199946023523808e-06,7.00005330145359e-06,8.00006091594696e-06,0.0014329999685287476,9.410001803189516e-05,0.000188700039871037,0.0035857000621035695,9.830005001276731e-05,9.009998757392168e-05,6.200047209858894e-06,1.8900027498602867e-05,0.00011549994815140963,0.010685200337320566
4,1.1299853213131428e-05,1.2099859304726124e-05,1.1199968867003918e-05,7.900060154497623e-06,6.600050255656242e-06,8.300063200294971e-06,0.0014393000165000558,9.079999290406704e-05,1.1999858543276787e-05,8.919998072087765e-05,1.1299969628453255e-05,1.100008375942707e-05,6.200047209858894e-06,1.910002902150154e-05,1.2199976481497288e-05,0.0017484998097643256
5,0.0071304000448435545,1.3599987141788006e-05,1.189985778182745e-05,8.499948307871819e-06,0.0008960999548435211,8.900067768990993e-06,6.09993003308773e-06,1.200009137392044e-05,1.3499869965016842e-05,1.5499885194003582e-05,0.00134529999922961,0.005116300075314939,0.0006998999742791057,0.001344399875961244,1.370010431855917e-05,0.01663609966635704
6,1.3699987903237343e-05,1.3199867680668831e-05,1.1999974958598614e-05,8.09994526207447e-06,0.0023268999066203833,9.399955160915852e-06,5.900044925510883e-06,1.1499971151351929e-05,1.2599979527294636e-05,0.005305800121277571,0.007083300035446882,0.026700999937020242,0.0017500999383628368,2.1000043489038944e-05,1.4099874533712864e-05,0.04328859958332032
7,1.2899981811642647e-05,1.3100099749863148e-05,1.1499971151351929e-05,7.999944500625134e-06,0.00036750000435858965,8.599949069321156e-06,5.900044925510883e-06,1.0999967344105244e-05,1.2699980288743973e-05,0.008109100046567619,0.0001273000380024314,9.310001041740179e-05,0.00026459991931915283,2.0099920220673084e-05,1.1999974958598614e-05,0.00907739985268563
8,3.42000275850296e-05,0.0001700000138953328,3.2400013878941536e-05,1.6499892808496952e-05,0.01334329997189343,2.210005186498165e-05,1.2100092135369778e-05,2.3899832740426064e-05,3.330002073198557e-05,0.004406199906952679,0.0441118999151513,0.09069199988152832,0.005550599889829755,4.939991049468517e-05,0.0033711998257786036,0.16186909924726933
9,2.5399960577487946e-05,0.0001097000204026699,2.310005947947502e-05,1.9300030544400215e-05,0.011180700035765767,1.9799917936325073e-05,1.2100092135369778e-05,2.4700071662664413e-05,2.4900073185563087e-05,0.0037042000330984592,0.025444199913181365,0.07694179995451123,0.0035426999675109982,3.7700170651078224e-05,0.0034752001520246267,0.12458550045266747
10,2.5499961338937283e-05,0.00010659999679774046,2.329994458705187e-05,1.5199999324977398e-05,0.01098299992736429,2.0300038158893585e-05,1.179997343569994e-05,2.410018350929022e-05,2.52000754699111e-05,0.003920100047253072,0.01996650011278689,0.07273280015215278,0.003222599974833429,3.659992944449186e-05,0.0032694002147763968,0.11438300053123385
11,9.039998985826969e-05,1.2999982573091984e-05,0.0003282000543549657,7.900060154497623e-06,0.00028470007237046957,8.300063200294971e-06,5.300040356814861e-06,1.0699848644435406e-05,1.4399876818060875e-05,1.3099866919219494e-05,9.14999982342124e-05,8.60999571159482e-05,0.00020330003462731838,1.919991336762905e-05,1.1699972674250603e-05,0.0011877997312694788
12,1.2200092896819115e-05,9.929994121193886e-05,1.1599971912801266e-05,7.999944500625134e-06,0.0034488000674173236,1.0399962775409222e-05,6.00004568696022e-06,1.2699980288743973e-05,1.2999982573091984e-05,0.0001007000682875514,0.020704300026409328,0.0794531999854371,0.0030525000765919685,1.9300030544400215e-05,0.0033397001679986715,0.11029170034453273
13,8.969998452812433e-05,1.4600111171603203e-05,1.109996810555458e-05,7.6000578701496124e-06,0.0006258999928832054,8.899951353669167e-06,5.600042641162872e-06,1.0299962013959885e-05,1.1600088328123093e-05,1.1899974197149277e-05,8.9599983766675e-05,8.620007429271936e-05,0.0003741999389603734,1.7099897377192974e-05,1.170008908957243e-05,0.0013760001165792346
14,0.00010430009569972754,1.619989052414894e-05,0.00033189996611326933,8.399947546422482e-06,0.0003056999994441867,8.499948307871819e-06,5.800044164061546e-06,1.3199984095990658e-05,1.7200014553964138e-05,2.5000073947012424e-05,0.00012159999459981918,0.00011269992683082819,0.00020979996770620346,2.2999942302703857e-05,1.4599994756281376e-05,0.0013178997905924916
15,8.910009637475014e-05,1.2399978004395962e-05,1.0899966582655907e-05,8.200062438845634e-06,0.0004621000261977315,9.00006853044033e-06,5.600042641162872e-06,1.0699965059757233e-05,1.1399970389902592e-05,1.2200092896819115e-05,9.34000127017498e-05,9.439990390092134e-05,0.0003326000878587365,1.789990346878767e-05,1.2400094419717789e-05,0.0011823002714663744
16,2.1300162188708782e-05,1.3400102034211159e-05,1.9200029782950878e-05,1.0600080713629723e-05,0.00036669999826699495,1.1199968867003918e-05,7.100054062902927e-06,1.1400086805224419e-05,1.9300030544400215e-05,0.006430799956433475,9.620003402233124e-05,9.460002183914185e-05,0.00023980007972568274,3.1800009310245514e-05,1.279998105019331e-05,0.007386200595647097
