execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,0.00020559970289468765,1.5200115740299225e-05,2.640020102262497e-05,1.5600118786096573e-05,0.000539800152182579,1.0599847882986069e-05,1.109996810555458e-05,2.1600164473056793e-05,3.4994445741176605e-06,2.659996971487999e-05,0.00014950009062886238,0.00019659986719489098,0.0003745998255908489,4.850002005696297e-05,2.3399945348501205e-05,0.001668599434196949
2,0.031523600686341524,1.619989052414894e-05,1.6999896615743637e-05,1.0699965059757233e-05,0.0024999999441206455,1.1400319635868073e-05,7.599592208862305e-06,1.6699545085430145e-05,3.000255674123764e-06,1.7900019884109497e-05,0.00536759989336133,0.024742099922150373,0.0019454997964203358,0.006097099743783474,1.6899779438972473e-05,0.0722932992503047
3,1.6300007700920105e-05,0.006227500271052122,1.4400109648704529e-05,9.499955922365189e-06,8.7004154920578e-06,1.00000761449337e-05,0.0017670001834630966,0.00010829977691173553,2.600252628326416e-06,0.004320699721574783,0.00011319946497678757,0.00011039990931749344,7.0999376475811005e-06,2.440018579363823e-05,0.00015490036457777023,0.012895000632852316
4,1.3400334864854813e-05,1.8899794667959213e-05,1.3700220733880997e-05,9.600073099136353e-06,7.700175046920776e-06,1.1799857020378113e-05,0.0017883996479213238,0.00011010002344846725,2.3995526134967804e-06,0.00010870024561882019,1.3599637895822525e-05,1.380033791065216e-05,6.9998204708099365e-06,2.2100284695625305e-05,1.800013706088066e-05,0.002159200143069029
5,0.007717499975115061,1.5500467270612717e-05,2.3799948394298553e-05,2.1700281649827957e-05,0.0020198002457618713,1.0800082236528397e-05,1.619989052414894e-05,1.3799872249364853e-05,3.4999102354049683e-06,1.6199424862861633e-05,0.0014252997934818268,0.006137399934232235,0.0009186002425849438,0.0015967004001140594,1.58003531396389e-05,0.019952600821852684
6,1.600012183189392e-05,1.5399884432554245e-05,1.4800578355789185e-05,1.00000761449337e-05,0.002717799972742796,1.1600088328123093e-05,1.1599622666835785e-05,1.4299992471933365e-05,2.8996728360652924e-06,0.006327399984002113,0.008710299618542194,0.03115620044991374,0.002074199728667736,2.400064840912819e-05,1.6499776393175125e-05,0.05112300021573901
7,2.5199726223945618e-05,1.5799887478351593e-05,2.5099609047174454e-05,2.2300053387880325e-05,0.0009310999885201454,2.2099819034337997e-05,1.7600134015083313e-05,1.3600103557109833e-05,3.300141543149948e-06,0.009550500195473433,0.00011599995195865631,0.0001126001589000225,0.0006753997877240181,3.879982978105545e-05,1.490022987127304e-05,0.011584299616515636
8,1.6700010746717453e-05,1.4599878340959549e-05,1.4499761164188385e-05,9.700190275907516e-06,0.004039900377392769,1.930026337504387e-05,7.300172001123428e-06,1.380033791065216e-05,2.6994384825229645e-06,0.003538500051945448,0.014216499868780375,0.07081219973042607,0.0035172998905181885,2.9400456696748734e-05,1.729978248476982e-05,0.09626970021054149
9,1.5399884432554245e-05,1.600012183189392e-05,1.4899764209985733e-05,1.3799872249364853e-05,0.0009523998014628887,1.109996810555458e-05,7.3998235166072845e-06,1.4199875295162201e-05,2.5997869670391083e-06,0.003205700311809778,0.0026211999356746674,0.011344300117343664,0.0006483001634478569,2.4499837309122086e-05,1.6100239008665085e-05,0.018907899502664804
10,3.1800009310245514e-05,3.390014171600342e-05,3.3200252801179886e-05,1.019984483718872e-05,0.00030669989064335823,1.0999850928783417e-05,7.200054824352264e-06,3.3400021493434906e-05,4.300381988286972e-06,0.007498899940401316,0.00027219997718930244,0.0002677994780242443,0.00018150033429265022,5.069980397820473e-05,4.00003045797348e-05,0.008782800287008286
