class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Column_Selection,subkind,subkind,False,True,False,3,0
Cross_Validation,subkind,subkind,False,True,False,3,0
Data_Cleaning_Preprocessing_Operator,subkind,subkind,False,False,True,2,2
Data_Coding,subkind,subkind,False,True,False,3,0
Data_Create,subkind,subkind,False,True,False,3,0
Data_Discretization,subkind,subkind,False,True,False,3,0
Data_Missing_Imputation,subkind,subkind,False,True,False,3,0
Data_Normalization,subkind,subkind,False,False,True,3,1
Data_Outlier_Treatment,subkind,subkind,False,True,False,3,0
Data_Partition_Preprocessing_Operator,subkind,subkind,False,False,True,2,2
Data_Preprocessing_Executable_Operator,subkind,subkind,False,True,False,1,0
Data_Preprocessing_Operator,subkind,subkind,False,False,True,1,19
Data_Reduction_Preprocessing_Operator,subkind,subkind,False,False,True,2,2
Data_Sampling_Correction_Preprocessing_Operator,subkind,subkind,False,False,True,2,2
Data_Standardization,subkind,subkind,False,True,False,4,0
Data_Transformation_Preprocessing_Operator,subkind,subkind,False,False,True,2,6
Data_Type_Convert,subkind,subkind,False,True,False,3,0
Holdout,subkind,subkind,False,True,False,3,0
Line_Selection,subkind,subkind,False,True,False,3,0
Operator,kind,kind,True,False,False,0,21
Oversampling,subkind,subkind,False,True,False,3,0
Undersampling,subkind,subkind,False,True,False,3,0
