execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.3500102795660496e-05,1.3500102795660496e-05,1.2199976481497288e-05,8.499948307871819e-06,0.0003782999701797962,1.0199961252510548e-05,6.299931555986404e-06,1.1900090612471104e-05,1.309998333454132e-05,0.008306599920615554,9.640003554522991e-05,9.119999594986439e-05,0.0002728999825194478,2.2999942302703857e-05,1.3200100511312485e-05,0.009270800044760108
2,1.4599994756281376e-05,2.259993925690651e-05,1.2099859304726124e-05,8.499948307871819e-06,0.0003898999420925975,1.0499963536858559e-05,6.199930794537067e-06,1.6300007700920105e-05,1.3599870726466179e-05,0.008833699976094067,0.00013119983486831188,9.96999442577362e-05,0.00027249997947365046,2.4999957531690598e-05,1.7800135537981987e-05,0.009874199284240603
3,1.3200100511312485e-05,1.3600103557109833e-05,1.2100092135369778e-05,8.299946784973145e-06,0.000987800071015954,1.0299962013959885e-05,6.100046448409557e-06,1.2600095942616463e-05,1.27000967040658e-05,0.005450599943287671,0.0021333999466151,0.009651400032453239,0.0007336999988183379,2.220005262643099e-05,1.500011421740055e-05,0.01908300060313195
4,1.2599979527294636e-05,1.3499986380338669e-05,1.1899974197149277e-05,8.399947546422482e-06,0.0003746999427676201,1.1599971912801266e-05,6.199930794537067e-06,1.2100092135369778e-05,1.3100099749863148e-05,0.008098099962808192,9.470002260059118e-05,8.9599983766675e-05,0.0002750999992713332,2.1699932403862476e-05,1.300009898841381e-05,0.009056299924850464
5,1.4300108887255192e-05,1.4499877579510212e-05,1.2999982573091984e-05,8.699949830770493e-06,0.00038970005698502064,1.0899966582655907e-05,6.5999338403344154e-06,1.2699980288743973e-05,1.550000160932541e-05,0.008317100000567734,9.989994578063488e-05,9.53000271692872e-05,0.0003622000804170966,2.359994687139988e-05,1.379998866468668e-05,0.009397799847647548
6,1.2899981811642647e-05,1.2599863111972809e-05,1.200009137392044e-05,8.599949069321156e-06,0.00041740003507584333,1.2699980288743973e-05,8.599949069321156e-06,1.5099998563528061e-05,1.3200100511312485e-05,0.008069099974818528,9.670003782957792e-05,9.470002260059118e-05,0.000359299941919744,2.2300169803202152e-05,1.2599979527294636e-05,0.009167800075374544
7,1.3299868442118168e-05,1.3199867680668831e-05,1.189985778182745e-05,7.899943739175797e-06,0.0003757000667974353,9.899958968162537e-06,6.100046448409557e-06,1.1600088328123093e-05,1.2699980288743973e-05,0.008052200078964233,9.600003249943256e-05,8.999998681247234e-05,0.0002734999870881438,2.2700056433677673e-05,1.2800097465515137e-05,0.00900949991773814
8,1.3300101272761822e-05,1.300009898841381e-05,1.2300093658268452e-05,8.499948307871819e-06,0.000785200041718781,1.3599987141788006e-05,6.200047209858894e-06,1.2100092135369778e-05,1.2999982573091984e-05,0.008175899973139167,0.001217000070028007,0.004991400055587292,0.0005810000002384186,2.329994458705187e-05,1.370010431855917e-05,0.0158795005409047
9,1.3299868442118168e-05,1.289986539632082e-05,1.209997572004795e-05,8.400063961744308e-06,0.00038590002804994583,9.899958968162537e-06,6.100046448409557e-06,1.1599971912801266e-05,1.2699863873422146e-05,0.008054399979300797,9.460002183914185e-05,9.099999442696571e-05,0.0002725000958889723,2.2699940018355846e-05,1.3300101272761822e-05,0.009021399775519967
10,1.3899989426136017e-05,1.3499986380338669e-05,1.2399861589074135e-05,8.00006091594696e-06,0.0009976999135687947,9.899958968162537e-06,6.3999323174357414e-06,1.2499978765845299e-05,1.3299984857439995e-05,0.005379000096581876,0.0027580000460147858,0.009604499908164144,0.0007250999333336949,2.3499946109950542e-05,1.4999997802078724e-05,0.019592699594795704
11,2.949975896626711e-05,0.00011110003106296062,2.4199718609452248e-05,1.6200006939470768e-05,0.012897099950350821,2.329994458705187e-05,1.2500095181167126e-05,2.519995905458927e-05,2.5999732315540314e-05,0.00392899988219142,0.032494000042788684,0.12759669998195022,0.004912099917419255,4.6999892219901085e-05,0.002246699878014624,0.18439059879165143
