execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.1999974958598614e-05,7.970002479851246e-05,1.0899966582655907e-05,9.899958968162537e-06,7.899996126070619e-05,0.006939600047189742,1.1599971912801266e-05,1.1499971151351929e-05,1.0499963536858559e-05,1.9499973859637976e-05,7.399998139590025e-06,5.699985194951296e-06,0.00031699996907263994,0.00023040000814944506,8.700008038431406e-06,0.0077533997828140855
2,1.090002479031682e-05,7.920002099126577e-05,1.1199968867003918e-05,1.009996049106121e-05,7.830001413822174e-05,0.006680699938442558,1.109996810555458e-05,1.1200027074664831e-05,1.0800082236528397e-05,1.939997309818864e-05,6.999995093792677e-06,5.400041118264198e-06,0.00030669994885101914,0.0002204999909736216,8.200004231184721e-06,0.007470699958503246
3,1.1200027074664831e-05,0.001791900023818016,1.1700030881911516e-05,1.0399962775409222e-05,0.00820659997407347,0.004439799988176674,1.1100084520876408e-05,1.4399993233382702e-05,1.0299962013959885e-05,1.9400031305849552e-05,6.89999433234334e-06,5.599984433501959e-06,0.0008281000191345811,0.0009395999950356781,1.0299962013959885e-05,0.016317300032824278
4,1.1299969628453255e-05,8.299993351101875e-05,1.0800024028867483e-05,1.0000017937272787e-05,7.499998901039362e-05,0.0067495000548660755,1.0999967344105244e-05,1.109996810555458e-05,1.009996049106121e-05,1.9200029782950878e-05,6.89999433234334e-06,5.00003807246685e-06,0.0003092000260949135,0.000222100003156811,8.500006515532732e-06,0.007542699982877821
5,1.1199968867003918e-05,7.850001566112041e-05,1.4099990949034691e-05,1.0000017937272787e-05,7.539999205619097e-05,0.006617199920583516,1.279998105019331e-05,1.1100026313215494e-05,1.0599964298307896e-05,2.1799933165311813e-05,7.199996616691351e-06,5.400041118264198e-06,0.00030590000096708536,0.00021999998716637492,8.500006515532732e-06,0.007409699843265116
6,1.1400028597563505e-05,8.519995026290417e-05,1.090002479031682e-05,1.0100018698722124e-05,8.590001380071044e-05,0.006988300010561943,1.2999982573091984e-05,1.1199968867003918e-05,1.5199941117316484e-05,2.2900057956576347e-05,7.099995855242014e-06,5.00003807246685e-06,0.0003060000017285347,0.00022190000163391232,8.700008038431406e-06,0.007802800042554736
7,1.1399970389902592e-05,7.750000804662704e-05,1.109996810555458e-05,1.0199961252510548e-05,7.599999662488699e-05,0.00674430001527071,1.1300027836114168e-05,1.0900082997977734e-05,1.0400079190731049e-05,1.9000028260052204e-05,7.099995855242014e-06,5.199981387704611e-06,0.00030519999563694,0.00022649997845292091,8.400005754083395e-06,0.007534500095061958
8,1.0899966582655907e-05,0.000963800004683435,1.1400028597563505e-05,1.0199961252510548e-05,0.003941099974326789,0.006491700012702495,1.0700023267418146e-05,1.0399962775409222e-05,1.00000761449337e-05,2.129992935806513e-05,6.700051017105579e-06,5.099980626255274e-06,0.0006313000340014696,0.0004722000448964536,8.400005754083395e-06,0.012605200055986643
9,1.109996810555458e-05,7.999996887519956e-05,1.1699972674250603e-05,1.0300020221620798e-05,7.509998977184296e-05,0.0067269999999552965,1.1700030881911516e-05,1.1199968867003918e-05,1.0299962013959885e-05,1.9600032828748226e-05,6.699992809444666e-06,5.299982149153948e-06,0.0003034999826923013,0.00021460000425577164,8.100003469735384e-06,0.0075061998795717955
10,1.1300027836114168e-05,0.0017134000081568956,1.1700030881911516e-05,1.0200019460171461e-05,0.00772220001090318,0.004309199983254075,1.1499971151351929e-05,1.1199968867003918e-05,1.0500021744519472e-05,1.7900019884109497e-05,6.699992809444666e-06,5.00003807246685e-06,0.0008042999543249607,0.0005830000154674053,8.800008799880743e-06,0.01523690007161349
11,8.979998528957367e-05,0.027986899891402572,0.00192170002264902,2.1300045773386955e-05,0.09283919999143109,0.003166399954352528,2.219993621110916e-05,2.189993392676115e-05,2.089992631226778e-05,3.530003596097231e-05,1.3899989426136017e-05,1.0599964298307896e-05,0.010447699925862253,0.00416930002393201,1.6400008462369442e-05,0.14078349963529035
