class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Anulled_Tender,role,role,False,True,False,2,0,23
Auction,relator,kind,True,False,False,0,2,2
Auction_for_Public_Tender,relator,kind,False,True,False,2,0,2
Batch_in_Auction,rolemixin,rolemixin,True,False,False,0,1,2
Bidder,role,role,False,False,True,1,1,4
Bidder_in_Auction,role,role,False,True,False,3,0,4
Bussiness_Plan,kind,kind,True,False,False,0,1,1
Bussiness_Plan_in_Specific_Proposal,role,role,False,True,False,1,0,1
Call_for_Tender,kind,kind,True,False,False,0,1,2
Call_for_Tender_Publication,relator,kind,False,True,False,1,0,3
Call_for_Tender_Republication,relator,kind,False,True,False,2,0,3
Committee,collective,kind,True,False,False,0,1,1
Company,subkind,subkind,True,False,False,0,2,4
Company_Participant_of_Public_Auction,rolemixin,rolemixin,True,False,False,0,2,4
Completed_Tender,role,role,False,False,True,1,5,23
Concession_Tender,subkind,subkind,False,True,False,1,0,23
Construction_Tender,subkind,subkind,False,True,False,1,0,23
Disposal_Tender,subkind,subkind,False,True,False,1,0,23
Economic_Proposal,kind,kind,True,False,False,0,1,1
Economic_Proposal_in_Specific_Proposal,role,role,False,True,False,1,0,1
Empty_Tender,role,role,False,True,False,3,0,23
Failed_Tender,role,role,False,True,False,3,0,23
Grant_Committee,role,role,False,True,False,1,0,1
Lease_Tender,subkind,subkind,False,True,False,1,0,23
Legal_Representative,role,role,False,False,True,1,1,2
Legal_Representative_in_Tender_Process,role,role,False,True,False,2,0,2
Liga__o,collective,kind,False,True,False,1,0,1
Liga__o_Efetivada,role,role,True,False,False,0,1,1
Permission_Tender,subkind,subkind,False,False,True,1,1,23
Permission_Tender_in_Auction,role,role,False,True,False,2,0,23
Permission_Tender_in_External_Phase,role,role,False,True,False,2,0,23
Person,kind,kind,True,False,False,0,2,2
Plano_de_Outorga,kind,kind,False,True,False,2,0,2
Plano_de_Outorga_com_Subs_dio_de_Pesquisa_Operacional,role,role,True,False,False,0,1,2
Plano_de_Outorga_com_Subs_dio_de_Pesquisa_de_Ativos_e_Custos,role,role,True,False,False,0,1,2
Projeto_B_sico,kind,kind,False,True,False,1,0,1
Projeto_B_sico_de_Concess_o,subkind,subkind,True,False,False,0,1,1
Proof_of_Fleet,kind,kind,True,False,False,0,1,1
Proof_of_Fleet_in_General_Proposal,role,role,False,True,False,1,0,1
Public_Auction,relator,kind,False,False,True,1,1,2
Publication,relator,kind,True,False,False,0,3,3
Publication_Context,rolemixin,rolemixin,True,False,False,0,1,23
Published_Call_for_Tender,role,role,False,True,False,2,0,2
Published_Object,rolemixin,rolemixin,True,False,False,0,1,2
Purchase_Tender,subkind,subkind,False,True,False,1,0,23
Qualification,kind,kind,True,False,False,0,1,1
Qualification_in_General_Proposal,role,role,False,True,False,1,0,1
Republication,relator,kind,False,False,True,1,1,3
Service_Batch,collective,kind,True,False,False,0,1,2
Service_Batch_in_Auction,role,role,False,True,False,2,0,2
Service_Tender,subkind,subkind,False,True,False,1,0,23
Suspended_Tender,role,role,False,True,False,2,0,23
Tended_With_Winner,role,role,False,True,False,2,0,23
Tender,kind,kind,True,False,False,0,22,23
Tender_Without_Winner,role,role,False,False,True,2,2,23
Tender_in_Call_for_Tender,role,role,False,True,False,3,0,23
Tender_in_External_Phase,role,role,False,False,True,1,6,23
Tender_in_Homologation_Process,role,role,False,True,False,2,0,23
Tender_in_Internal_Phase,role,role,False,True,False,1,0,23
Tender_in_Proposal_Reviewing,role,role,False,True,False,2,0,23
Tender_in_Qualification,role,role,False,True,False,2,0,23
Warranty,kind,kind,True,False,False,0,1,1
Warranty_in_General_Proposal,role,role,False,True,False,1,0,1
Winner_of_Public_Auction,rolemixin,rolemixin,False,True,False,1,0,4
