execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.2499978765845299e-05,8.649996016174555e-05,1.2400094419717789e-05,1.0800082236528397e-05,0.00010850001126527786,1.2899981811642647e-05,8.240004535764456e-05,1.1600088328123093e-05,1.0999967344105244e-05,2.0699924789369106e-05,9.400071576237679e-06,5.800044164061546e-06,0.0002959000412374735,0.0002474000211805105,9.399955160915852e-06,0.0009372002677991986
2,0.00010710011702030897,0.032203700160607696,0.010726700071245432,2.6000081561505795e-05,0.1120025001000613,0.00010499998461455107,0.038426600163802505,3.070023376494646e-05,2.5300076231360435e-05,0.007095599896274507,1.8700025975704193e-05,1.2399978004395962e-05,0.01752580003812909,0.0050845000660046935,1.9400031305849552e-05,0.22341000102460384
3,0.00010140007361769676,0.023585200076922774,0.00967520009726286,2.420006785541773e-05,0.0969694999512285,0.0034965999657288194,2.5399960577487946e-05,2.8799870051443577e-05,2.3400061763823032e-05,4.3500098399817944e-05,1.659989356994629e-05,1.1999974958598614e-05,0.01074609998613596,0.003699099994264543,1.880002673715353e-05,0.14846580009907484
4,0.00010170007590204477,0.023120000027120113,0.009557100012898445,2.3499829694628716e-05,0.09590199997182935,0.0035695999395102262,2.5700079277157784e-05,2.429995220154524e-05,2.3199710994958878e-05,4.260009154677391e-05,1.950003206729889e-05,1.1999974958598614e-05,0.010886100004427135,0.0035889000864699483,2.0000035874545574e-05,0.14691619982477278
5,0.00010159984230995178,0.02380639989860356,0.009896400151774287,2.3799948394298553e-05,0.09710600005928427,0.0034272000193595886,2.6499852538108826e-05,2.52000754699111e-05,2.340017817914486e-05,4.700000863522291e-05,1.640012487769127e-05,1.179997343569994e-05,0.010682499967515469,0.003711199969984591,1.940014772117138e-05,0.14892480021808296
6,1.1900090612471104e-05,0.00010719988495111465,1.580000389367342e-05,1.070008147507906e-05,9.599991608411074e-05,1.6400008462369442e-05,0.00010430009569972754,1.5299883671104908e-05,1.0699965059757233e-05,1.9600032828748226e-05,8.300063200294971e-06,5.500041879713535e-06,0.0003470000810921192,0.00031400006264448166,9.100069291889668e-06,0.0010918002808466554
7,1.1299853213131428e-05,8.439994417130947e-05,1.1499971151351929e-05,1.0400079190731049e-05,8.440017700195312e-05,1.179997343569994e-05,7.870001718401909e-05,1.4899997040629387e-05,1.4400109648704529e-05,2.5300076231360435e-05,1.3199984095990658e-05,6.200047209858894e-06,0.0003513999981805682,0.00023330003023147583,1.2500095181167126e-05,0.0009637003531679511
8,0.00010339997243136168,0.024002399994060397,0.010127199813723564,2.2800173610448837e-05,0.10191430000122637,0.003768799942918122,3.329990431666374e-05,2.7000089175999165e-05,2.620008308440447e-05,4.890013951808214e-05,1.650000922381878e-05,1.5300000086426735e-05,0.011486500035971403,0.0038501000963151455,2.2900057956576347e-05,0.15546560031361878
9,0.00010469986591488123,0.024056299938820302,0.009377999929711223,2.3100175894796848e-05,0.09477780014276505,0.0033363999100401998,3.120000474154949e-05,2.41999514400959e-05,2.2300053387880325e-05,4.2199972085654736e-05,1.610000617802143e-05,1.109996810555458e-05,0.010980900027789176,0.003748699906282127,1.8699909560382366e-05,0.1465716997627169
10,1.2099859304726124e-05,8.209992665797472e-05,1.170008908957243e-05,1.0699965059757233e-05,7.970002479851246e-05,1.209997572004795e-05,8.189992513507605e-05,1.1100084520876408e-05,1.209997572004795e-05,2.110004425048828e-05,8.600065484642982e-06,5.500041879713535e-06,0.0002758000046014786,0.00019049993716180325,9.00006853044033e-06,0.0008239999879151583
11,1.2299977242946625e-05,8.680007886141539e-05,1.2299860827624798e-05,1.079996582120657e-05,8.329993579536676e-05,1.2200092896819115e-05,8.240016177296638e-05,1.179997343569994e-05,1.0899966582655907e-05,2.050003968179226e-05,8.399947546422482e-06,5.499925464391708e-06,0.00030620000325143337,0.00019639998208731413,9.599956683814526e-06,0.00086939986795187
12,1.2400094419717789e-05,1.1199968867003918e-05,1.219986006617546e-05,8.499994874000549e-05,1.1299853213131428e-05,1.27000967040658e-05,0.005934200016781688,1.2899981811642647e-05,1.1400086805224419e-05,2.1300162188708782e-05,8.200062438845634e-06,0.0019109999993816018,6.299931555986404e-06,5.900044925510883e-06,8.800067007541656e-06,0.00806480017490685
13,0.0001021998468786478,0.023971199989318848,0.009869999950751662,2.3399945348501205e-05,0.0983584999339655,0.0036937001859769225,2.480007242411375e-05,2.4699955247342587e-05,2.289994154125452e-05,4.449998959898949e-05,1.6600009985268116e-05,1.1400086805224419e-05,0.01073730003554374,0.0037723000859841704,2.0400038920342922e-05,0.15069390006829053
14,9.939982555806637e-05,0.023900500033050776,0.009723100112751126,2.2999942302703857e-05,0.09562519984319806,0.0034710001200437546,2.4900073185563087e-05,2.4099950678646564e-05,2.280005719512701e-05,4.200008697807789e-05,1.6999896615743637e-05,1.189985778182745e-05,0.010575099964626133,0.003722999943420291,1.9099912606179714e-05,0.14730209961999208
15,1.4099874533712864e-05,8.9899986051023e-05,1.2099859304726124e-05,1.100008375942707e-05,8.19001579657197e-05,1.2599979527294636e-05,8.179992437362671e-05,1.1699972674250603e-05,1.1199968867003918e-05,2.080004196614027e-05,8.200062438845634e-06,6.00004568696022e-06,0.000278900028206408,0.0001976999919861555,9.599956683814526e-06,0.0008474999340251088
16,1.209997572004795e-05,8.25999304652214e-05,1.1699856258928776e-05,1.0800082236528397e-05,8.000002708286047e-05,1.1999974958598614e-05,8.060003165155649e-05,1.1199968867003918e-05,1.0900082997977734e-05,2.050003968179226e-05,8.200062438845634e-06,5.600042641162872e-06,0.0002935000229626894,0.00018890004139393568,8.899951353669167e-06,0.0008375000907108188
17,9.210000280290842e-05,0.02450279996264726,0.009842299856245518,1.550000160932541e-05,0.10084050009027123,8.60999571159482e-05,1.1900090612471104e-05,1.2599979527294636e-05,1.1799857020378113e-05,2.0299921743571758e-05,8.400063961744308e-06,6.00004568696022e-06,0.0040460999589413404,0.0035510000307112932,1.070008147507906e-05,0.14305809990037233
18,1.2899981811642647e-05,0.0018914000829681754,1.3499986380338669e-05,1.1299969628453255e-05,0.008689200039952993,1.3599987141788006e-05,0.011233599972911179,1.2499978765845299e-05,1.1800089851021767e-05,0.002203900017775595,8.600065484642982e-06,5.900044925510883e-06,0.0008635999402031302,0.0006301000248640776,8.900067768990993e-06,0.025610800250433385
19,1.2899981811642647e-05,8.979998528957367e-05,1.2400094419717789e-05,1.3300101272761822e-05,9.220000356435776e-05,1.4399993233382702e-05,8.25000461190939e-05,1.209997572004795e-05,1.1199968867003918e-05,2.2400054149329662e-05,9.500072337687016e-06,7.699942216277122e-06,0.00039840000681579113,0.00024679990019649267,1.0199961252510548e-05,0.0010358000872656703
20,0.00012539990711957216,0.029784999904222786,0.01011469995137304,2.9199989512562752e-05,0.10242630005814135,0.00010879989713430405,0.03846369998063892,3.0700117349624634e-05,2.8500217013061047e-05,0.007108299876563251,1.7699901945888996e-05,1.2399978004395962e-05,0.015785199939273298,0.004700599936768413,1.7300015315413475e-05,0.20875379967037588
21,1.209997572004795e-05,8.310005068778992e-05,1.1699972674250603e-05,1.0900082997977734e-05,7.87999015301466e-05,1.1999858543276787e-05,7.860013283789158e-05,1.0900082997977734e-05,1.070008147507906e-05,1.9900151528418064e-05,8.100061677396297e-06,5.500041879713535e-06,0.00027979991864413023,0.00018289999570697546,1.209997572004795e-05,0.0008171002846211195
22,0.00010540010407567024,0.023822400020435452,0.009904600214213133,2.3900065571069717e-05,0.0977526999777183,0.00010299996938556433,0.00016239983960986137,2.4700071662664413e-05,2.329982817173004e-05,4.1599851101636887e-05,1.6700010746717453e-05,1.2199976481497288e-05,0.015082899946719408,0.0036572000244632363,2.9199989512562752e-05,0.1507621998898685
23,1.200009137392044e-05,8.270004764199257e-05,1.1999974958598614e-05,1.0699965059757233e-05,8.189992513507605e-05,1.2200092896819115e-05,8.300016634166241e-05,1.1199968867003918e-05,1.0900082997977734e-05,1.9900151528418064e-05,7.899943739175797e-06,5.600042641162872e-06,0.0002749999985098839,0.00018360000103712082,9.199953638017178e-06,0.0008178004063665867
24,1.1899974197149277e-05,8.270004764199257e-05,1.2199976481497288e-05,1.0699965059757233e-05,7.810001261532307e-05,1.1999974958598614e-05,7.790012750774622e-05,1.1399853974580765e-05,1.109996810555458e-05,1.9999919459223747e-05,8.100061677396297e-06,5.500041879713535e-06,0.0002706999657675624,0.0001873000292107463,9.00006853044033e-06,0.0008085999870672822
