execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.2500095181167126e-05,8.189992513507605e-05,1.2100092135369778e-05,1.0599964298307896e-05,7.829989772289991e-05,1.1900090612471104e-05,8.499994874000549e-05,1.700012944638729e-06,1.0900082997977734e-05,1.9900151528418064e-05,8.499948307871819e-06,5.500041879713535e-06,0.00028739997651427984,0.00018179998733103275,8.999952115118504e-06,0.0008170001674443483
2,1.9200029782950878e-05,0.005300500080920756,1.3200100511312485e-05,1.1400086805224419e-05,0.02458529989235103,1.4599994756281376e-05,0.030631199944764376,2.400018274784088e-06,1.200009137392044e-05,0.005812100018374622,8.699949830770493e-06,6.00004568696022e-06,0.0015363000566139817,0.0014616999542340636,2.129992935806513e-05,0.0694359001936391
3,1.1699972674250603e-05,8.669996168464422e-05,1.1899974197149277e-05,1.0300078429281712e-05,7.990002632141113e-05,0.002422699937596917,1.1699856258928776e-05,1.700012944638729e-06,1.0900082997977734e-05,2.050003968179226e-05,8.00006091594696e-06,5.499925464391708e-06,0.00020769995171576738,0.0001311000669375062,9.100069291889668e-06,0.0030294000171124935
4,1.4600111171603203e-05,9.309989400207996e-05,1.1499971151351929e-05,1.0300078429281712e-05,7.699988782405853e-05,0.0025042000925168395,1.1899974197149277e-05,1.9000144675374031e-06,1.0699965059757233e-05,2.410006709396839e-05,7.999944500625134e-06,5.599926225841045e-06,0.00020430004224181175,0.00012749992311000824,8.600065484642982e-06,0.0031132999574765563
5,1.1399970389902592e-05,0.0001039999770000577,1.5100114978849888e-05,2.0600156858563423e-05,0.00011000002268701792,0.0025290000485256314,1.1500087566673756e-05,2.199900336563587e-06,1.0699965059757233e-05,2.389994915574789e-05,7.70005863159895e-06,8.800067007541656e-06,0.00020679994486272335,0.000130399945192039,8.500064723193645e-06,0.003200600272975862
6,1.1499854736030102e-05,8.0699915997684e-05,1.1200085282325745e-05,1.0299962013959885e-05,7.569999434053898e-05,1.1599971912801266e-05,7.499998901039362e-05,1.500011421740055e-06,1.0499963536858559e-05,1.880002673715353e-05,9.300070814788342e-06,5.100038833916187e-06,0.0003200999926775694,0.00022139993961900473,1.1399970389902592e-05,0.000874099787324667
7,1.1599855497479439e-05,8.009991142898798e-05,1.1200085282325745e-05,1.019984483718872e-05,7.590011227875948e-05,1.189985778182745e-05,8.210015948861837e-05,1.7998972907662392e-06,1.0799849405884743e-05,1.9200029782950878e-05,7.800059393048286e-06,5.100038833916187e-06,0.00037489994429051876,0.00022679998073726892,8.599949069321156e-06,0.0009379995753988624
8,1.1500087566673756e-05,8.369993884116411e-05,1.1600088328123093e-05,1.019984483718872e-05,8.010002784430981e-05,0.002341100014746189,1.1800089851021767e-05,1.7998972907662392e-06,1.079996582120657e-05,2.019992098212242e-05,7.900060154497623e-06,5.499925464391708e-06,0.00020420004148036242,0.0001257999101653695,8.699949830770493e-06,0.0029348997632041574
9,1.1399970389902592e-05,0.0010133000323548913,1.2200092896819115e-05,1.0799849405884743e-05,0.004061299958266318,0.0022605000995099545,1.1600088328123093e-05,2.00001522898674e-06,1.109996810555458e-05,2.0000035874545574e-05,8.70006624609232e-06,5.600042641162872e-06,0.000443900004029274,0.00029170000925660133,9.100069291889668e-06,0.008173200301826
10,1.1200085282325745e-05,7.939990609884262e-05,1.1400086805224419e-05,9.899958968162537e-06,7.6299998909235e-05,1.4499993994832039e-05,7.52998748794198e-05,1.700012944638729e-06,1.070008147507906e-05,1.8799910321831703e-05,7.999944500625134e-06,5.300040356814861e-06,0.00027359998784959316,0.00017689995002001524,8.599949069321156e-06,0.0007815997814759612
11,1.1300086043775082e-05,7.969990838319063e-05,1.100008375942707e-05,1.0299962013959885e-05,8.370005525648594e-05,1.1899974197149277e-05,7.51999905332923e-05,1.9000144675374031e-06,1.0499963536858559e-05,1.8700025975704193e-05,8.09994526207447e-06,5.100038833916187e-06,0.00027650000993162394,0.0001748999347910285,8.399947546422482e-06,0.0007871999405324459
12,1.1500087566673756e-05,1.0699965059757233e-05,1.100008375942707e-05,7.790001109242439e-05,1.009996049106121e-05,1.1899974197149277e-05,0.005417899927124381,1.9000144675374031e-06,1.1199968867003918e-05,1.9399914890527725e-05,7.699942216277122e-06,0.0017176000401377678,5.899928510189056e-06,5.399924702942371e-06,7.900060154497623e-06,0.007327999803237617
13,1.1899974197149277e-05,8.14999220892787e-05,1.189985778182745e-05,1.0400079190731049e-05,7.68998870626092e-05,0.002543900045566261,1.179997343569994e-05,1.9000144675374031e-06,1.0899966582655907e-05,2.0600156858563423e-05,7.800059393048286e-06,5.400041118264198e-06,0.00020110001787543297,0.00012740003876388073,8.699949830770493e-06,0.00313209998421371
14,1.109996810555458e-05,8.249992970377207e-05,1.1200085282325745e-05,1.0099844075739384e-05,7.609999738633633e-05,0.0023580000270158052,1.170008908957243e-05,1.5998957678675652e-06,1.0599964298307896e-05,1.9200029782950878e-05,7.899943739175797e-06,5.199923180043697e-06,0.00020260002929717302,0.00012769992463290691,8.600065484642982e-06,0.0029440997168421745
