execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,9.169999975711107e-05,1.6200006939470768e-05,1.1699972674250603e-05,8.600065484642982e-06,0.0003301000688225031,1.4699995517730713e-05,5.700043402612209e-06,1.109996810555458e-05,1.800013706088066e-06,1.2499978765845299e-05,9.079999290406704e-05,8.79999715834856e-05,0.00020009989384561777,2.0499923266470432e-05,1.2500095181167126e-05,0.0009159999899566174
2,0.030758599983528256,1.3599987141788006e-05,1.3399869203567505e-05,9.199953638017178e-06,0.0016253000358119607,9.300070814788342e-06,6.500049494206905e-06,1.5399884432554245e-05,2.200016751885414e-06,1.500011421740055e-05,0.00527149997651577,0.024081200012005866,0.0011611999943852425,0.005886700004339218,1.4099874533712864e-05,0.06888319982681423
3,1.2699980288743973e-05,1.2999866157770157e-05,1.1800089851021767e-05,8.599949069321156e-06,0.0002277999883517623,9.7999582067132e-06,6.00004568696022e-06,1.1300086043775082e-05,2.100015990436077e-06,0.002664599916897714,8.949998300522566e-05,8.539995178580284e-05,0.0001433000434190035,2.1500163711607456e-05,1.2699980288743973e-05,0.0033201000187546015
4,1.2499978765845299e-05,1.2400094419717789e-05,1.1399970389902592e-05,8.300063200294971e-06,0.00021650001872330904,9.299954399466515e-06,6.100046448409557e-06,1.0699965059757233e-05,2.200016751885414e-06,0.0025286999298259616,8.640007581561804e-05,8.82000895217061e-05,0.00014080002438277006,2.1300045773386955e-05,1.5100114978849888e-05,0.003169900388456881
5,1.2200092896819115e-05,1.2599979527294636e-05,1.1799857020378113e-05,8.300063200294971e-06,0.00021500000730156898,9.399955160915852e-06,5.699926987290382e-06,1.0800082236528397e-05,1.800013706088066e-06,0.0025243000127375126,8.68999632075429e-05,8.17000400274992e-05,0.00014379993081092834,2.1699932403862476e-05,1.5099998563528061e-05,0.003161099855788052
6,8.389994036406279e-05,1.2999866157770157e-05,1.179997343569994e-05,8.199946023523808e-06,0.0003557000309228897,9.600073099136353e-06,5.700043402612209e-06,1.0899966582655907e-05,1.9000144675374031e-06,1.2699980288743973e-05,9.089999366551638e-05,8.929998148232698e-05,0.00025340006686747074,2.089992631226778e-05,1.2200092896819115e-05,0.0009800998959690332
7,8.500006515532732e-05,1.3199984095990658e-05,1.209997572004795e-05,8.699949830770493e-06,0.00035550002939999104,9.600073099136353e-06,5.899928510189056e-06,1.5199999324977398e-05,2.100015990436077e-06,1.27000967040658e-05,9.919994045048952e-05,8.699996396899223e-05,0.00025480007752776146,2.0700041204690933e-05,1.6600009985268116e-05,0.0009983001509681344
8,1.27000967040658e-05,1.279998105019331e-05,1.1600088328123093e-05,8.299946784973145e-06,0.00022909999825060368,9.199953638017178e-06,6.199930794537067e-06,1.109996810555458e-05,2.00001522898674e-06,0.00288609997369349,8.949998300522566e-05,8.379993960261345e-05,0.00014460005331784487,2.510007470846176e-05,1.1999974958598614e-05,0.003544099978171289
9,1.550000160932541e-05,1.6099889762699604e-05,1.9600032828748226e-05,8.299946784973145e-06,0.0004920000210404396,9.600073099136353e-06,5.699926987290382e-06,1.1600088328123093e-05,2.400018274784088e-06,0.0027600999455899,0.0011495000217109919,0.004847700125537813,0.0003279000520706177,3.909994848072529e-05,1.3300101272761822e-05,0.00971840019337833
10,8.300004992634058e-05,1.2200092896819115e-05,1.1600088328123093e-05,8.499948307871819e-06,0.00030939991120249033,9.00006853044033e-06,5.700043402612209e-06,1.1199968867003918e-05,1.6998965293169022e-06,1.2699980288743973e-05,8.809997234493494e-05,8.409994188696146e-05,0.000201700022444129,2.1099927835166454e-05,1.2299977242946625e-05,0.0008722998900339007
11,8.409994188696146e-05,1.2499978765845299e-05,1.1799857020378113e-05,8.200062438845634e-06,0.00029230001382529736,9.299954399466515e-06,5.899928510189056e-06,1.0799849405884743e-05,1.9000144675374031e-06,1.2599979527294636e-05,9.270000737160444e-05,8.459994569420815e-05,0.00019749999046325684,2.019992098212242e-05,1.200009137392044e-05,0.0008563995361328125
12,0.006243400159291923,1.2999982573091984e-05,1.2799864634871483e-05,8.400063961744308e-06,6.6999346017837524e-06,8.999952115118504e-06,0.0019099999917671084,8.739996701478958e-05,1.9000144675374031e-06,1.2800097465515137e-05,1.0899966582655907e-05,1.1399853974580765e-05,1.0100076906383038e-05,2.159993164241314e-05,1.2599863111972809e-05,0.00837199972011149
13,1.2699980288743973e-05,1.3299868442118168e-05,1.1800089851021767e-05,8.699949830770493e-06,0.0002245999639853835,9.299954399466515e-06,6.100046448409557e-06,1.1499854736030102e-05,1.9000144675374031e-06,0.0025864000199362636,9.129999671131372e-05,8.9599983766675e-05,0.00014269992243498564,2.1300045773386955e-05,1.2800097465515137e-05,0.0032439997885376215
14,1.2800097465515137e-05,1.2900098226964474e-05,1.1499971151351929e-05,8.400063961744308e-06,0.0002457000082358718,9.400071576237679e-06,5.700043402612209e-06,1.1100084520876408e-05,1.8998980522155762e-06,0.0026657000416889787,8.949998300522566e-05,8.399994112551212e-05,0.00013930001296103,2.189993392676115e-05,1.2699980288743973e-05,0.003332500229589641
15,8.129992056638002e-05,1.2300093658268452e-05,1.1799857020378113e-05,8.199946023523808e-06,0.00028449995443224907,1.3899989426136017e-05,5.499925464391708e-06,1.0800082236528397e-05,1.800013706088066e-06,1.2299977242946625e-05,9.139999747276306e-05,8.310016710311174e-05,0.00023529992904514074,1.95999164134264e-05,1.1999858543276787e-05,0.000883799628354609
16,8.299993351101875e-05,1.279998105019331e-05,1.2199976481497288e-05,8.199946023523808e-06,0.00029009999707341194,9.299954399466515e-06,5.699926987290382e-06,1.1399970389902592e-05,1.800013706088066e-06,1.2499978765845299e-05,8.739996701478958e-05,8.580007124692202e-05,0.00020569993648678064,2.7399975806474686e-05,1.5699886716902256e-05,0.0008689995156601071
17,1.1699972674250603e-05,9.600003249943256e-05,1.2200092896819115e-05,8.499948307871819e-06,0.004189400002360344,1.00000761449337e-05,5.999929271638393e-06,1.2200092896819115e-05,2.100015990436077e-06,9.139999747276306e-05,0.024214499979279935,0.10565180005505681,0.003591200103983283,2.050003968179226e-05,0.009935500100255013,0.14785300043877214
18,0.011588100111111999,1.2599979527294636e-05,1.2400094419717789e-05,8.70006624609232e-06,0.0008983000880107284,9.399955160915852e-06,5.700043402612209e-06,1.1499971151351929e-05,2.100015990436077e-06,2.1300045773386955e-05,0.001890899962745607,0.008873100043274462,0.0006641000509262085,0.002291899989359081,1.3900105841457844e-05,0.02630400052294135
19,8.349993731826544e-05,1.2999866157770157e-05,1.479999627918005e-05,8.600065484642982e-06,0.00037569995038211346,9.499955922365189e-06,5.900044925510883e-06,1.0899966582655907e-05,1.800013706088066e-06,1.2399978004395962e-05,9.180000051856041e-05,8.649996016174555e-05,0.0002508999314159155,2.1000043489038944e-05,1.2300093658268452e-05,0.000998599804006517
20,0.03492979996372014,1.3299984857439995e-05,1.3600103557109833e-05,9.00006853044033e-06,0.0018161000916734338,9.00006853044033e-06,5.900044925510883e-06,1.470011193305254e-05,2.100015990436077e-06,1.3999990187585354e-05,0.0052964999340474606,0.02676230005454272,0.0013255999656394124,0.006703800056129694,1.3800105080008507e-05,0.07692950055934489
21,8.479994721710682e-05,1.2999982573091984e-05,1.170008908957243e-05,8.400063961744308e-06,0.0002943000290542841,9.200070053339005e-06,5.700043402612209e-06,1.1499971151351929e-05,1.7998972907662392e-06,1.300009898841381e-05,8.839997462928295e-05,9.010010398924351e-05,0.00020140002015978098,2.0600156858563423e-05,1.2400094419717789e-05,0.0008663005428388715
22,8.240004535764456e-05,1.2999866157770157e-05,1.1199968867003918e-05,8.400063961744308e-06,0.00022629997693002224,9.199953638017178e-06,5.600042641162872e-06,1.089985016733408e-05,1.700012944638729e-06,1.2100092135369778e-05,8.719996549189091e-05,8.22999281808734e-05,0.00014560006093233824,2.010003663599491e-05,1.1999858543276787e-05,0.000727999722585082
23,8.429994340986013e-05,1.3199984095990658e-05,1.2100092135369778e-05,8.199946023523808e-06,0.00030149996746331453,9.09995287656784e-06,5.599926225841045e-06,1.0800082236528397e-05,2.200016751885414e-06,1.2400094419717789e-05,9.61000332608819e-05,8.400017395615578e-05,0.00019179994706064463,2.00001522898674e-05,1.2099859304726124e-05,0.0008634001715108752
24,9.300000965595245e-05,1.309998333454132e-05,1.1499971151351929e-05,8.499948307871819e-06,0.0002949000336229801,9.500072337687016e-06,5.699926987290382e-06,1.100008375942707e-05,1.9000144675374031e-06,1.2399861589074135e-05,8.819997310638428e-05,8.480006363242865e-05,0.0001973999897018075,2.089992631226778e-05,1.2100092135369778e-05,0.0008648999501019716
