class_name,class_original_classification,classification_final_list
Anulled_Tender,role,is
Completed_Tender,role,is
Concession_Tender,subkind,is
Construction_Tender,subkind,is
Disposal_Tender,subkind,is
Empty_Tender,role,is
Failed_Tender,role,is
Lease_Tender,subkind,is
Permission_Tender,subkind,is
Permission_Tender_in_Auction,role,is
Permission_Tender_in_External_Phase,role,is
Publication_Context,rolemixin,is
Purchase_Tender,subkind,is
Service_Tender,subkind,is
Suspended_Tender,role,is
Tended_With_Winner,role,is
Tender,kind,is
Tender_Without_Winner,role,is
Tender_in_Call_for_Tender,role,is
Tender_in_External_Phase,role,can
Tender_in_Homologation_Process,role,is
Tender_in_Internal_Phase,role,is
Tender_in_Proposal_Reviewing,role,is
Tender_in_Qualification,role,is
