execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,7.619988173246384e-05,1.0599847882986069e-05,0.00026960019022226334,6.100162863731384e-06,0.00024720001965761185,6.600283086299896e-06,4.999805241823196e-06,9.499955922365189e-06,1.0200310498476028e-05,1.0600313544273376e-05,8.359970524907112e-05,7.659988477826118e-05,0.00017930008471012115,1.3899989426136017e-05,9.900424629449844e-06,0.0010149008594453335
2,9.29972156882286e-06,1.0800547897815704e-05,9.200070053339005e-06,8.499715477228165e-06,5.200039595365524e-06,5.7998113334178925e-06,0.0007788999937474728,7.550045847892761e-05,9.499955922365189e-06,7.360009476542473e-05,9.200070053339005e-06,9.09995287656784e-06,4.8996880650520325e-06,1.2699514627456665e-05,9.599607437849045e-06,0.001031799241900444
3,7.699988782405853e-05,1.0299962013959885e-05,9.499955922365189e-06,6.1998143792152405e-06,0.0003470997326076031,6.800051778554916e-06,4.600267857313156e-06,9.29972156882286e-06,1.00000761449337e-05,1.0299962013959885e-05,8.059991523623466e-05,7.490022107958794e-05,0.0002283998765051365,1.29002146422863e-05,1.0099727660417557e-05,0.0008979993872344494
4,7.490022107958794e-05,1.0800082236528397e-05,0.00026530027389526367,6.00004568696022e-06,0.0002546999603509903,6.800051778554916e-06,4.90015372633934e-06,9.200070053339005e-06,1.0299962013959885e-05,1.019984483718872e-05,7.869955152273178e-05,7.890025153756142e-05,0.0001781000755727291,1.3799872249364853e-05,1.0099727660417557e-05,0.001012700144201517
5,1.039961352944374e-05,0.004133600275963545,9.80030745267868e-06,5.7998113334178925e-06,5.7998113334178925e-06,6.100162863731384e-06,0.0007858001627027988,7.649976760149002e-05,0.00016150018200278282,0.002857599873095751,7.830047979950905e-05,7.460033521056175e-05,4.90015372633934e-06,1.2800097465515137e-05,9.329989552497864e-05,0.00831680092960596
6,1.0400544852018356e-05,0.004200300667434931,1.0400079190731049e-05,6.0996972024440765e-06,0.001278699841350317,6.9998204708099365e-06,0.0007743998430669308,7.800012826919556e-05,0.0001521003432571888,0.0028258999809622765,0.005720599554479122,0.024843499530106783,0.0011343001388013363,1.3300217688083649e-05,0.005000700242817402,0.04605570062994957
7,7.349997758865356e-05,1.0099727660417557e-05,8.999835699796677e-06,6.100162863731384e-06,0.0003060000017285347,8.400063961744308e-06,4.7995708882808685e-06,8.899718523025513e-06,9.80030745267868e-06,9.799841791391373e-06,7.729977369308472e-05,7.71000050008297e-05,0.0002221004106104374,1.5200115740299225e-05,1.0100193321704865e-05,0.0008481997065246105
8,9.999610483646393e-06,0.004118899814784527,9.499955922365189e-06,5.5995769798755646e-06,5.2996911108493805e-06,5.6996941566467285e-06,0.0007480001077055931,8.150003850460052e-05,0.0001476001925766468,0.002768799662590027,7.600011304020882e-05,7.579941302537918e-05,4.999805241823196e-06,1.2299977242946625e-05,9.029963985085487e-05,0.00816029729321599
9,0.015949400141835213,1.0699965059757233e-05,0.00043220026418566704,6.100162863731384e-06,0.0010627997107803822,0.00029540015384554863,4.699919372797012e-06,9.300187230110168e-06,3.369990736246109e-05,1.109996810555458e-05,0.0025786003097891808,0.011916799936443567,0.0007801000028848648,1.910002902150154e-05,1.1000316590070724e-05,0.03312100097537041
10,7.240008562803268e-05,1.0100193321704865e-05,9.400304406881332e-06,6.00004568696022e-06,0.00031170016154646873,6.400048732757568e-06,5.000270903110504e-06,9.200070053339005e-06,9.700190275907516e-06,1.00000761449337e-05,7.730023935437202e-05,7.359962910413742e-05,0.00021980004385113716,1.2500211596488953e-05,1.0099727660417557e-05,0.0008432012982666492
