execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,8.420001540798694e-05,0.008085999987088144,0.006626200018217787,1.7699989257380366e-05,0.036715900016133673,0.0031199000077322125,1.8800012185238302e-05,1.8600010662339628e-05,1.7999991541728377e-05,2.5899993488565087e-05,1.1099997209385037e-05,8.899995009414852e-06,0.007287999993423,0.0015690000000176951,1.4500008546747267e-05,0.0636227000359213
2,1.0000003385357559e-05,7.950000872369856e-05,9.399998816661537e-06,9.100011084228754e-06,7.350000669248402e-05,9.60000033956021e-06,7.140000525396317e-05,9.100011084228754e-06,0.0002476999943610281,1.2699994840659201e-05,5.699999746866524e-06,4.3000036384910345e-06,0.0002514000079827383,0.00017179999849759042,6.300004315562546e-06,0.0009715000487631187
3,9.17000143090263e-05,0.01107279998541344,0.0071441999898524955,1.8399994587525725e-05,0.03977470000972971,9.070000669453293e-05,0.013053399990894832,2.1599989850074053e-05,0.0005928999889874831,3.130000550299883e-05,1.1500000255182385e-05,9.2999980552122e-06,0.011802300010458566,0.001654799998505041,0.0003921999887097627,0.08576179997180589
4,8.489997708238661e-05,0.008059299987507984,0.006764000005205162,1.7499973182566464e-05,0.03488010002183728,8.959999831859022e-05,0.00014380001812241971,1.7999991541728377e-05,0.0005252999981166795,2.3900007363408804e-05,1.0900010238401592e-05,8.800008799880743e-06,0.010687099987990223,0.0013502999936463311,1.1800002539530396e-05,0.06267529998149257
5,9.349999891128391e-05,0.008279299960122444,0.006892499994137324,1.8499980797059834e-05,0.036724500023410656,0.0032915000047069043,1.9700019038282335e-05,1.890001294668764e-05,1.8199978512711823e-05,2.4500011932104826e-05,1.0899995686486363e-05,9.099981980398297e-06,0.007952300002216361,0.0013956000038888305,1.4000004739500582e-05,0.06476299997302704
6,9.940000018104911e-05,0.008320399996591732,0.00678800001333002,9.299983503296971e-06,0.03827480001200456,7.37000082153827e-05,8.999995770864189e-06,9.300012607127428e-06,8.700008038431406e-06,1.4099990949034691e-05,5.299996701069176e-06,4.5000051613897085e-06,0.0015305999986594543,0.0012381000124150887,6.200003554113209e-06,0.056391400037682615
7,8.970001363195479e-05,0.008461199977318756,0.006918099999893457,1.820000761654228e-05,0.03563989998656325,8.480000542476773e-05,0.00014640000881627202,1.8600025214254856e-05,1.8000020645558834e-05,2.3300002794712782e-05,1.1099997209385037e-05,8.699993486516178e-06,0.011248399983742274,0.0013616999931400642,1.2199976481497288e-05,0.06406029999197926
8,9.499999578110874e-06,7.139999070204794e-05,9.100011084228754e-06,8.500006515532732e-06,7.190000906120986e-05,9.200011845678091e-06,6.819999543949962e-05,8.800008799880743e-06,0.00023550000332761556,1.200000406242907e-05,5.49999822396785e-06,4.2000028770416975e-06,0.0002744000084931031,0.0001618999958736822,6.200003554113209e-06,0.0009563000494381413
9,8.38999985717237e-05,0.008541199989849702,0.007155700019211508,1.750000228639692e-05,0.03695990001142491,0.00011839999933727086,0.00016820001474115998,1.9100014469586313e-05,0.0006465999904321507,2.4999986635521054e-05,1.069999416358769e-05,2.680000034160912e-05,0.010913299993262626,0.0014560999989043921,1.2799995602108538e-05,0.06615520000923425
10,8.72999953571707e-05,0.008398799982387573,0.007068400009302422,1.7400001524947584e-05,0.03547650000837166,0.003012099987245165,1.9300030544400215e-05,1.8600010662339628e-05,1.7700003809295595e-05,2.300000051036477e-05,1.0499992640689015e-05,8.90000956133008e-06,0.007499600018491037,0.001302599994232878,1.2200005585327744e-05,0.0629729000502266
11,8.549999620299786e-05,0.008177599986083806,0.007076300011249259,1.789999078027904e-05,0.03568459997768514,9.079997835215181e-05,0.00014199998986441642,1.8499980797059834e-05,1.7399986973032355e-05,2.3800006601959467e-05,1.1199997970834374e-05,9.000010322779417e-06,0.011641399993095547,0.0013247999886516482,1.379998866468668e-05,0.0643345998832956
