execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.0100076906383038e-05,9.159988258033991e-05,1.0200077667832375e-05,9.600073099136353e-06,7.98999099060893e-05,1.0100076906383038e-05,7.569987792521715e-05,1.600012183189392e-06,0.00027650000993162394,1.3400102034211159e-05,6.200047209858894e-06,4.799920134246349e-06,0.00025699997786432505,0.00017749995458871126,6.400048732757568e-06,0.0010306000476703048
2,9.999959729611874e-06,9.300070814788342e-06,9.600073099136353e-06,8.0699915997684e-05,8.900067768990993e-06,7.469998672604561e-05,9.09995287656784e-06,1.700012944638729e-06,9.500072337687016e-06,1.2899981811642647e-05,5.699926987290382e-06,0.0007906999671831727,5.00003807246685e-06,4.699919372797012e-06,9.100069291889668e-06,0.00104160001501441
3,9.900075383484364e-06,7.670000195503235e-05,9.799841791391373e-06,9.00006853044033e-06,7.449998520314693e-05,9.599956683814526e-06,7.459998596459627e-05,1.700012944638729e-06,9.500072337687016e-06,1.2599863111972809e-05,5.899928510189056e-06,4.699919372797012e-06,0.00033220008481293917,0.0002264000941067934,6.400048732757568e-06,0.0008634999394416809
4,1.0299962013959885e-05,8.289993274956942e-05,1.00000761449337e-05,9.09995287656784e-06,7.46001023799181e-05,9.999959729611874e-06,7.399998139590025e-05,1.700012944638729e-06,0.0002717999741435051,1.379998866468668e-05,5.999929271638393e-06,4.600035026669502e-06,0.00024279998615384102,0.0001748999347910285,6.400048732757568e-06,0.0009928998770192266
5,0.004253200022503734,7.979990914463997e-05,0.00010489998385310173,8.040003012865782e-05,8.010002784430981e-05,0.0029377000173553824,1.0299962013959885e-05,2.100015990436077e-06,1.00000761449337e-05,1.3899989426136017e-05,5.900044925510883e-06,0.0008262000046670437,5.600042641162872e-06,5.100038833916187e-06,6.100046448409557e-06,0.008421300211921334
6,0.0043904000194743276,0.0060208000941202044,0.005281400051899254,8.239992894232273e-05,0.027544000069610775,0.00293960003182292,1.4499993994832039e-05,4.899920895695686e-06,1.0499963536858559e-05,1.4099990949034691e-05,6.500049494206905e-06,0.0008087999885901809,0.0013304000021889806,0.0011627000058069825,7.0999376475811005e-06,0.049618100048974156
7,1.0399846360087395e-05,8.349993731826544e-05,1.0399962775409222e-05,9.199953638017178e-06,7.750000804662704e-05,1.009996049106121e-05,7.670000195503235e-05,1.700012944638729e-06,9.600073099136353e-06,1.309998333454132e-05,6.00004568696022e-06,4.899920895695686e-06,0.00033820001408457756,0.00023200002033263445,6.900052540004253e-06,0.0008901997935026884
8,0.004223399912007153,8.029991295188665e-05,9.979994501918554e-05,7.690000347793102e-05,7.499998901039362e-05,0.002853899961337447,1.0499963536858559e-05,1.800013706088066e-06,1.00000761449337e-05,1.3399869203567505e-05,5.999929271638393e-06,0.0007944999961182475,5.700043402612209e-06,4.800036549568176e-06,5.900044925510883e-06,0.008261899696663022
9,1.0899966582655907e-05,0.002575499936938286,1.309998333454132e-05,9.800074622035027e-06,0.012091599986888468,1.1999974958598614e-05,0.016244699945673347,2.00001522898674e-06,0.0002889001043513417,1.4599994756281376e-05,6.500049494206905e-06,5.00003807246685e-06,0.0010934999445453286,0.0008035999489948153,0.00030369998421519995,0.03347539994865656
10,1.0399962775409222e-05,7.889990229159594e-05,9.900075383484364e-06,9.099836461246014e-06,7.850013207644224e-05,1.0399846360087395e-05,7.38000962883234e-05,1.600012183189392e-06,9.499839507043362e-06,1.3100099749863148e-05,6.400048732757568e-06,4.900037311017513e-06,0.0003179999766871333,0.00022549997083842754,6.600050255656242e-06,0.0008565998869016767
