execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.3399403542280197e-05,1.2599863111972809e-05,1.2100208550691605e-05,7.6000578701496124e-06,0.000241799745708704,8.599832653999329e-06,6.1998143792152405e-06,1.1399853974580765e-05,2.300366759300232e-06,0.0030014999210834503,0.00010230019688606262,9.300000965595245e-05,0.000161800067871809,1.7600134015083313e-05,1.2200325727462769e-05,0.0037043998017907143
2,9.289942681789398e-05,1.270044595003128e-05,0.0003386000171303749,1.400010660290718e-05,0.0004805000498890877,8.800067007541656e-06,1.4099758118391037e-05,1.109996810555458e-05,2.400018274784088e-06,1.2599863111972809e-05,9.799934923648834e-05,9.84002836048603e-05,0.00022440031170845032,1.6499310731887817e-05,1.2499745935201645e-05,0.0014374987222254276
3,0.013714400120079517,1.3200100511312485e-05,0.0004196995869278908,8.00006091594696e-06,0.0008340999484062195,0.00025449972599744797,6.100162863731384e-06,1.1899974197149277e-05,2.8996728360652924e-06,1.490022987127304e-05,0.0023888000287115574,0.010444500017911196,0.0005779997445642948,1.8800143152475357e-05,1.3799872249364853e-05,0.028723599389195442
4,9.29003581404686e-05,1.2699514627456665e-05,0.0004169996827840805,7.799826562404633e-06,0.0002422998659312725,8.299946784973145e-06,9.700190275907516e-06,1.1500436812639236e-05,2.600252628326416e-06,1.2500211596488953e-05,9.929994121193886e-05,9.900005534291267e-05,0.00016239983960986137,1.6300007700920105e-05,1.2599863111972809e-05,0.001206899993121624
5,1.2899748980998993e-05,1.2800563126802444e-05,1.5799887478351593e-05,7.599592208862305e-06,0.00025320006534457207,8.999835699796677e-06,6.400048732757568e-06,1.529976725578308e-05,2.3995526134967804e-06,0.0030546002089977264,9.96999442577362e-05,9.429967030882835e-05,0.0001610000617802143,1.7600134015083313e-05,1.2400094419717789e-05,0.003774999175220728
6,1.1699739843606949e-05,0.00010199984535574913,1.200009137392044e-05,1.090019941329956e-05,0.0018603997305035591,9.199604392051697e-06,5.899928510189056e-06,1.2800097465515137e-05,2.500135451555252e-06,0.00010030018165707588,0.011181600391864777,0.05605359980836511,0.0015638000331819057,1.6099773347377777e-05,0.009320700075477362,0.08026349963620305
7,9.270058944821358e-05,1.2800097465515137e-05,1.1700205504894257e-05,7.699709385633469e-06,0.00027980003505945206,8.00006091594696e-06,5.7998113334178925e-06,1.109996810555458e-05,2.400018274784088e-06,1.1799857020378113e-05,9.609991684556007e-05,9.720027446746826e-05,0.00015740003436803818,1.5799887478351593e-05,1.2099742889404297e-05,0.0008224002085626125
8,9.059999138116837e-05,1.2099742889404297e-05,0.0003226003609597683,7.199589163064957e-06,0.00030090007930994034,8.299946784973145e-06,5.600042641162872e-06,1.0799616575241089e-05,2.200249582529068e-06,1.1899974197149277e-05,9.399978443980217e-05,9.169941768050194e-05,0.00021009985357522964,1.5999656170606613e-05,1.2099742889404297e-05,0.0011960980482399464
9,9.070010855793953e-05,1.219986006617546e-05,0.00038429955020546913,7.699709385633469e-06,0.00023610005155205727,7.700175046920776e-06,5.600042641162872e-06,1.0699965059757233e-05,2.100132405757904e-06,1.1999625712633133e-05,9.999983012676239e-05,9.13003459572792e-05,0.00015510013327002525,1.5700235962867737e-05,1.2100674211978912e-05,0.0011433004401624203
10,1.1300668120384216e-05,1.5900004655122757e-05,1.0999850928783417e-05,7.000286132097244e-06,0.00023079989477992058,7.899943739175797e-06,5.499925464391708e-06,1.0500196367502213e-05,2.00001522898674e-06,0.0027914000675082207,9.379955008625984e-05,8.689984679222107e-05,0.0001522996462881565,1.5399884432554245e-05,1.1399853974580765e-05,0.0034530996344983578
11,8.760020136833191e-05,1.1900439858436584e-05,1.0999850928783417e-05,7.300172001123428e-06,0.0002548997290432453,7.899943739175797e-06,5.600042641162872e-06,1.0599382221698761e-05,2.299901098012924e-06,1.1500436812639236e-05,9.109964594244957e-05,8.819997310638428e-05,0.00015090033411979675,1.4800112694501877e-05,1.4800112694501877e-05,0.0007704002782702446
