class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Action,event,other,True,False,False,0,4,4
Agent,category,category,False,False,True,2,1,8
Belief,mode,kind,True,False,False,0,4,4
Benefit,subkind,subkind,False,True,False,2,0,9
Choice,event,other,False,False,True,1,2,4
Cognitive_Bias,mode,kind,False,False,True,1,1,8
Consequence,role,role,False,True,False,1,0,1
Criterion,role,role,False,True,False,1,0,1
Decision,role,role,False,True,False,2,0,8
Decision_Resulting_Action,event,other,False,True,False,1,0,4
Deliberation,event,other,False,True,False,2,0,4
Deprecated_Bearer,rolemixin,rolemixin,False,True,False,1,0,4
Desire,mode,kind,True,False,False,0,1,8
Gain,subkind,subkind,False,True,False,4,0,9
Intention,mode,kind,False,False,True,1,1,8
Intrinsic_Moment_Type,type,other,True,False,False,0,1,1
Intuition,mode,kind,False,False,True,1,2,8
Intuitive_Choice,event,other,False,True,False,2,0,4
Loss,subkind,subkind,False,True,False,4,0,9
Loss_Aversion,mode,kind,False,True,False,3,0,8
Mental_Moment,category,category,True,False,False,0,7,8
PVA_Component,mode,kind,False,True,False,1,0,2
Preference,mode,kind,False,False,True,1,2,4
Preferred_Bearer,rolemixin,rolemixin,False,False,True,1,2,4
Psychological_Preferred_Bearer,rolemixin,rolemixin,False,True,False,2,0,4
Psychological_Value,quality,kind,False,False,True,1,2,9
Psychological_Value_Ascription_(PVA),mode,kind,False,True,False,1,0,2
Psychological_Value_Component,quality,kind,False,False,True,1,2,9
RVA_Component,mode,kind,False,True,False,1,0,2
Rational_Preferred_Bearer,rolemixin,rolemixin,False,True,False,2,0,4
Rational_Value,quality,kind,False,True,False,1,0,9
Rational_Value_Ascription_(RVA),mode,kind,False,True,False,1,0,2
Rational_Value_Component,quality,kind,False,False,True,1,2,9
Reference_Point,mode,kind,False,True,False,1,0,4
Risk_Averse_Preference,mode,kind,False,True,False,2,0,4
Risk_Seeking_Preference,mode,kind,False,True,False,2,0,4
Sacrifice,subkind,subkind,False,True,False,2,0,9
Situation,kind,kind,True,False,False,0,1,1
VA_Component,mode,kind,True,False,False,0,2,2
Value,quality,kind,True,False,False,0,4,9
ValueBeholder,rolemixin,rolemixin,False,True,False,3,0,8
Value_Ascription___(VA),mode,kind,True,False,False,0,2,2
Value_Bearer,rolemixin,rolemixin,True,False,False,0,4,4
Value_Component,quality,kind,True,False,False,0,6,9
