class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Benefit,subkind,subkind,False,True,False,2,0
Gain,subkind,subkind,False,True,False,4,0
Loss,subkind,subkind,False,True,False,4,0
Psychological_Value,quality,kind,False,False,True,1,2
Psychological_Value_Component,quality,kind,False,False,True,1,2
Rational_Value,quality,kind,False,True,False,1,0
Rational_Value_Component,quality,kind,False,False,True,1,2
Sacrifice,subkind,subkind,False,True,False,2,0
Value,quality,kind,True,False,False,0,4
Value_Component,quality,kind,True,False,False,0,6
