execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0500196367502213e-05,1.3299752026796341e-05,1.039961352944374e-05,6.299931555986404e-06,0.000264899805188179,6.899703294038773e-06,5.000270903110504e-06,9.699724614620209e-06,1.0999850928783417e-05,0.00470169959589839,8.330028504133224e-05,7.670000195503235e-05,0.00018109986558556557,1.4400575309991837e-05,1.0899733752012253e-05,0.005406098905950785
2,1.0400079190731049e-05,1.0500196367502213e-05,9.499955922365189e-06,8.599832653999329e-06,0.0003563002683222294,6.4997002482414246e-06,4.999805241823196e-06,9.000301361083984e-06,1.0299962013959885e-05,0.008743899874389172,8.120015263557434e-05,7.520010694861412e-05,0.00026830006390810013,1.3899989426136017e-05,1.0099727660417557e-05,0.00961870001628995
3,1.1500436812639236e-05,1.3599637895822525e-05,1.2600328773260117e-05,6.299931555986404e-06,0.00036800000816583633,8.200295269489288e-06,5.09992241859436e-06,9.199604392051697e-06,1.0599847882986069e-05,0.009435400366783142,7.980037480592728e-05,7.539987564086914e-05,0.0002828999422490597,1.619989052414894e-05,1.0299496352672577e-05,0.010345099959522486
4,1.0699965059757233e-05,0.004289599601179361,1.0299962013959885e-05,6.500165909528732e-06,0.0006037000566720963,6.9998204708099365e-06,0.0008124997839331627,8.25999304652214e-05,0.0001472998410463333,0.0029251999221742153,0.0017516999505460262,0.008288799785077572,0.0005348999984562397,1.380033791065216e-05,0.0066442000679671764,0.026128799188882113
5,1.1200085282325745e-05,0.004195299930870533,1.2400560081005096e-05,6.400048732757568e-06,0.0005834000185132027,6.800051778554916e-06,0.0008239001035690308,7.870001718401909e-05,0.00016189971938729286,0.0030627003870904446,0.0016866996884346008,0.008104099426418543,0.0005244999192655087,1.4299992471933365e-05,0.006467899773269892,0.025740199722349644
6,1.0599847882986069e-05,0.004397599492222071,1.0299962013959885e-05,6.200280040502548e-06,6.400048732757568e-06,6.1998143792152405e-06,0.000811500009149313,0.00010499963536858559,0.00015529990196228027,0.002953500021249056,8.189957588911057e-05,8.030002936720848e-05,5.09992241859436e-06,1.3699755072593689e-05,9.870016947388649e-05,0.00874229846522212
7,1.090019941329956e-05,0.004159900359809399,1.0599847882986069e-05,6.1998143792152405e-06,0.0003864997997879982,7.000286132097244e-06,0.0007889000698924065,8.159969002008438e-05,0.00014030002057552338,0.002813300583511591,0.0016596997156739235,0.008011400233954191,0.00033190008252859116,1.3699755072593689e-05,0.003370700404047966,0.021792600862681866
8,1.0100193321704865e-05,1.0600313544273376e-05,9.499955922365189e-06,6.400048732757568e-06,0.00024540023878216743,6.500165909528732e-06,4.90015372633934e-06,9.29972156882286e-06,1.3499986380338669e-05,0.004505000077188015,7.699988782405853e-05,7.379939779639244e-05,0.00018039997667074203,1.4100223779678345e-05,1.3000331819057465e-05,0.005179500672966242
9,9.699724614620209e-06,8.5500068962574e-05,9.80030745267868e-06,6.100162863731384e-06,0.0008577997796237469,6.800051778554916e-06,4.699919372797012e-06,1.0100193321704865e-05,1.0200310498476028e-05,8.009979501366615e-05,0.003949000034481287,0.01669220020994544,0.000752599909901619,1.3300217688083649e-05,0.0018986999057233334,0.024386600591242313
10,9.699724614620209e-06,8.490029722452164e-05,1.4699529856443405e-05,6.299931555986404e-06,0.0012505999766290188,7.3998235166072845e-06,4.90015372633934e-06,1.0499730706214905e-05,1.0600313544273376e-05,8.059991523623466e-05,0.006213999819010496,0.02687250031158328,0.0010783998295664787,1.71000137925148e-05,0.0019278996624052525,0.03759009903296828
