execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,9.900002623908222e-06,7.560000813100487e-05,9.199997293762863e-06,8.500006515532732e-06,9.729999874252826e-05,0.004425899984198622,9.700015652924776e-06,9.499985026195645e-06,9.100011084228754e-06,1.239999255631119e-05,5.699999746866524e-06,4.5000051613897085e-06,0.0002447000006213784,0.00017290000687353313,6.100002792663872e-06,0.005101000017020851
2,1.1399999493733048e-05,8.9599983766675e-05,1.09999964479357e-05,9.700001101009548e-06,8.429998706560582e-05,0.010689199989428744,1.1599986464716494e-05,1.1000010999850929e-05,1.1000010999850929e-05,1.5600002370774746e-05,7.299997378140688e-06,4.999994416721165e-06,0.00043759999971371144,0.00041710000368766487,8.300004992634058e-06,0.011819699968327768
3,9.599985787644982e-06,8.460000390186906e-05,9.69998654909432e-06,8.500006515532732e-06,7.249999907799065e-05,0.008908400006475858,9.800016414374113e-06,9.69998654909432e-06,8.99998121894896e-06,1.3500000932253897e-05,5.699999746866524e-06,4.49999060947448e-06,0.0003394000086700544,0.0002928000030806288,6.000002031214535e-06,0.0097836999775609
4,0.003927600002498366,0.0015715000045020133,0.00607309999759309,7.769999501761049e-05,0.007542999999714084,0.0026628999767126516,9.100011084228754e-06,0.0001550000160932541,9.200011845678091e-06,1.2199991033412516e-05,5.599998985417187e-06,0.0007364000048255548,0.0005415000050561503,0.00048669999523553997,6.100002792663872e-06,0.023817600012989715
5,0.004217199995764531,0.0017691999964881688,0.006274900020798668,9.310001041740179e-05,0.008072099997662008,0.0028169000142952427,1.030000566970557e-05,0.0001424999936716631,9.700001101009548e-06,1.2100004823878407e-05,5.900001269765198e-06,0.0008403000101679936,0.0005548999906750396,0.0005332000000635162,6.399990525096655e-06,0.02535870003339369
6,0.0050002000061795115,9.06000059330836e-05,9.09000082174316e-05,7.270000060088933e-05,7.759999425616115e-05,0.002985999992233701,9.700001101009548e-06,0.00014549998741131276,9.2999980552122e-06,1.2499993317760527e-05,5.800000508315861e-06,0.0008017999934963882,5.399997462518513e-06,4.3000036384910345e-06,5.49999822396785e-06,0.009317799980635755
7,0.0039757999911671504,0.0015684000100009143,0.003202200008672662,7.270000060088933e-05,0.007437100008246489,0.0026344999932916835,9.399998816661537e-06,0.00013329999637790024,8.999995770864189e-06,1.2199976481497288e-05,6.300004315562546e-06,0.0007361000025412068,0.00036079999699722975,0.00031629999284632504,6.000002031214535e-06,0.02048009997815825
8,9.600014891475439e-06,7.470000127796084e-05,9.099981980398297e-06,8.099988917820156e-06,7.339999137911946e-05,0.004465900012291968,9.700001101009548e-06,8.999995770864189e-06,8.700008038431406e-06,1.200000406242907e-05,5.399997462518513e-06,4.1000021155923605e-06,0.00023320000036619604,0.00016140000661835074,5.699999746866524e-06,0.0050900000060210004
9,7.530000584665686e-05,0.0038111000030767173,0.0017548000032547861,9.2999980552122e-06,0.015609399997629225,7.619999814778566e-05,9.099996532313526e-06,8.999995770864189e-06,8.799994247965515e-06,1.1600001016631722e-05,5.49999822396785e-06,4.6000059228390455e-06,0.0008629999938420951,0.0007078000053297728,6.200003554113209e-06,0.022961700000450946
10,7.770000956952572e-05,0.005825899992487393,0.001912599997012876,9.800001862458885e-06,0.023902800006908365,7.51999905332923e-05,8.90000956133008e-06,9.100011084228754e-06,8.999995770864189e-06,1.2300006346777081e-05,5.599998985417187e-06,4.9000082071870565e-06,0.00135420000879094,0.0011700000031851232,9.700001101009548e-06,0.03438770004140679
