execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,8.410000009462237e-05,0.003038999973796308,0.003514000040013343,1.0599964298307896e-05,0.01267209998331964,8.040003012865782e-05,9.899958968162537e-06,1.0599964298307896e-05,9.999959729611874e-06,1.4099990949034691e-05,7.300055585801601e-06,4.999979864805937e-06,0.0006823000148870051,0.0006015000399202108,6.999995093792677e-06,0.020747899950947613
2,1.0499963536858559e-05,7.589999586343765e-05,9.700015652924776e-06,8.800008799880743e-06,7.389998063445091e-05,9.899958968162537e-06,7.349997758865356e-05,9.300012607127428e-06,8.90000956133008e-06,1.2699980288743973e-05,6.999995093792677e-06,4.599976819008589e-06,0.0003758000093512237,0.0002666999935172498,6.699992809444666e-06,0.0009538998710922897
3,1.1300027836114168e-05,0.0011185999610461295,1.109996810555458e-05,9.7999582067132e-06,0.004224899981636554,1.1299969628453255e-05,0.005609700048808008,1.209997572004795e-05,1.0199961252510548e-05,0.0011285999789834023,7.399998139590025e-06,4.900037311017513e-06,0.0005876999930478632,0.00043620000360533595,6.699992809444666e-06,0.01319049985613674
4,1.0499963536858559e-05,7.770000956952572e-05,9.699957445263863e-06,9.499955922365189e-06,7.960002403706312e-05,1.0199961252510548e-05,7.780001033097506e-05,9.7999582067132e-06,9.399955160915852e-06,1.279998105019331e-05,6.800051778554916e-06,4.599976819008589e-06,0.0002579999854788184,0.00017899996601045132,6.89999433234334e-06,0.000762299750931561
5,1.0300020221620798e-05,9.400071576237679e-06,9.599956683814526e-06,7.529999129474163e-05,9.300012607127428e-06,1.0000017937272787e-05,0.010688700072932988,1.090002479031682e-05,9.800016414374113e-06,1.3800046872347593e-05,7.099995855242014e-06,0.0008706999942660332,5.299982149153948e-06,4.900037311017513e-06,6.199989002197981e-06,0.011741300229914486
6,1.1999974958598614e-05,1.8599967006593943e-05,1.829996472224593e-05,9.059999138116837e-05,9.599956683814526e-06,1.0199961252510548e-05,0.022382199997082353,1.2200034689158201e-05,9.900075383484364e-06,1.3899989426136017e-05,7.199996616691351e-06,0.0008650000090710819,5.500041879713535e-06,4.800036549568176e-06,5.89998671784997e-06,0.023465899983420968
7,8.509994950145483e-05,0.002988699998240918,0.0034767999895848334,9.899958968162537e-06,0.0125594999990426,8.899997919797897e-05,9.999959729611874e-06,1.0000017937272787e-05,9.800016414374113e-06,1.3999990187585354e-05,6.800051778554916e-06,4.799978341907263e-06,0.0006858999840915203,0.0005884999991394579,6.699992809444666e-06,0.020545499864965677
8,1.0200019460171461e-05,7.920002099126577e-05,9.600014891475439e-06,9.000010322779417e-06,7.269997149705887e-05,9.800016414374113e-06,7.660000119358301e-05,9.600073099136353e-06,9.70007386058569e-06,1.2900098226964474e-05,7.399998139590025e-06,4.600035026669502e-06,0.0003625000244937837,0.0002666999935172498,6.600050255656242e-06,0.0009471004013903439
9,1.0599964298307896e-05,0.0010505999671295285,1.1200027074664831e-05,9.70007386058569e-06,0.0046317000524140894,1.1599971912801266e-05,0.005279999983031303,1.1400028597563505e-05,9.90001717582345e-06,0.0011011000606231391,7.099995855242014e-06,4.8999791033566e-06,0.0005814000032842159,0.00042339996434748173,6.599992047995329e-06,0.013151200080756098
10,9.7999582067132e-06,7.449998520314693e-05,1.0100018698722124e-05,9.09995287656784e-06,7.389998063445091e-05,9.800074622035027e-06,7.27999722585082e-05,9.7999582067132e-06,9.000010322779417e-06,1.2999982573091984e-05,6.999995093792677e-06,4.500034265220165e-06,0.00025480001932010055,0.00017069996101781726,6.799993570894003e-06,0.0007355998968705535
11,1.0200019460171461e-05,8.90000956133008e-06,9.699957445263863e-06,7.350003579631448e-05,9.200070053339005e-06,9.599956683814526e-06,0.010617499996442348,1.0599964298307896e-05,9.600014891475439e-06,1.3899989426136017e-05,6.599992047995329e-06,0.0008515000226907432,5.199981387704611e-06,4.699977580457926e-06,5.699985194951296e-06,0.011646399972960353
