class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Concept,kind,kind,True,False,False,0,3,3
Concept_Defining_Recommendation,subkind,subkind,False,True,False,1,0,8
Concept_Referencing_Recommendation,subkind,subkind,False,True,False,1,0,8
Correct_Concept,subkind,subkind,False,True,False,1,0,3
Indirectly_Recommendation_Referenced_Recomendation,subkind,subkind,False,True,False,2,0,8
Indirectly_Recommendation_Referencing_Recomendation,subkind,subkind,False,True,False,2,0,8
Possibly_Problematic_Recommendation,subkind,subkind,False,True,False,2,0,8
Problematic_Concetp,subkind,subkind,False,True,False,1,0,3
Problematic_Recommendation,subkind,subkind,False,True,False,1,0,8
Recommendation_Referenced_Recomendation,subkind,subkind,False,False,True,1,1,8
Recommendation_Referencing_Recomendation,subkind,subkind,False,False,True,1,2,8
Recommendation_Version,kind,kind,True,False,False,0,8,8
Referenced_Concept,subkind,subkind,False,True,False,1,0,3
