class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Old_Age_Pensioner,role,role,False,True,False,1,0,13
In_requalification,phase,phase,False,True,False,3,0,9
Student,role,role,False,False,True,1,6,13
Pupil,phase,phase,False,True,False,2,0,9
Citizen,subkind,subkind,False,False,True,1,7,9
On_an_Exchange_Stay,phase,phase,False,True,False,2,0,13
Seeking_for_employment,phase,phase,False,True,False,3,0,9
Parent,role,role,False,True,False,1,0,13
Doctoral_Degree_Student,phase,phase,False,True,False,2,0,13
Enterpreneur,role,role,False,True,False,1,0,13
Unemployed,phase,phase,False,False,True,2,2,9
Company_Pensioner,role,role,False,True,False,1,0,13
Study_Interrupted,phase,phase,False,True,False,2,0,13
Employed,phase,phase,False,True,False,2,0,9
PA_Client,kind,kind,True,False,False,0,9,9
Child,phase,phase,False,True,False,2,0,9
Master_Degree_Student,phase,phase,False,True,False,2,0,13
Senior,phase,phase,False,True,False,2,0,9
Bachelor_Degree_Student,phase,phase,False,True,False,2,0,13
Employee,role,role,False,True,False,1,0,13
Offspring,role,role,False,True,False,1,0,13
Citizen´s_Role,viewpoint,other,True,False,False,0,13,13
Secondary_School_Student,phase,phase,False,True,False,2,0,13
Company,subkind,subkind,False,True,False,1,0,9
