execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
2,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
3,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
4,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
5,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
6,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
7,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
8,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
9,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
10,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
11,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
12,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,7,0,7,50.0,0.0,50.0,196,182,14,196,98,98,92.85714285714286,7.142857142857142,50.0,50.0,-6,0,6,-42.85714285714286,0.0,42.85714285714286,-84,84,-42.85714285714286,42.85714285714286,7
13,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
