execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,9.319977834820747e-05,1.2500211596488953e-05,0.0003665001131594181,7.6000578701496124e-06,0.00030399998649954796,7.899943739175797e-06,5.499925464391708e-06,1.0499730706214905e-05,2.300366759300232e-06,1.200009137392044e-05,0.00010060006752610207,9.230012074112892e-05,0.00021070009097456932,1.620035618543625e-05,1.2199394404888153e-05,0.00125400023534894
2,2.0300038158893585e-05,1.2299977242946625e-05,2.4999957531690598e-05,1.620035618543625e-05,0.003955999854952097,8.999835699796677e-06,1.3700220733880997e-05,1.180032268166542e-05,7.899943739175797e-06,0.004144599661231041,0.008294300176203251,0.04308000020682812,0.0016752001829445362,3.679981455206871e-05,1.3999640941619873e-05,0.06131710018962622
3,1.2900680303573608e-05,1.2299977242946625e-05,1.2100208550691605e-05,7.6000578701496124e-06,0.00025480007752776146,7.899943739175797e-06,6.00004568696022e-06,1.0899733752012253e-05,2.100132405757904e-06,0.0030002002604305744,9.960029274225235e-05,9.589968249201775e-05,0.00016190018504858017,1.6600359231233597e-05,1.2399628758430481e-05,0.003713201265782118
4,9.599979966878891e-05,1.29002146422863e-05,0.0003831000067293644,8.19982960820198e-06,0.0003188997507095337,8.100178092718124e-06,5.8002769947052e-06,1.1000316590070724e-05,2.1993182599544525e-06,1.2500211596488953e-05,0.00010190019384026527,9.609991684556007e-05,0.0002280999906361103,1.6899779438972473e-05,1.219986006617546e-05,0.0013138996437191963
5,9.929947555065155e-05,1.2499745935201645e-05,0.0003497004508972168,8.400063961744308e-06,0.0003924998454749584,8.099712431430817e-06,6.400048732757568e-06,1.1200085282325745e-05,2.500135451555252e-06,1.2599863111972809e-05,0.00010449998080730438,9.490037336945534e-05,0.0002891998738050461,2.4500302970409393e-05,1.2399628758430481e-05,0.0014286995865404606
6,1.1500436812639236e-05,0.00010229973122477531,1.1699739843606949e-05,6.800051778554916e-06,0.0021935999393463135,8.200295269489288e-06,5.700159817934036e-06,1.2299977242946625e-05,2.600252628326416e-06,9.33995470404625e-05,0.012920800130814314,0.05389359965920448,0.0018104002811014652,1.6099773347377777e-05,0.0023659002035856247,0.07345490017905831
7,9.059999138116837e-05,1.2500211596488953e-05,0.0003557000309228897,7.299706339836121e-06,0.0002963002771139145,7.699709385633469e-06,5.600042641162872e-06,1.0699965059757233e-05,2.300366759300232e-06,1.1799857020378113e-05,9.58004966378212e-05,9.079976007342339e-05,0.00021280022338032722,1.6099773347377777e-05,1.1699739843606949e-05,0.001227700151503086
8,9.070010855793953e-05,1.219986006617546e-05,0.00038610072806477547,7.0999376475811005e-06,0.00036979978904128075,8.299946784973145e-06,5.2996911108493805e-06,1.0200310498476028e-05,2.300366759300232e-06,1.58003531396389e-05,9.460002183914185e-05,9.639980271458626e-05,0.0002997000701725483,1.659989356994629e-05,1.1700205504894257e-05,0.001426801085472107
9,8.579948917031288e-05,1.2300442904233932e-05,0.00034529995173215866,7.000286132097244e-06,0.00029300013557076454,7.3998235166072845e-06,5.6996941566467285e-06,1.019984483718872e-05,2.300366759300232e-06,1.1499505490064621e-05,9.150011464953423e-05,8.769985288381577e-05,0.0002000001259148121,1.5200115740299225e-05,1.1300668120384216e-05,0.0011862004175782204
10,0.012864899821579456,1.200009137392044e-05,0.000350200105458498,7.3998235166072845e-06,0.0009750998578965664,0.00024069985374808311,5.700159817934036e-06,1.1199619621038437e-05,2.6999041438102722e-06,1.3600103557109833e-05,0.002517799846827984,0.010186999570578337,0.0007305997423827648,1.639965921640396e-05,1.3299752026796341e-05,0.02794859791174531
