class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Urinary_Content_Appearance,event,other,False,False,True,1,2
Urinary_Content_Change,event,other,False,True,False,2,0
Urinary_Content_Creation,event,other,False,True,False,3,0
Urinary_Content_Destruction,event,other,False,True,False,3,0
Urinary_Content_Disappearance,event,other,False,False,True,1,2
Urinary_Content_Entrance,event,other,False,True,False,3,0
Urinary_Content_Escape,event,other,False,True,False,3,0
Urinary_Content_Transformation,event,other,False,False,True,1,3
Urinary_Content_Transportation,event,other,False,False,True,1,2
Urinary_Event,event,other,True,False,False,0,9
