execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0800547897815704e-05,0.004172499757260084,1.00000761449337e-05,6.1998143792152405e-06,0.00039160018786787987,7.000286132097244e-06,0.0008760001510381699,8.180039003491402e-05,0.00016589974984526634,0.0028420002199709415,0.0009300997480750084,0.004095899872481823,0.0003582998178899288,1.3900455087423325e-05,0.005086100194603205,0.019048101268708706
2,0.0001539001241326332,9.20998863875866e-05,0.0005354001186788082,1.2500211596488953e-05,0.012183499988168478,1.3600103557109833e-05,1.0500196367502213e-05,2.259993925690651e-05,2.12998129427433e-05,9.320024400949478e-05,0.015622399747371674,0.049546599853783846,0.002248600125312805,2.9499642550945282e-05,0.004692600574344397,0.08527830056846142
3,1.0799616575241089e-05,0.004130499437451363,1.0100193321704865e-05,6.500165909528732e-06,0.00039369985461235046,6.800051778554916e-06,0.0008701998740434647,7.779989391565323e-05,0.00016039982438087463,0.00281260022893548,0.0009155003353953362,0.004103799816220999,0.0003559999167919159,1.3999640941619873e-05,0.004924299661070108,0.018792998511344194
4,7.389998063445091e-05,1.109996810555458e-05,9.399838745594025e-06,6.1998143792152405e-06,0.0004620002582669258,6.6999346017837524e-06,4.599802196025848e-06,9.300187230110168e-06,1.0200310498476028e-05,9.80030745267868e-06,7.680011913180351e-05,7.520010694861412e-05,0.0003732996992766857,1.309998333454132e-05,1.0099727660417557e-05,0.0011517000384628773
5,0.01654730038717389,1.1000316590070724e-05,1.0799616575241089e-05,6.399583071470261e-06,6.200280040502548e-06,6.1998143792152405e-06,0.003541199956089258,0.014445999637246132,0.00040289992466568947,1.1799857020378113e-05,1.00000761449337e-05,1.109996810555458e-05,5.100388079881668e-06,1.569977030158043e-05,1.0699965059757233e-05,0.035042399540543556
6,7.41998665034771e-05,1.0900665074586868e-05,9.400304406881332e-06,6.0996972024440765e-06,0.00046269968152046204,6.800051778554916e-06,5.000270903110504e-06,9.29972156882286e-06,9.799841791391373e-06,9.999610483646393e-06,7.639965042471886e-05,7.360009476542473e-05,0.00036789989098906517,1.309998333454132e-05,1.00000761449337e-05,0.0011451994068920612
7,7.42003321647644e-05,1.0499730706214905e-05,9.200070053339005e-06,6.00004568696022e-06,0.0004598996601998806,1.2100208550691605e-05,4.90015372633934e-06,9.09995287656784e-06,1.0099727660417557e-05,1.0100193321704865e-05,7.799966260790825e-05,7.499987259507179e-05,0.0003633000887930393,1.2899748980998993e-05,1.0099727660417557e-05,0.0011453991755843163
8,0.023240100126713514,1.4000572264194489e-05,1.0699965059757233e-05,6.5998174250125885e-06,6.200280040502548e-06,6.0996972024440765e-06,0.002551400102674961,0.009189799427986145,0.0002791001461446285,1.1200085282325745e-05,9.500421583652496e-06,1.0800082236528397e-05,5.200039595365524e-06,1.4600344002246857e-05,1.0600313544273376e-05,0.03536590142175555
9,2.1000858396291733e-05,8.990010246634483e-05,1.929979771375656e-05,1.2499745935201645e-05,0.0088876998052001,1.3300217688083649e-05,1.309998333454132e-05,1.9900035113096237e-05,2.0700041204690933e-05,0.0031575001776218414,0.01608989993110299,0.0483619999140501,0.0024974998086690903,2.730032429099083e-05,0.00451319944113493,0.08374480018392205
10,1.0699965059757233e-05,1.1400319635868073e-05,1.109996810555458e-05,7.200054824352264e-06,6.00004568696022e-06,7.200054824352264e-06,0.000989600084722042,8.5500068962574e-05,1.1399853974580765e-05,8.499994874000549e-05,1.0299496352672577e-05,1.0500196367502213e-05,5.200039595365524e-06,1.550000160932541e-05,1.2500211596488953e-05,0.0012791003100574017
11,0.0288547002710402,1.1000316590070724e-05,1.0299962013959885e-05,6.1998143792152405e-06,5.600042641162872e-06,5.999580025672913e-06,0.0016899998299777508,0.004128300119191408,0.00016769999638199806,1.109996810555458e-05,9.200535714626312e-06,1.0400079190731049e-05,4.90015372633934e-06,1.3899989426136017e-05,9.999610483646393e-06,0.034939300268888474
