execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,0.004509099991992116,0.0010315999388694763,0.005486199981532991,8.579995483160019e-05,0.004605200025252998,0.003113600076176226,1.1500087566673756e-05,0.0001783999614417553,1.1499854736030102e-05,1.5999889001250267e-05,6.6999346017837524e-06,0.0009585999650880694,0.0004336999263614416,0.00039279996417462826,8.09994526207447e-06,0.020848799496889114
2,9.830005001276731e-05,0.016812099958769977,0.00504210009239614,2.129992935806513e-05,0.04805920016951859,9.889993816614151e-05,0.00016259995754808187,2.180004958063364e-05,0.000592100084759295,3.099988680332899e-05,1.2999866157770157e-05,1.0299962013959885e-05,0.013584800064563751,0.0024272999726235867,1.6700010746717453e-05,0.0869914999930188
3,0.004482000018469989,0.0010111000156030059,0.005684900097548962,9.039998985826969e-05,0.004441600060090423,0.003055299981497228,1.1500087566673756e-05,0.00017360004130750895,1.1100084520876408e-05,1.5499885194003582e-05,6.700051017105579e-06,0.0009451000951230526,0.0004296000115573406,0.0003914999542757869,7.2999391704797745e-06,0.020757200312800705
4,1.1099851690232754e-05,8.349993731826544e-05,1.0999967344105244e-05,9.70007386058569e-06,8.039991371333599e-05,1.0599964298307896e-05,7.950002327561378e-05,1.3300101272761822e-05,1.019984483718872e-05,1.4400109648704529e-05,6.299931555986404e-06,5.00003807246685e-06,0.0005006000865250826,0.000394199974834919,7.300055585801601e-06,0.0012370998738333583
5,1.4799879863858223e-05,1.3199984095990658e-05,1.4500110410153866e-05,0.017558799940161407,1.4099874533712864e-05,1.54001172631979e-05,0.018094200058840215,0.00043000001460313797,1.3499986380338669e-05,1.5600002370774746e-05,6.700051017105579e-06,0.003702300018630922,6.09993003308773e-06,5.300040356814861e-06,6.600050255656242e-06,0.03991110005881637
6,1.0499963536858559e-05,8.470006287097931e-05,1.3900105841457844e-05,9.299954399466515e-06,7.82000133767724e-05,1.0399962775409222e-05,7.750000804662704e-05,1.0200077667832375e-05,1.0900082997977734e-05,1.4199991710484028e-05,6.500049494206905e-06,4.999921657145023e-06,0.0004962999373674393,0.0003806999884545803,6.800051778554916e-06,0.0012151001719757915
7,1.0699965059757233e-05,8.430005982518196e-05,1.119985245168209e-05,9.900075383484364e-06,8.36000544950366e-05,1.0900082997977734e-05,8.189992513507605e-05,1.0599964298307896e-05,1.00000761449337e-05,1.4199875295162201e-05,6.6999346017837524e-06,5.100038833916187e-06,0.0005058000097051263,0.00044219999108463526,7.3999399319291115e-06,0.0012944998452439904
8,1.1300086043775082e-05,9.600073099136353e-06,1.0999850928783417e-05,0.009795799967832863,1.1399970389902592e-05,1.200009137392044e-05,0.024839799967594445,0.0003103999188169837,1.109996810555458e-05,1.5499885194003582e-05,6.6999346017837524e-06,0.0028429999947547913,6.300047971308231e-06,5.199923180043697e-06,6.600050255656242e-06,0.03789569973014295
9,0.0001246999017894268,0.018183499691076577,0.005027700099162757,2.5300192646682262e-05,0.04903529991861433,0.0034716997761279345,2.2900174371898174e-05,2.2900057956576347e-05,2.0999927073717117e-05,3.430002834647894e-05,1.2699980288743973e-05,1.0599964298307896e-05,0.009842399973422289,0.0027543000178411603,1.5400000847876072e-05,0.08860469970386475
10,1.079996582120657e-05,9.800074622035027e-06,1.0699965059757233e-05,8.290004916489124e-05,9.699957445263863e-06,8.14999220892787e-05,9.599956683814526e-06,1.3300101272761822e-05,9.599840268492699e-06,1.479999627918005e-05,6.199930794537067e-06,0.0009594999719411135,5.999929271638393e-06,5.499925464391708e-06,6.400048732757568e-06,0.00123629963491112
11,1.0999967344105244e-05,9.599956683814526e-06,1.0800082236528397e-05,0.004500300041399896,1.0999850928783417e-05,1.700012944638729e-05,0.03075850009918213,0.00017640006262809038,1.1999974958598614e-05,1.5300000086426735e-05,6.5999338403344154e-06,0.0018455999670550227,5.899928510189056e-06,5.400041118264198e-06,7.00005330145359e-06,0.037392400088720024
