execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,0.004181100055575371,0.000947900116443634,0.005628600134514272,8.060003165155649e-05,0.004072199924848974,0.002832300029695034,1.100008375942707e-05,2.09989957511425e-06,1.0399962775409222e-05,1.479999627918005e-05,6.100046448409557e-06,0.0008931999327614903,0.0003934999695047736,0.0003622000804170966,6.800051778554916e-06,0.019442800316028297
2,1.0599964298307896e-05,8.869997691363096e-05,1.0699965059757233e-05,9.200070053339005e-06,7.810001261532307e-05,1.0699965059757233e-05,8.120003622025251e-05,1.800013706088066e-06,0.00031699996907263994,1.4699879102408886e-05,6.500049494206905e-06,4.799920134246349e-06,0.00020050001330673695,0.00013099994976073503,6.5999338403344154e-06,0.0009720997186377645
3,0.00422860006801784,0.0009293000912293792,0.005141800036653876,7.84001313149929e-05,0.00404169992543757,0.002836999949067831,1.0399962775409222e-05,1.800013706088066e-06,1.289986539632082e-05,1.4100107364356518e-05,6.09993003308773e-06,0.0008770000422373414,0.0003926999634131789,0.000358699937351048,6.900052540004253e-06,0.018937400076538324
4,1.0399962775409222e-05,8.010014425963163e-05,9.999843314290047e-06,9.200070053339005e-06,7.389986421912909e-05,1.0200077667832375e-05,7.410009857267141e-05,1.5998957678675652e-06,9.499955922365189e-06,1.2899981811642647e-05,6.300047971308231e-06,4.700035788118839e-06,0.0004694000817835331,0.0003608999541029334,6.6999346017837524e-06,0.0011398999486118555
5,1.0899966582655907e-05,9.199953638017178e-06,1.0200077667832375e-05,0.01383670000359416,1.109996810555458e-05,1.179997343569994e-05,0.016041100025177002,1.9000144675374031e-06,1.079996582120657e-05,1.4899997040629387e-05,6.4999330788850784e-06,0.0035693999379873276,8.200062438845634e-06,5.199923180043697e-06,6.300047971308231e-06,0.033554199850186706
6,1.009996049106121e-05,8.25000461190939e-05,9.899958968162537e-06,8.70006624609232e-06,7.79998954385519e-05,9.900075383484364e-06,7.740000728517771e-05,1.600012183189392e-06,9.800074622035027e-06,1.3199984095990658e-05,6.00004568696022e-06,4.700035788118839e-06,0.0004726999904960394,0.0003662999952211976,0.00011349993292242289,0.001264300080947578
7,1.0399962775409222e-05,0.00010290008503943682,1.3099866919219494e-05,1.209997572004795e-05,9.12998802959919e-05,1.0400079190731049e-05,8.299993351101875e-05,2.200016751885414e-06,9.599956683814526e-06,1.3499986380338669e-05,2.2700056433677673e-05,1.0200077667832375e-05,0.0007766999769955873,0.0003708999138325453,6.900052540004253e-06,0.0015358998207375407
8,1.4299876056611538e-05,1.2499862350523472e-05,1.070008147507906e-05,0.009106799960136414,1.0600080713629723e-05,1.1499971151351929e-05,0.024206900037825108,2.200016751885414e-06,1.1499854736030102e-05,1.5199999324977398e-05,6.3999323174357414e-06,0.00264920003246516,5.500041879713535e-06,4.700035788118839e-06,6.00004568696022e-06,0.036073999828659
9,1.0899966582655907e-05,0.0010361000895500183,1.1099851690232754e-05,9.800074622035027e-06,0.004145499900914729,0.0022714000660926104,1.0500079952180386e-05,1.800013706088066e-06,9.699841029942036e-06,1.4400109648704529e-05,6.200047209858894e-06,4.900037311017513e-06,0.0006457000272348523,0.0004881999921053648,7.100054062902927e-06,0.008673300151713192
10,1.0100076906383038e-05,9.400071576237679e-06,1.00000761449337e-05,7.740012370049953e-05,9.09995287656784e-06,7.670011837035418e-05,9.099836461246014e-06,1.700012944638729e-06,9.600073099136353e-06,1.4199875295162201e-05,9.100069291889668e-06,0.0009089000523090363,5.100038833916187e-06,4.900037311017513e-06,6.199930794537067e-06,0.001161500345915556
11,1.2499978765845299e-05,1.0399962775409222e-05,1.0600080713629723e-05,0.004254799918271601,1.0999967344105244e-05,1.1300086043775082e-05,0.030701100011356175,2.200016751885414e-06,1.100008375942707e-05,1.4999881386756897e-05,6.4999330788850784e-06,0.0017562999855726957,5.599926225841045e-06,4.800036549568176e-06,6.199930794537067e-06,0.03681929979939014
