class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Able_Agent_Participation,none,other,False,False,True,3,5
Able_Guarantor_Participation,none,other,False,False,True,4,2
Action_Contribution,none,other,False,False,True,2,7
Agent_Participation,none,other,False,False,True,1,19
Comissive_Crime,none,other,False,True,False,10,0
Crime,none,other,False,False,True,6,1
Criminal_Act,none,other,False,False,True,6,1
CulpableEvent,none,other,False,False,True,3,4
Deprive_Liberty,none,other,False,True,False,6,0
Event,none,other,True,False,False,0,20
Felony_Omission,none,other,False,True,False,9,0
Fine,none,other,False,True,False,6,0
LegalFelonyOmission,none,other,False,False,True,6,1
LegalOmission,none,other,False,False,True,5,1
Legal_Act,none,other,False,False,True,4,6
Legal_Event,none,other,False,False,True,2,17
Punishment_Act,none,other,False,False,True,5,3
Pure_Omissive_Crime,none,other,False,True,False,8,0
Restrict_Right,none,other,False,True,False,6,0
TypicalEvent,none,other,False,False,True,3,7
UnlawfulEvent,none,other,False,False,True,3,4
