execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,0.005735800135880709,1.8299557268619537e-05,0.0004434003494679928,1.620035618543625e-05,0.0018782000988721848,0.0010715993121266365,1.1300202459096909e-05,1.6700010746717453e-05,1.8600374460220337e-05,1.960061490535736e-05,0.0013846997171640396,0.004549999721348286,0.0016009998507797718,3.3600255846977234e-05,2.1900050342082977e-05,0.016820900607854128
2,0.005474899895489216,2.12998129427433e-05,1.2800097465515137e-05,8.7004154920578e-06,0.0018154997378587723,1.0499730706214905e-05,6.00004568696022e-06,1.1599622666835785e-05,1.3500452041625977e-05,1.749955117702484e-05,0.0013594008050858974,0.004233799874782562,0.0015901997685432434,0.0011703995987772942,1.400010660290718e-05,0.01576009951531887
3,0.012465099804103374,1.890026032924652e-05,0.00045080017298460007,1.5900004655122757e-05,0.004183399956673384,0.00212279986590147,1.1400319635868073e-05,1.6800593584775925e-05,1.8499791622161865e-05,2.0899809896945953e-05,0.0032849996350705624,0.009971400257200003,0.0036872001364827156,0.00011899974197149277,2.529984340071678e-05,0.03641240019351244
4,1.0600313544273376e-05,1.2599863111972809e-05,1.109996810555458e-05,7.699709385633469e-06,6.400048732757568e-06,8.600298315286636e-06,0.002181699965149164,7.899990305304527e-05,1.1600088328123093e-05,7.750000804662704e-05,1.1300202459096909e-05,1.0600313544273376e-05,5.7998113334178925e-06,2.3099593818187714e-05,1.2200325727462769e-05,0.0024698004126548767
5,1.2299977242946625e-05,1.2299977242946625e-05,1.1600088328123093e-05,7.799826562404633e-06,6.300397217273712e-06,8.999835699796677e-06,0.006373200099915266,0.008649200201034546,0.00029190024361014366,0.005623499862849712,1.090019941329956e-05,1.2100208550691605e-05,5.7998113334178925e-06,2.279970794916153e-05,1.1999625712633133e-05,0.021060700062662363
6,0.035165900364518166,1.360056921839714e-05,1.2499745935201645e-05,7.899943739175797e-06,6.800051778554916e-06,8.899718523025513e-06,0.006355599965900183,0.009544000029563904,0.00029879994690418243,1.3199634850025177e-05,1.1399853974580765e-05,1.7099548131227493e-05,5.900394171476364e-06,2.490030601620674e-05,1.219986006617546e-05,0.05149869993329048
7,7.609976455569267e-05,1.1799391359090805e-05,1.0500196367502213e-05,7.599592208862305e-06,0.0011497000232338905,9.29972156882286e-06,5.600042641162872e-06,1.0299962013959885e-05,1.1200085282325745e-05,1.200009137392044e-05,7.629953324794769e-05,7.830001413822174e-05,0.0010315999388694763,2.040015533566475e-05,1.12997367978096e-05,0.0025219982489943504
8,8.249981328845024e-05,1.1999625712633133e-05,0.00032110000029206276,7.80029222369194e-06,0.0003420999273657799,9.200070053339005e-06,5.700159817934036e-06,1.0400079190731049e-05,1.1400319635868073e-05,1.2099742889404297e-05,8.009979501366615e-05,7.589999586343765e-05,0.0002684001810848713,2.150004729628563e-05,1.1799391359090805e-05,0.001271999441087246
9,0.005719800014048815,1.800013706088066e-05,0.0003881002776324749,1.569977030158043e-05,0.003517500124871731,0.0010675997473299503,1.1500436812639236e-05,1.6499776393175125e-05,1.890026032924652e-05,2.0199455320835114e-05,0.0013842000626027584,0.004507100209593773,0.003152400255203247,3.7900637835264206e-05,2.2300053387880325e-05,0.01989770121872425
10,7.490022107958794e-05,1.200009137392044e-05,1.0699499398469925e-05,7.4999406933784485e-06,0.0002581002190709114,9.200070053339005e-06,5.6996941566467285e-06,1.0799616575241089e-05,1.109996810555458e-05,1.1599622666835785e-05,8.159969002008438e-05,7.510045543313026e-05,0.00017330003902316093,2.1199695765972137e-05,1.1799391359090805e-05,0.0007745982147753239
