execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,0.00791250029578805,1.9399914890527725e-05,0.0004662000574171543,1.0699965059757233e-05,0.0013068998232483864,0.0001620999537408352,8.099712431430817e-06,1.6100239008665085e-05,3.0999071896076202e-06,2.7399510145187378e-05,0.0018559000454843044,0.005582500249147415,0.0010190000757575035,3.310013562440872e-05,2.1200161427259445e-05,0.018444200046360493
2,0.01254640007391572,2.369983121752739e-05,3.369990736246109e-05,2.220040187239647e-05,0.0047126999124884605,1.5900004655122757e-05,1.640012487769127e-05,2.259993925690651e-05,3.6996789276599884e-06,2.659996971487999e-05,0.0018400996923446655,0.005657800007611513,0.0026839999482035637,0.0032960004173219204,2.5900080800056458e-05,0.030927699990570545
3,0.013680399861186743,1.490022987127304e-05,0.0003959997557103634,9.499955922365189e-06,0.0025562001392245293,0.00029009999707341194,6.4997002482414246e-06,1.3600103557109833e-05,2.500135451555252e-06,1.71000137925148e-05,0.0027364003472030163,0.012050099670886993,0.002346700057387352,3.0199531465768814e-05,1.5900470316410065e-05,0.03416609996929765
4,1.2099742889404297e-05,1.3700220733880997e-05,1.2800097465515137e-05,8.800067007541656e-06,6.9998204708099365e-06,1.019984483718872e-05,0.002661199774593115,0.00010220007970929146,2.100132405757904e-06,9.230012074112892e-05,1.2400094419717789e-05,1.2400094419717789e-05,6.400048732757568e-06,2.4999957531690598e-05,1.3199634850025177e-05,0.002991799730807543
5,1.5799887478351593e-05,1.4099758118391037e-05,1.3499986380338669e-05,9.09995287656784e-06,7.699709385633469e-06,1.8800143152475357e-05,0.007989900186657906,0.010695499833673239,2.00001522898674e-06,0.00742189958691597,1.2999866157770157e-05,1.4699995517730713e-05,6.899703294038773e-06,2.899952232837677e-05,1.3600103557109833e-05,0.026265498250722885
6,0.039926199708133936,1.5000347048044205e-05,1.5600118786096573e-05,9.699724614620209e-06,7.899943739175797e-06,1.090019941329956e-05,0.007993100211024284,0.010452699847519398,3.899913281202316e-06,1.550000160932541e-05,1.2499745935201645e-05,1.5400350093841553e-05,6.9998204708099365e-06,2.800021320581436e-05,1.750001683831215e-05,0.05853090016171336
7,8.979998528957367e-05,1.4600344002246857e-05,1.309998333454132e-05,1.2699980288743973e-05,0.0014909002929925919,1.2100208550691605e-05,6.00004568696022e-06,1.2100208550691605e-05,2.00001522898674e-06,1.400010660290718e-05,0.00010310020297765732,8.979998528957367e-05,0.001314499881118536,2.5499612092971802e-05,1.4100223779678345e-05,0.003214301075786352
8,9.400025010108948e-05,1.4299992471933365e-05,0.00045079970732331276,9.500421583652496e-06,0.0004422999918460846,1.1399853974580765e-05,6.9998204708099365e-06,1.2899748980998993e-05,2.299901098012924e-06,1.4699995517730713e-05,0.00016719987615942955,9.71006229519844e-05,0.0003412002697587013,2.8099864721298218e-05,1.490022987127304e-05,0.0017077005468308926
9,0.006560400128364563,1.5199650079011917e-05,0.0003424999304115772,1.1499971151351929e-05,0.0021545998752117157,0.0001680999994277954,6.90016895532608e-06,1.29002146422863e-05,2.600252628326416e-06,1.6700010746717453e-05,0.0012559001334011555,0.0053394995629787445,0.0019036000594496727,2.859998494386673e-05,1.58003531396389e-05,0.01783480029553175
10,9.489990770816803e-05,1.4599878340959549e-05,1.3200100511312485e-05,1.5200115740299225e-05,0.00036559998989105225,1.1199619621038437e-05,1.1300202459096909e-05,1.2999866157770157e-05,2.0996667444705963e-06,1.4699995517730713e-05,9.959936141967773e-05,9.849946945905685e-05,0.00022409996017813683,2.529984340071678e-05,1.4500226825475693e-05,0.0010177982039749622
