class_name,class_original_classification,classification_final_list
Able_Person,phase,can
Active_Agent,role,is
Adult,phase,can
Agent,mixin,is
Collective_Social_Agent,category,is
Crime_Agent,rolemixin,can
Crime_Author,role,is
Criminally_Incapable,phase,can
Criminally_Liable,phase,is
Guaranteed,role,can
Guarantor,role,can
Guarantor_Able_Person,role,is
Institutional_Agent,category,is
Juridical_Person,kind,is
Jurisdiction_Agent,rolemixin,can
Jurisdictional_State,role,is
Legal_Agent,rolemixin,can
Mentally_Healthy,phase,is
Mentally_Sick,phase,can
Natural_Person,kind,is
Passive_Agent,rolemixin,can
Passive_Juridical_Person,role,is
Passive_Person,role,is
Passive_Society,role,is
Physical_Agent,category,can
Social_Agent,category,is
Society,kind,is
State,kind,is
Underage,phase,can
