class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Channel_Sculptor,historicalrole,role,False,True,False,3,0
Erosive_Agent,historicalrole,role,False,True,False,4,0
Frictioning_Water,role,role,False,False,True,3,1
High_Energy_Water,phase,phase,False,False,True,2,2
Low_Energy_Water,phase,phase,False,False,True,2,2
Moving_Water,phase,phase,False,False,True,1,11
Obstacled_Loaded_Water,role,role,False,False,True,4,1
Sediment_Receiver,historicalrole,role,False,True,False,3,0
Still_Water,phase,phase,False,True,False,1,0
Tractive_Water,role,role,False,False,True,2,4
Unloading_Vehicle,historicalrole,role,False,True,False,5,0
Vehicle,historicalrole,role,False,True,False,3,0
Water,quantity,kind,True,False,False,0,13
Water_Stream,role,role,False,False,True,2,1
