execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,11,0,1,91.66666666666666,0.0,8.333333333333332,168,154,14,168,154,14,91.66666666666666,8.333333333333332,91.66666666666666,8.333333333333332,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
2,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,1,10,1,8.333333333333332,83.33333333333334,8.333333333333332,168,154,14,168,84,84,91.66666666666666,8.333333333333332,50.0,50.0,-10,10,0,-83.33333333333333,83.33333333333334,0.0,-70,70,-41.66666666666666,41.66666666666667,0
3,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,11,0,1,91.66666666666666,0.0,8.333333333333332,168,154,14,168,154,14,91.66666666666666,8.333333333333332,91.66666666666666,8.333333333333332,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
5,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,11,0,1,91.66666666666666,0.0,8.333333333333332,168,154,14,168,154,14,91.66666666666666,8.333333333333332,91.66666666666666,8.333333333333332,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
6,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,11,0,1,91.66666666666666,0.0,8.333333333333332,168,154,14,168,154,14,91.66666666666666,8.333333333333332,91.66666666666666,8.333333333333332,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
7,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,10,0,2,83.33333333333334,0.0,16.666666666666664,168,154,14,168,140,28,91.66666666666666,8.333333333333332,83.33333333333334,16.666666666666664,-1,0,1,-8.333333333333314,0.0,8.333333333333332,-14,14,-8.333333333333314,8.333333333333332,2
8,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,1,9,2,8.333333333333332,75.0,16.666666666666664,168,154,14,168,77,91,91.66666666666666,8.333333333333332,45.83333333333333,54.166666666666664,-10,9,1,-83.33333333333333,75.0,8.333333333333332,-77,77,-45.83333333333333,45.83333333333333,1
9,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,10,0,2,83.33333333333334,0.0,16.666666666666664,168,154,14,168,140,28,91.66666666666666,8.333333333333332,83.33333333333334,16.666666666666664,-1,0,1,-8.333333333333314,0.0,8.333333333333332,-14,14,-8.333333333333314,8.333333333333332,2
10,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,11,0,1,91.66666666666666,0.0,8.333333333333332,168,154,14,168,154,14,91.66666666666666,8.333333333333332,91.66666666666666,8.333333333333332,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
11,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,9,0,3,75.0,0.0,25.0,168,154,14,168,126,42,91.66666666666666,8.333333333333332,75.0,25.0,-2,0,2,-16.666666666666657,0.0,16.666666666666668,-28,28,-16.666666666666657,16.666666666666668,3
12,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,1,9,2,8.333333333333332,75.0,16.666666666666664,168,154,14,168,77,91,91.66666666666666,8.333333333333332,45.83333333333333,54.166666666666664,-10,9,1,-83.33333333333333,75.0,8.333333333333332,-77,77,-45.83333333333333,45.83333333333333,1
