execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.1199968867003918e-05,8.369993884116411e-05,1.7300131730735302e-05,1.3499986380338669e-05,9.480002336204052e-05,1.1299853213131428e-05,8.109991904348135e-05,1.070008147507906e-05,1.0299845598638058e-05,1.550000160932541e-05,6.700051017105579e-06,5.300040356814861e-06,0.0003597999457269907,0.0002949000336229801,7.79994297772646e-06,0.0010238997638225555
2,1.1400086805224419e-05,8.679996244609356e-05,1.100008375942707e-05,1.3099866919219494e-05,8.019991219043732e-05,1.0900082997977734e-05,7.840001489967108e-05,1.0599964298307896e-05,1.0100076906383038e-05,1.68998958542943e-05,6.4999330788850784e-06,5.200039595365524e-06,0.00039110006764531136,0.00029450003057718277,7.5999414548277855e-06,0.0010342999594286084
3,1.200009137392044e-05,0.0011057000374421477,1.2500095181167126e-05,1.4400109648704529e-05,0.004480800009332597,1.2499862350523472e-05,0.005973199964500964,1.209997572004795e-05,1.0900082997977734e-05,0.0011994000524282455,7.200054824352264e-06,5.400041118264198e-06,0.00069650006480515,0.0005232000257819891,7.4999406933784485e-06,0.01407330040819943
4,2.0099920220673084e-05,0.0035896998597308993,1.8399907276034355e-05,1.600012183189392e-05,0.010363299981690943,1.880002673715353e-05,0.013269999995827675,1.800013706088066e-05,0.00042509986087679863,0.00015059986617416143,1.379998866468668e-05,1.0699965059757233e-05,0.0018502000020816922,0.0013949999120086432,0.002351999864913523,0.033511699410155416
5,1.8000020645558834e-05,0.0038812998682260513,2.229982055723667e-05,1.6300007700920105e-05,0.010777100105769932,2.210005186498165e-05,0.013449600082822144,2.1000043489038944e-05,0.0004971000598743558,0.00011580006685107946,1.4699995517730713e-05,1.0599964298307896e-05,0.0025472999550402164,0.002096399897709489,0.002310300013050437,0.03579989995341748
6,9.999994654208422e-05,0.04516330000478774,0.0020479001104831696,2.2099935449659824e-05,0.08998939988669008,9.579991456121206e-05,0.09119550010655075,2.6300200261175632e-05,0.0004995000781491399,0.0003865001490339637,1.7300131730735302e-05,1.7499900422990322e-05,0.016939599881879985,0.005678700050339103,0.006967499968595803,0.2591469002654776
7,1.1600088328123093e-05,0.001077700057066977,1.2600095942616463e-05,1.0599847882986069e-05,0.004461599979549646,1.2600095942616463e-05,0.005737799918279052,1.1699972674250603e-05,1.1300086043775082e-05,0.001197099918499589,7.100054062902927e-06,5.400041118264198e-06,0.0010126999113708735,0.0008200999582186341,7.900060154497623e-06,0.014397800085134804
8,1.370010431855917e-05,0.00010930001735687256,1.1400086805224419e-05,9.799841791391373e-06,7.95999076217413e-05,1.0900082997977734e-05,8.059991523623466e-05,1.0499963536858559e-05,9.70007386058569e-06,1.559988595545292e-05,6.400048732757568e-06,5.00003807246685e-06,0.00032819993793964386,0.00023560004774481058,7.6000578701496124e-06,0.0009339000098407269
9,9.799993131309748e-05,0.02197789994534105,0.0020608999766409397,2.2000051103532314e-05,0.0665043001063168,0.00010060006752610207,0.0001605998259037733,2.2500054910779e-05,0.0005094000371173024,3.3800024539232254e-05,1.3400102034211159e-05,1.079996582120657e-05,0.01407230005133897,0.003129500080831349,1.580000389367342e-05,0.10873180022463202
10,1.2600095942616463e-05,0.003976500011049211,1.309998333454132e-05,1.0600080713629723e-05,0.01771550008561462,1.2899981811642647e-05,0.022777599981054664,1.2100092135369778e-05,1.0900082997977734e-05,0.004521399969235063,7.200054824352264e-06,5.500041879713535e-06,0.0018925999756902456,0.0014574999222531915,7.79994297772646e-06,0.052433800301514566
11,1.070008147507906e-05,8.080003317445517e-05,1.070008147507906e-05,9.699957445263863e-06,7.780001033097506e-05,1.0599964298307896e-05,7.759989239275455e-05,1.0100076906383038e-05,9.699957445263863e-06,1.5399884432554245e-05,6.5999338403344154e-06,4.999921657145023e-06,0.000534399994648993,0.00042970001231878996,7.2999391704797745e-06,0.001296099741011858
12,1.0699965059757233e-05,8.389994036406279e-05,1.0599964298307896e-05,1.00000761449337e-05,7.739989086985588e-05,1.0900082997977734e-05,7.630011532455683e-05,9.900075383484364e-06,1.00000761449337e-05,1.489988062530756e-05,6.500049494206905e-06,5.199923180043697e-06,0.0003244000254198909,0.0002359999343752861,7.300055585801601e-06,0.0008940000552684069
13,0.00010790000669658184,0.02165789995342493,0.002031099982559681,1.1200085282325745e-05,0.0693382000317797,8.829997386783361e-05,1.0500079952180386e-05,1.1100084520876408e-05,1.0899966582655907e-05,1.5600002370774746e-05,6.4999330788850784e-06,5.399924702942371e-06,0.0033991000382229686,0.002949999994598329,7.900060154497623e-06,0.09965160011779517
14,1.1199968867003918e-05,0.0010521000949665904,1.1999974958598614e-05,1.0400079190731049e-05,0.004382699960842729,1.279998105019331e-05,0.005556600051932037,1.1299969628453255e-05,1.0800082236528397e-05,0.0013376999413594604,6.7999353632330894e-06,5.300040356814861e-06,0.0005629999795928597,0.00040449993684887886,7.300055585801601e-06,0.013384500052779913
