execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,9.480002336204052e-05,1.3399985618889332e-05,1.1999974958598614e-05,7.899943739175797e-06,0.00041750003583729267,8.999952115118504e-06,5.600042641162872e-06,1.1599855497479439e-05,1.2599979527294636e-05,1.3099866919219494e-05,9.810004848986864e-05,9.989994578063488e-05,0.0002877999795600772,1.7699901945888996e-05,1.2899981811642647e-05,0.0011138995178043842
2,0.00010720011778175831,1.7400016076862812e-05,1.550000160932541e-05,8.09994526207447e-06,0.0005592999514192343,9.200070053339005e-06,6.5999338403344154e-06,1.2500095181167126e-05,1.2699980288743973e-05,1.3399985618889332e-05,0.00014539994299411774,0.00011090002954006195,0.0004459000192582607,2.2000051103532314e-05,1.3199984095990658e-05,0.0014993001241236925
3,0.007048300001770258,1.3199984095990658e-05,1.6400008462369442e-05,8.300063200294971e-06,0.0008023999398574233,8.300063200294971e-06,6.4999330788850784e-06,1.1599971912801266e-05,1.71000137925148e-05,1.4399993233382702e-05,0.001241199905052781,0.005089899990707636,0.0006047000642865896,0.0013790000230073929,1.3499986380338669e-05,0.016274799942038953
4,0.01561160001438111,2.0299921743571758e-05,0.0004916999023407698,1.580000389367342e-05,0.002098600030876696,0.002685299958102405,1.209997572004795e-05,1.780001912266016e-05,2.5699962861835957e-05,2.2399937734007835e-05,0.004301500041037798,0.013417000183835626,0.0016110999276861548,0.00013219995889812708,2.139981370419264e-05,0.04048449965193868
5,0.016248100087977946,2.2900057956576347e-05,0.0005019998643547297,2.0299921743571758e-05,0.003019199939444661,0.0029221001313999295,1.6900012269616127e-05,2.1499930880963802e-05,2.1000043489038944e-05,2.1900050342082977e-05,0.004341999883763492,0.01296710001770407,0.0024546999484300613,0.00013619998935610056,2.4999957531690598e-05,0.04274089983664453
6,0.12150109990034252,0.00014070002362132072,0.0006383999716490507,1.7299898900091648e-05,0.02128340001218021,0.009066800004802644,1.3100099749863148e-05,2.580008003860712e-05,2.9999995604157448e-05,0.00012450001668184996,0.05402070004492998,0.10909560008440167,0.00711320003028959,0.0006055000703781843,0.002506399992853403,0.32618250022642314
7,0.007385100121609867,1.2599979527294636e-05,1.1899974197149277e-05,7.899943739175797e-06,0.0014926999574527144,8.600065484642982e-06,6.09993003308773e-06,1.1499971151351929e-05,1.389987301081419e-05,1.4299992471933365e-05,0.0012601001653820276,0.005485899979248643,0.0009945000056177378,0.0013907999964430928,1.3599870726466179e-05,0.018109499826096
8,9.600003249943256e-05,1.580000389367342e-05,1.1399970389902592e-05,8.500064723193645e-06,0.0005873999325558543,1.3899989426136017e-05,1.910002902150154e-05,1.1899974197149277e-05,1.209997572004795e-05,2.2600055672228336e-05,0.00014020001981407404,0.0001700000138953328,0.0002932999050244689,1.9100145436823368e-05,2.050003968179226e-05,0.001441800151951611
9,0.0002188000362366438,0.00013360008597373962,0.0006615001475438476,1.580000389367342e-05,0.018222599988803267,2.589996438473463e-05,1.179997343569994e-05,3.2700132578611374e-05,3.0100112780928612e-05,0.00014699995517730713,0.02675550023559481,0.08112450002226979,0.005169600015506148,4.7699897550046444e-05,0.0024703001836314797,0.13506740075536072
10,0.030767099931836128,1.400010660290718e-05,1.289986539632082e-05,8.399947546422482e-06,0.0023755000438541174,1.5199999324977398e-05,6.500049494206905e-06,1.2599979527294636e-05,1.500011421740055e-05,1.500011421740055e-05,0.00493669998832047,0.02354860003106296,0.0018921000882983208,0.006019599852152169,1.4499993994832039e-05,0.06965370010584593
11,9.709992446005344e-05,1.3499986380338669e-05,1.7299898900091648e-05,1.3200100511312485e-05,0.0007990000303834677,9.499955922365189e-06,1.0599964298307896e-05,1.209997572004795e-05,1.2799864634871483e-05,1.3199867680668831e-05,0.00010409997776150703,9.909993968904018e-05,0.0005765999667346478,2.529995981603861e-05,1.3600103557109833e-05,0.0018169995164498687
12,9.890005458146334e-05,1.3699871487915516e-05,1.2399978004395962e-05,1.4899997040629387e-05,0.0005764999659731984,9.500072337687016e-06,1.0699965059757233e-05,1.1799857020378113e-05,1.2899981811642647e-05,1.309998333454132e-05,9.999994654208422e-05,9.619991760700941e-05,0.0003454000689089298,1.910002902150154e-05,1.279998105019331e-05,0.0013478996697813272
13,1.2999982573091984e-05,0.00010870001278817654,1.2899981811642647e-05,7.800059393048286e-06,0.004350000061094761,9.699957445263863e-06,6.5999338403344154e-06,1.289986539632082e-05,1.3599987141788006e-05,0.000107599887996912,0.027321400120854378,0.08490909996908158,0.0036850000033155084,1.9700033590197563e-05,0.0024876000825315714,0.12306559993885458
14,0.007113299914635718,1.4299992471933365e-05,1.2999982573091984e-05,1.3199984095990658e-05,0.0007928999839350581,9.00006853044033e-06,1.0800082236528397e-05,1.219986006617546e-05,1.4200108125805855e-05,1.4599878340959549e-05,0.001356300082989037,0.00544950005132705,0.0005216000135987997,0.0014644998591393232,1.4400109648704529e-05,0.016813799971714616
