execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.0199961252510548e-05,7.6299998909235e-05,9.999959729611874e-06,9.000010322779417e-06,7.539999205619097e-05,9.999959729611874e-06,7.339997682720423e-05,1.700012944638729e-06,9.500072337687016e-06,1.3200100511312485e-05,6.199989002197981e-06,4.599976819008589e-06,0.0003144000074826181,0.00021919998107478023,6.89999433234334e-06,0.0008399999933317304
2,8.209998486563563e-05,0.013725900033023208,0.0019111000001430511,9.999959729611874e-06,0.04925539996474981,7.650000043213367e-05,9.499955922365189e-06,2.100015990436077e-06,1.0500021744519472e-05,1.4699995517730713e-05,6.300047971308231e-06,4.699977580457926e-06,0.002540700021199882,0.0025902000488713384,1.0299962013959885e-05,0.07024999998975545
3,1.00000761449337e-05,7.740000728517771e-05,9.500014130026102e-06,8.899951353669167e-06,7.780001033097506e-05,1.009996049106121e-05,7.509998977184296e-05,1.600012183189392e-06,9.500014130026102e-06,1.3299984857439995e-05,6.400048732757568e-06,7.700000423938036e-06,0.00037239998346194625,0.0002698999596759677,6.499991286545992e-06,0.0009561000042594969
4,1.109996810555458e-05,0.0021923999884165823,1.109996810555458e-05,9.999959729611874e-06,0.008817599969916046,1.1199968867003918e-05,0.011319899989757687,1.7999554984271526e-06,1.0600080713629723e-05,0.0022675999789498746,6.699992809444666e-06,5.00003807246685e-06,0.0007587000145576894,0.0005674000130966306,6.399990525096655e-06,0.0259974998771213
5,9.999959729611874e-06,7.779995212331414e-05,9.700015652924776e-06,8.899951353669167e-06,7.499998901039362e-05,9.999959729611874e-06,7.35999783501029e-05,1.600012183189392e-06,9.400013368576765e-06,1.2999982573091984e-05,9.000010322779417e-06,4.699977580457926e-06,0.0002544999588280916,0.00017610000213608146,6.600050255656242e-06,0.0007398998131975532
6,9.999959729611874e-06,7.619999814778566e-05,9.7999582067132e-06,8.800008799880743e-06,7.699994603171945e-05,9.500072337687016e-06,7.329997606575489e-05,2.00001522898674e-06,9.400071576237679e-06,1.5700003132224083e-05,6.300047971308231e-06,4.700035788118839e-06,0.00032920000376179814,0.00022009998792782426,6.499991286545992e-06,0.0008585000759921968
7,1.0399962775409222e-05,0.0010174000635743141,1.079996582120657e-05,9.199953638017178e-06,0.004093100025784224,1.1300027836114168e-05,0.005239900085143745,2.0999577827751637e-06,1.0100076906383038e-05,0.0010970000294037163,6.499991286545992e-06,4.799978341907263e-06,0.0005339999916031957,0.000387399981264025,6.799993570894003e-06,0.012440800084732473
8,1.0199961252510548e-05,0.005392700026277453,1.1200027074664831e-05,9.700015652924776e-06,0.025841299968305975,0.0022786999470554292,1.009996049106121e-05,2.00001522898674e-06,1.0100018698722124e-05,1.4899997040629387e-05,6.699992809444666e-06,4.599976819008589e-06,0.0016118999919854105,0.0011689999955706298,7.199996616691351e-06,0.03638029989087954
9,9.999959729611874e-06,0.0009619999909773469,1.0400020983070135e-05,9.300012607127428e-06,0.004055399971548468,1.5199999324977398e-05,0.005141700035892427,1.8999562598764896e-06,1.0100018698722124e-05,0.00109039997914806,6.399990525096655e-06,7.700000423938036e-06,0.0006187999970279634,0.0004684000159613788,6.89999433234334e-06,0.012414599943440408
10,1.0699965059757233e-05,0.00010340003063902259,1.3000040780752897e-05,1.5300000086426735e-05,7.690000347793102e-05,1.0299962013959885e-05,7.509998977184296e-05,1.9000144675374031e-06,9.299954399466515e-06,1.4299992471933365e-05,6.599992047995329e-06,4.599976819008589e-06,0.00037429999792948365,0.00025619997177273035,6.799993570894003e-06,0.0009786998853087425
11,1.0700023267418146e-05,0.0018467000336386263,1.1200027074664831e-05,1.179997343569994e-05,0.00995189999230206,1.279998105019331e-05,0.010752300033345819,1.9999570213258266e-06,1.1399970389902592e-05,0.002125800005160272,6.999995093792677e-06,4.999979864805937e-06,0.0008378999773412943,0.0006129000103101134,6.999995093792677e-06,0.02620639995438978
12,1.0700023267418146e-05,0.003370199992787093,1.680001150816679e-05,1.179997343569994e-05,0.01426060002995655,0.002339899947401136,1.0700023267418146e-05,2.600019797682762e-06,1.0699965059757233e-05,1.71000137925148e-05,6.89999433234334e-06,5.099980626255274e-06,0.0009857999975793064,0.0006948999944142997,7.299997378140688e-06,0.02175109996460378
