class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Article,subkind,subkind,False,True,False,3,0
Artifact,kind,kind,True,False,False,0,12
Book,subkind,subkind,False,True,False,3,0
Chapter,subkind,subkind,False,True,False,3,0
Document,subkind,subkind,False,False,True,2,6
Newspaper,subkind,subkind,False,True,False,3,0
Object,subkind,subkind,False,True,False,1,0
Patent,subkind,subkind,False,True,False,3,0
Proceedings,subkind,subkind,False,True,False,3,0
Recording,subkind,subkind,False,False,True,2,2
Sound_Recording,subkind,subkind,False,True,False,3,0
Video_Recording,subkind,subkind,False,True,False,3,0
Work,subkind,subkind,False,False,True,1,10
