class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Action,event,other,False,False,True,1,2
Attack,event,other,False,True,False,6,0
Event,event,other,True,False,False,0,14
Gain_Event,event,other,False,True,False,3,0
Impact_Event,event,other,False,False,True,2,2
Loss_Event,event,other,False,True,False,4,0
Opportunity_Event,event,other,False,True,False,3,0
Risk_Event,event,other,False,False,True,2,4
Risk_Experience,event,other,False,True,False,2,0
Root_Cause_Event,event,other,False,True,False,5,0
Threat_Event,event,other,False,False,True,4,2
Trigger_Event,event,other,False,False,True,2,4
Valuation,event,other,False,True,False,2,0
Value_Event,event,other,False,False,True,1,9
Value_Experience,event,other,False,False,True,1,1
