execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,8,5,1,57.14285714285714,35.714285714285715,7.142857142857142,196,182,14,196,157,39,92.85714285714286,7.142857142857142,80.10204081632652,19.897959183673468,-5,5,0,-35.71428571428572,35.714285714285715,0.0,-25,25,-12.75510204081634,12.755102040816325,1
2,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,10,3,1,71.42857142857143,21.428571428571427,7.142857142857142,196,182,14,196,165,31,92.85714285714286,7.142857142857142,84.18367346938776,15.816326530612246,-3,3,0,-21.42857142857143,21.428571428571427,0.0,-17,17,-8.673469387755105,8.673469387755103,2
3,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,11,2,1,78.57142857142857,14.285714285714285,7.142857142857142,196,182,14,196,172,24,92.85714285714286,7.142857142857142,87.75510204081633,12.244897959183673,-2,2,0,-14.285714285714292,14.285714285714285,0.0,-10,10,-5.102040816326536,5.1020408163265305,1
4,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,11,2,1,78.57142857142857,14.285714285714285,7.142857142857142,196,182,14,196,172,24,92.85714285714286,7.142857142857142,87.75510204081633,12.244897959183673,-2,2,0,-14.285714285714292,14.285714285714285,0.0,-10,10,-5.102040816326536,5.1020408163265305,1
5,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,8,5,1,57.14285714285714,35.714285714285715,7.142857142857142,196,182,14,196,157,39,92.85714285714286,7.142857142857142,80.10204081632652,19.897959183673468,-5,5,0,-35.71428571428572,35.714285714285715,0.0,-25,25,-12.75510204081634,12.755102040816325,1
6,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,10,3,1,71.42857142857143,21.428571428571427,7.142857142857142,196,182,14,196,165,31,92.85714285714286,7.142857142857142,84.18367346938776,15.816326530612246,-3,3,0,-21.42857142857143,21.428571428571427,0.0,-17,17,-8.673469387755105,8.673469387755103,2
7,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
8,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,8,5,1,57.14285714285714,35.714285714285715,7.142857142857142,196,182,14,196,153,43,92.85714285714286,7.142857142857142,78.06122448979592,21.93877551020408,-5,5,0,-35.71428571428572,35.714285714285715,0.0,-29,29,-14.795918367346943,14.795918367346939,3
9,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,10,3,1,71.42857142857143,21.428571428571427,7.142857142857142,196,182,14,196,159,37,92.85714285714286,7.142857142857142,81.12244897959184,18.877551020408163,-3,3,0,-21.42857142857143,21.428571428571427,0.0,-23,23,-11.734693877551024,11.73469387755102,1
10,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,8,5,1,57.14285714285714,35.714285714285715,7.142857142857142,196,182,14,196,151,45,92.85714285714286,7.142857142857142,77.04081632653062,22.95918367346939,-5,5,0,-35.71428571428572,35.714285714285715,0.0,-31,31,-15.816326530612244,15.816326530612248,4
11,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,11,2,1,78.57142857142857,14.285714285714285,7.142857142857142,196,182,14,196,172,24,92.85714285714286,7.142857142857142,87.75510204081633,12.244897959183673,-2,2,0,-14.285714285714292,14.285714285714285,0.0,-10,10,-5.102040816326536,5.1020408163265305,1
12,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,3,10,1,21.428571428571427,71.42857142857143,7.142857142857142,196,182,14,196,110,86,92.85714285714286,7.142857142857142,56.12244897959183,43.87755102040816,-10,10,0,-71.42857142857143,71.42857142857143,0.0,-72,72,-36.73469387755103,36.734693877551024,1
13,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,11,2,1,78.57142857142857,14.285714285714285,7.142857142857142,196,182,14,196,172,24,92.85714285714286,7.142857142857142,87.75510204081633,12.244897959183673,-2,2,0,-14.285714285714292,14.285714285714285,0.0,-10,10,-5.102040816326536,5.1020408163265305,1
14,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,11,2,1,78.57142857142857,14.285714285714285,7.142857142857142,196,182,14,196,172,24,92.85714285714286,7.142857142857142,87.75510204081633,12.244897959183673,-2,2,0,-14.285714285714292,14.285714285714285,0.0,-10,10,-5.102040816326536,5.1020408163265305,1
