execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,9.599985787644982e-06,8.600007276982069e-06,8.800008799880743e-06,0.008431500013102777,9.700015652924776e-06,0.005460900021716952,9.700015652924776e-06,0.00029229999927338213,9.2999980552122e-06,1.4299992471933365e-05,5.699999746866524e-06,0.002996300012455322,5.399997462518513e-06,4.799992893822491e-06,5.699999746866524e-06,0.01727260006009601
2,9.499999578110874e-06,8.200004231184721e-06,8.999995770864189e-06,7.03999976394698e-05,8.400005754083395e-06,6.949999078642577e-05,8.399991202168167e-06,8.700008038431406e-06,8.600007276982069e-06,1.3199998647905886e-05,5.49999822396785e-06,0.001007800005027093,4.899993655271828e-06,4.5000051613897085e-06,5.800000508315861e-06,0.0012424000015016645
3,1.0299991117790341e-05,8.999995770864189e-06,1.0200004908256233e-05,0.009126399992965162,1.0800009476952255e-05,0.005575999995926395,1.030000566970557e-05,0.0002750000130617991,9.800001862458885e-06,1.5300000086426735e-05,6.400005077011883e-06,0.0031276000081561506,5.199995939619839e-06,4.999994416721165e-06,6.199989002197981e-06,0.01820350000343751
4,1.0000003385357559e-05,1.1099997209385037e-05,9.400013368576765e-06,0.00861859999713488,9.300012607127428e-06,1.0399991879239678e-05,7.069998537190259e-05,0.0002418000076431781,9.60000033956021e-06,1.4199991710484028e-05,5.599998985417187e-06,0.003162200009683147,5.900001269765198e-06,4.5000051613897085e-06,6.000002031214535e-06,0.012189300017780624
5,1.1200012522749603e-05,9.69998654909432e-06,1.0800009476952255e-05,0.02350799999840092,1.0899995686486363e-05,1.0799994925037026e-05,7.569999434053898e-05,0.0004915000026812777,1.0200004908256233e-05,1.5099998563528061e-05,6.300004315562546e-06,0.005570199995418079,5.699999746866524e-06,4.799992893822491e-06,6.100002792663872e-06,0.029746999993221834
6,1.030000566970557e-05,9.199997293762863e-06,1.0100004146806896e-05,0.009713700012071058,1.0200004908256233e-05,1.0399991879239678e-05,7.470000127796084e-05,0.000258400003076531,9.800001862458885e-06,1.5000012353993952e-05,6.100002792663872e-06,0.0033438999962527305,5.599998985417187e-06,4.799992893822491e-06,6.100002792663872e-06,0.013488300028257072
7,1.0000003385357559e-05,9.200011845678091e-06,1.309999788645655e-05,0.019668799999635667,1.300001167692244e-05,1.1200012522749603e-05,7.369999366346747e-05,0.00047339999582618475,9.799987310543656e-06,1.4699995517730713e-05,6.000002031214535e-06,0.005142099995282479,5.199995939619839e-06,4.8000074457377195e-06,9.2999980552122e-06,0.02546430000802502
8,9.900002623908222e-06,8.799994247965515e-06,9.69998654909432e-06,0.004712800000561401,1.200000406242907e-05,0.002981300014653243,1.0299991117790341e-05,0.0001728999923216179,9.499999578110874e-06,1.5500016161240637e-05,5.699999746866524e-06,0.0021561000030487776,5.199995939619839e-06,4.799992893822491e-06,6.100002792663872e-06,0.010120599996298552
9,1.2699994840659201e-05,8.700008038431406e-06,9.299983503296971e-06,0.02481769998848904,1.3700002455152571e-05,1.4200006262399256e-05,7.599998207297176e-05,0.0006288000149652362,1.0000003385357559e-05,1.4599994756281376e-05,5.800000508315861e-06,0.006168799998704344,5.299996701069176e-06,4.5000051613897085e-06,5.800000508315861e-06,0.03179589998035226
10,1.0299991117790341e-05,8.499991963617504e-06,9.60000033956021e-06,0.00921940001717303,9.700001101009548e-06,1.1499985703267157e-05,0.005320600001141429,0.0002925999870058149,9.69998654909432e-06,1.4299992471933365e-05,5.699999746866524e-06,0.0029257999995024875,5.3000112529844046e-06,4.299989086575806e-06,5.900001269765198e-06,0.017853199955425225
11,1.1099997209385037e-05,8.899995009414852e-06,9.099996532313526e-06,0.013898999997763894,9.99998883344233e-06,1.0400020983070135e-05,0.0051143999880878255,0.00037259999953676015,9.60000033956021e-06,1.410000550094992e-05,5.900001269765198e-06,0.004048000002512708,5.299996701069176e-06,4.5000051613897085e-06,5.699999746866524e-06,0.023528599995188415
12,9.800001862458885e-06,8.59999272506684e-06,9.100011084228754e-06,0.003970399993704632,9.60000033956021e-06,9.899988071992993e-06,0.005237599994870834,0.0001475999888498336,9.500014130026102e-06,1.54000153997913e-05,5.900001269765198e-06,0.0020162000000709668,5.699999746866524e-06,5.099995178170502e-06,6.399990525096655e-06,0.01146679998782929
13,1.0200019460171461e-05,1.1199997970834374e-05,9.099996532313526e-06,0.003917699999874458,9.800016414374113e-06,1.1399999493733048e-05,0.015303500011214055,0.00014930000179447234,9.500014130026102e-06,1.4000004739500582e-05,5.699999746866524e-06,0.00207129999762401,5.399997462518513e-06,4.599991370923817e-06,5.999987479299307e-06,0.021538700035307556
14,9.99998883344233e-06,9.300012607127428e-06,9.69998654909432e-06,0.013314000010723248,1.0199990356341004e-05,1.0599993402138352e-05,0.005571200003032573,0.0004456000024219975,2.3500018869526684e-05,1.5500016161240637e-05,6.600006599910557e-06,0.00438189999840688,5.800000508315861e-06,4.6000059228390455e-06,6.799993570894003e-06,0.023825300027965568
