execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,0.0054315002635121346,1.0499730706214905e-05,1.0699965059757233e-05,6.299931555986404e-06,5.7998113334178925e-06,6.4997002482414246e-06,0.003994799684733152,0.014124299865216017,0.0004112003371119499,1.1300202459096909e-05,9.600073099136353e-06,1.0400079190731049e-05,5.100388079881668e-06,1.5200115740299225e-05,1.0600313544273376e-05,0.02406380046159029
2,1.1600088328123093e-05,0.012149699963629246,1.0800082236528397e-05,6.5998174250125885e-06,6.1998143792152405e-06,6.800051778554916e-06,0.0033157002180814743,0.002543799579143524,0.0005088001489639282,0.009347499813884497,7.810024544596672e-05,7.490022107958794e-05,5.09992241859436e-06,3.5599805414676666e-05,9.609991684556007e-05,0.02819729968905449
3,1.1200085282325745e-05,1.070043072104454e-05,1.0599847882986069e-05,6.500165909528732e-06,5.6996941566467285e-06,6.399583071470261e-06,0.0030547003261744976,0.008681199979037046,0.0002625999040901661,0.005580100230872631,9.500421583652496e-06,1.3799872249364853e-05,5.000270903110504e-06,1.5700235962867737e-05,1.0599847882986069e-05,0.017684300895780325
4,1.1499505490064621e-05,1.4099758118391037e-05,1.0899733752012253e-05,6.4997002482414246e-06,6.200280040502548e-06,7.0999376475811005e-06,0.0041787996888160706,0.013476900290697813,0.0032330001704394817,0.009101900272071362,9.600073099136353e-06,1.0899733752012253e-05,5.09992241859436e-06,1.58003531396389e-05,1.039961352944374e-05,0.030098699033260345
5,1.0800547897815704e-05,1.0699965059757233e-05,1.5099998563528061e-05,6.299931555986404e-06,5.3998082876205444e-06,6.400048732757568e-06,0.003033200278878212,0.008634499739855528,0.00025250017642974854,0.005500699859112501,9.499955922365189e-06,1.0400079190731049e-05,4.800036549568176e-06,1.5400350093841553e-05,1.0299962013959885e-05,0.01752600073814392
6,1.1899974197149277e-05,1.0699965059757233e-05,1.0400079190731049e-05,6.399583071470261e-06,5.3998082876205444e-06,6.299931555986404e-06,0.003007099963724613,0.009608199819922447,0.000318900216370821,0.0060628000646829605,9.29972156882286e-06,1.0800082236528397e-05,4.90015372633934e-06,1.7000362277030945e-05,1.0100193321704865e-05,0.019100199919193983
7,1.0800547897815704e-05,1.3799872249364853e-05,1.0500196367502213e-05,6.1998143792152405e-06,5.6996941566467285e-06,6.400048732757568e-06,0.00200109975412488,0.004090600181370974,0.00014509959146380424,0.002799400594085455,1.0499730706214905e-05,1.0500196367502213e-05,4.8996880650520325e-06,1.4799647033214569e-05,1.0100193321704865e-05,0.009140399750322104
8,1.0099727660417557e-05,1.0800082236528397e-05,1.0400079190731049e-05,6.299931555986404e-06,5.400273948907852e-06,6.800051778554916e-06,0.002056499943137169,0.004204900003969669,0.00014350004494190216,0.002813800238072872,9.399838745594025e-06,1.0100193321704865e-05,4.999805241823196e-06,1.5599653124809265e-05,1.019984483718872e-05,0.009318799711763859
9,1.090019941329956e-05,1.1200085282325745e-05,1.0500196367502213e-05,6.70040026307106e-06,0.0003109998069703579,7.100403308868408e-06,5.200039595365524e-06,9.500421583652496e-06,1.109996810555458e-05,0.00687090028077364,8.310005068778992e-05,8.199969306588173e-05,0.00022749975323677063,1.659989356994629e-05,1.0599847882986069e-05,0.007673901040107012
10,7.750000804662704e-05,1.12997367978096e-05,1.039961352944374e-05,6.400048732757568e-06,5.700159817934036e-06,6.600283086299896e-06,0.005083800293505192,0.018746099900454283,0.0004863003268837929,1.1499971151351929e-05,1.0000541806221008e-05,1.1900439858436584e-05,4.800036549568176e-06,1.569977030158043e-05,1.0499730706214905e-05,0.024498500861227512
11,1.4499761164188385e-05,0.01218569977208972,1.1600088328123093e-05,6.400048732757568e-06,9.300187230110168e-06,6.600283086299896e-06,0.0030534998513758183,0.002454699482768774,0.000382500234991312,0.008504300378262997,7.989956066012383e-05,8.040014654397964e-05,5.3998082876205444e-06,1.8300022929906845e-05,9.550061076879501e-05,0.026908600237220526
12,9.699724614620209e-06,1.0299962013959885e-05,9.500421583652496e-06,6.100162863731384e-06,5.600042641162872e-06,6.500165909528732e-06,0.0010448000393807888,7.570022717118263e-05,1.0199379175901413e-05,7.900036871433258e-05,9.499955922365189e-06,9.600073099136353e-06,5.100388079881668e-06,1.4400109648704529e-05,1.0200310498476028e-05,0.0013062013313174248
13,1.109996810555458e-05,0.008136900141835213,1.0599847882986069e-05,6.200280040502548e-06,0.00024279998615384102,7.300172001123428e-06,0.002048599999397993,0.0008865995332598686,0.00026299990713596344,0.005522799678146839,0.0009046997874975204,0.004089899826794863,0.0002167997881770134,1.530023291707039e-05,0.0024719000793993473,0.0248344992287457
14,7.579987868666649e-05,1.1199619621038437e-05,1.0499730706214905e-05,6.4997002482414246e-06,5.8002769947052e-06,6.800051778554916e-06,0.004051700234413147,0.013487600721418858,0.00037610018625855446,1.0999850928783417e-05,9.900424629449844e-06,1.090019941329956e-05,4.999805241823196e-06,1.5600118786096573e-05,1.0899733752012253e-05,0.018095300532877445
