execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.4299992471933365e-05,1.780036836862564e-05,1.2099742889404297e-05,7.6000578701496124e-06,0.0006372998468577862,8.90018418431282e-06,6.00004568696022e-06,1.1699739843606949e-05,2.6994384825229645e-06,0.01641129981726408,0.00010449998080730438,9.430013597011566e-05,0.0005133999511599541,2.079969272017479e-05,1.29002146422863e-05,0.017875599209219217
2,1.9399914890527725e-05,1.270044595003128e-05,1.29002146422863e-05,7.799826562404633e-06,0.0009127999655902386,9.499955922365189e-06,6.299931555986404e-06,1.219986006617546e-05,2.600252628326416e-06,0.005549200344830751,0.0012884000316262245,0.005075499881058931,0.0007266998291015625,2.400018274784088e-05,1.3699755072593689e-05,0.013673700392246246
3,1.2899748980998993e-05,1.2100208550691605e-05,1.54995359480381e-05,1.3200100511312485e-05,0.0003035999834537506,8.299946784973145e-06,5.7998113334178925e-06,1.0699965059757233e-05,2.200249582529068e-06,0.005415600258857012,9.249988943338394e-05,8.889986202120781e-05,0.0002063000574707985,1.8700025975704193e-05,1.1899974197149277e-05,0.006218199618160725
4,1.2599863111972809e-05,1.2500211596488953e-05,1.1700205504894257e-05,7.3998235166072845e-06,0.0002967999316751957,8.099712431430817e-06,5.700159817934036e-06,1.0899733752012253e-05,2.400018274784088e-06,0.005412700120359659,9.669968858361244e-05,8.889986202120781e-05,0.0002052001655101776,1.879967749118805e-05,1.2400094419717789e-05,0.006202799268066883
5,2.169981598854065e-05,1.980038359761238e-05,2.4099834263324738e-05,1.1300202459096909e-05,0.00100239971652627,1.0500196367502213e-05,7.899943739175797e-06,1.8100254237651825e-05,3.200490027666092e-06,0.03162860032171011,0.00014979951083660126,0.00015270011499524117,0.0004930999130010605,3.349967300891876e-05,2.00001522898674e-05,0.03359670052304864
6,1.2799631804227829e-05,1.2799631804227829e-05,1.2099742889404297e-05,7.3998235166072845e-06,0.0008722003549337387,9.300187230110168e-06,5.600042641162872e-06,1.1399853974580765e-05,2.200249582529068e-06,0.005390900187194347,0.0012294002808630466,0.005200800020247698,0.0006870999932289124,1.930026337504387e-05,1.3600103557109833e-05,0.013486900366842747
7,1.0899733752012253e-05,1.2400094419717789e-05,1.1300202459096909e-05,7.4999406933784485e-06,6.600283086299896e-06,8.100178092718124e-06,0.001337400171905756,9.229965507984161e-05,2.00001522898674e-06,9.380001574754715e-05,1.0499730706214905e-05,1.0600313544273376e-05,5.899928510189056e-06,1.7400365322828293e-05,1.1400319635868073e-05,0.0016381009481847286
8,1.29002146422863e-05,1.2399628758430481e-05,1.2399628758430481e-05,7.500406354665756e-06,0.001524799969047308,9.300187230110168e-06,6.0996972024440765e-06,1.1499971151351929e-05,2.400018274784088e-06,0.007962599862366915,0.0021910001523792744,0.009709999896585941,0.0012353998608887196,1.9400380551815033e-05,1.3100448995828629e-05,0.022730800323188305
9,1.2899748980998993e-05,0.005007800180464983,1.2400094419717789e-05,1.0899733752012253e-05,0.0005111000500619411,1.200009137392044e-05,0.001287899911403656,9.409990161657333e-05,2.400018274784088e-06,0.0034141000360250473,0.0020089000463485718,0.010306400246918201,0.0006268001161515713,1.9600149244070053e-05,0.00411980040371418,0.02744710072875023
10,1.3299752026796341e-05,1.29002146422863e-05,1.730024814605713e-05,7.900409400463104e-06,0.0018393001519143581,1.0499730706214905e-05,6.1998143792152405e-06,1.1500436812639236e-05,3.0999071896076202e-06,0.005462499801069498,0.004022200126200914,0.015615500044077635,0.001413899939507246,2.219993621110916e-05,1.3300217688083649e-05,0.028471600729972124
11,1.3399869203567505e-05,1.270044595003128e-05,1.2299977242946625e-05,7.3998235166072845e-06,0.00031590042635798454,8.500181138515472e-06,5.899928510189056e-06,2.0700041204690933e-05,2.400018274784088e-06,0.005740699358284473,9.979959577322006e-05,0.00010359985753893852,0.00021960027515888214,2.019992098212242e-05,1.2400094419717789e-05,0.006595499813556671
12,1.4099758118391037e-05,0.0052030994556844234,1.2699980288743973e-05,7.4999406933784485e-06,0.002649799920618534,1.1799857020378113e-05,0.0012839999981224537,9.669968858361244e-05,2.500135451555252e-06,0.0036118999123573303,0.013328200206160545,0.049331100191920996,0.0024593998678028584,2.070050686597824e-05,0.012315900065004826,0.090349399484694
13,1.2699980288743973e-05,1.2500211596488953e-05,1.2099742889404297e-05,7.699709385633469e-06,0.00030669989064335823,8.500181138515472e-06,5.600042641162872e-06,1.0999850928783417e-05,2.300366759300232e-06,0.005906000267714262,9.810039773583412e-05,8.96998681128025e-05,0.0002139001153409481,1.969980075955391e-05,1.1799857020378113e-05,0.00671830028295517
14,1.2699980288743973e-05,1.2400094419717789e-05,1.1799857020378113e-05,7.80029222369194e-06,0.0002983999438583851,8.100178092718124e-06,6.00004568696022e-06,1.0899733752012253e-05,2.100132405757904e-06,0.005414699669927359,9.730039164423943e-05,8.84002074599266e-05,0.00020480016246438026,1.8300022929906845e-05,1.1899508535861969e-05,0.006205600220710039
